Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Anthony Alford (17399747),Anthony Alford,17399747,OF,2100,PIT@SD 05/04/2021 10:10PM ET,PIT,2.27
OF,Jared Oliva (17399861),Jared Oliva,17399861,OF,2100,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SS,Pedro Florimon (17399663),Pedro Florimon,17399663,SS,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
C,Andrew Susac (17399676),Andrew Susac,17399676,C,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
C,Webster Rivas (17399687),Webster Rivas,17399687,C,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
C,Wynston Sawyer (17399691),Wynston Sawyer,17399691,C,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF,John Andreoli (17399704),John Andreoli,17399704,OF,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
1B/OF,Patrick Kivlehan (17399750),Patrick Kivlehan,17399750,1B/OF,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF/SS,Cole Tucker (17399802),Cole Tucker,17399802,SS/OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
OF,Troy Stokes Jr. (17399806),Troy Stokes Jr.,17399806,OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
3B,Nick Tanielu (17399809),Nick Tanielu,17399809,3B,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF,Ka'ai Tom (17399838),Ka'ai Tom,17399838,OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,1.54
OF,Jorge Ona (17399880),Jorge Ona,17399880,OF,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF,Travis Swaggerty (17399881),Travis Swaggerty,17399881,OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
OF,Calvin Mitchell (17399889),Calvin Mitchell,17399889,OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
OF,Canaan Smith-Njigba (17399891),Canaan Smith-Njigba,17399891,OF,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SS,Liover Peguero (17399897),Liover Peguero,17399897,SS,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
2B/SS,Ji-Hwan Bae (17399898),Ji-Hwan Bae,17399898,2B/SS,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SS,Nick Gonzales (17399906),Nick Gonzales,17399906,SS,2000,PIT@SD 05/04/2021 10:10PM ET,PIT,0
SS,CJ Abrams (17399907),CJ Abrams,17399907,SS,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF,Joshua Mears (17399909),Joshua Mears,17399909,OF,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
OF,Robert Hassell III (17399912),Robert Hassell III,17399912,OF,2000,PIT@SD 05/04/2021 10:10PM ET,SD,0
1B,Chris Davis (17399659),Chris Davis,17399659,1B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
1B,Stevie Wilkerson (17399693),Stevie Wilkerson,17399693,1B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
SS,Jack Reinheimer (17399699),Jack Reinheimer,17399699,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
1B/C,Taylor Davis (17399708),Taylor Davis,17399708,C/1B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
3B/SS,Seth Mejias-Brean (17399710),Seth Mejias-Brean,17399710,3B/SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
1B/OF,Sam Travis (17399730),Sam Travis,17399730,1B/OF,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
C,Jose Godoy (17399740),Jose Godoy,17399740,C,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
1B,Chris Shaw (17399759),Chris Shaw,17399759,1B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
OF,Braden Bishop (17399765),Braden Bishop,17399765,OF,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0.71
SS,Richie Martin (17399767),Richie Martin,17399767,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
C,Austin Wynns (17399769),Austin Wynns,17399769,C,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
C,Nick Ciuffo (17399775),Nick Ciuffo,17399775,C,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
C,Brian O'Keefe (17399813),Brian O'Keefe,17399813,C,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
1B/3B,Tyler Nevin (17399833),Tyler Nevin,17399833,1B/3B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
OF,Yusniel Diaz (17399854),Yusniel Diaz,17399854,OF,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
C,Cal Raleigh (17399858),Cal Raleigh,17399858,C,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
C,Adley Rutschman (17399873),Adley Rutschman,17399873,C,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
SS,Terrin Vavra (17399882),Terrin Vavra,17399882,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
3B,Rylan Bannon (17399885),Rylan Bannon,17399885,3B,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
SS,Adam Hall (17399890),Adam Hall,17399890,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
OF,Julio Rodriguez (17399900),Julio Rodriguez,17399900,OF,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
OF,Jarred Kelenic (17399901),Jarred Kelenic,17399901,OF,2000,BAL@SEA 05/04/2021 10:10PM ET,SEA,0
SS,Gunnar Henderson (17399908),Gunnar Henderson,17399908,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
SS,Jordan Westburg (17399911),Jordan Westburg,17399911,SS,2000,BAL@SEA 05/04/2021 10:10PM ET,BAL,0
