"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Adam Ottavino","BOS","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","2","1247"
"Kenley Jansen","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","3096"
"Will Harris","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","1","0","0","0","0","2","3192"
"Joe Smith","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","1","0","0","0","0","1","3281"
"Yusmeiro Petit","OAK","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","4020"
"Jose Alvarez","SFG","0","0","0.00","1","0","0","0","0","0","0","1.1","6","0","0","0","0","2","0","0","0","0","1","5358"
"Alex Cobb","LAA","0","1","0.00","1","1","0","0","0","0","0","5.0","22","2","2","0","0","5","0","0","0","0","8","6562"
"Ian Kennedy","TEX","0","0","0.00","1","0","0","0","1","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","6986"
"Greg Holland","KCR","0","0","0.00","1","0","0","0","0","0","1","0.2","4","1","0","0","0","0","0","0","0","0","2","7196"
"Wade Davis","KCR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","7441"
"Richard Bleier","MIA","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","7803"
"Hunter Strickland","TBR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","7836"
"Paolo Espino","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","8246"
"Lucas Luetge","NYY","1","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","8337"
"Rex Brothers","CHC","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","9794"
"Tyler Matzek","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","2","10058"
"Brad Boxberger","MIL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10133"
"Ryan Tepera","CHC","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","10291"
"Jimmy Nelson","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","10547"
"Drew Pomeranz","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","11426"
"Joely Rodriguez","TEX","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","11487"
"Hansel Robles","MIN","0","0","0.00","1","0","0","0","0","1","0","1.2","6","0","0","0","0","1","0","0","0","0","1","11801"
"Matt Andriese","BOS","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","2","12022"
"Blake Treinen","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","0","0","0","0","0","2","12572"
"Rafael Montero","SEA","1","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","0","0","1","0","0","0","12760"
"Matt Wisler","SFG","1","0","0.00","1","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","1","12804"
"Matt Barnes","BOS","0","0","0.00","1","0","0","0","1","0","0","1.2","4","0","0","0","0","0","0","0","0","0","1","12863"
"Alex Claudio","LAA","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","2","12890"
"Andrew Chafin","CHC","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","1","12988"
"Kyle Crick","PIT","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","2","13182"
"Dylan Floro","MIA","0","0","0.00","1","0","0","0","0","1","0","1.0","5","1","0","0","0","1","0","0","0","0","1","13394"
"Pierce Johnson","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","1","13435"
"Richard Rodriguez","PIT","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13549"
"Robert Stephenson","COL","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","13594"
"Tyler Duffey","MIN","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","1","13758"
"Wandy Peralta","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","14295"
"Jose Ruiz","CHW","0","0","0.00","1","0","0","0","0","0","0","2.0","7","1","0","0","0","0","0","0","0","0","2","14552"
"James Hoyt","LAA","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","14605"
"Emilio Pagan","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","14771"
"Austin Voth","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15047"
"Adam Cimber","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","15288"
"Kendall Graveman","SEA","0","0","0.00","1","0","0","0","0","0","0","1.2","6","0","0","0","0","1","0","0","1","0","1","15514"
"Tyler Rogers","SFG","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15541"
"Chad Green","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","15552"
"Nick Wittgren","CLE","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15594"
"Paul Fry","BAL","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","2","15832"
