,team,Name,b_o,pj_vO
0,LAD,Mookie Betts,1,7.47
1,LAD,Mookie Betts,1,7.47
2,LAD,Corey Seager,2,6.71
3,LAD,Corey Seager,2,6.71
4,LAD,Justin Turner,3,6.58
5,LAD,Max Muncy,4,6.59
6,LAD,Max Muncy,5,6.59
7,LAD,Chris Taylor,5,7.01
8,LAD,Chris Taylor,3,7.01
9,LAD,AJ Pollock,6,4.27
10,LAD,AJ Pollock,6,4.27
11,LAD,Gavin Lux,7,4.09
12,LAD,Gavin Lux,8,4.09
13,LAD,Austin Barnes,8,4.46
14,LAD,Will Smith,4,0.0
15,LAD,Will Smith,4,5.98
16,LAD,Edwin Rios,7,1.8
17,CHC,Willson Contreras,1,7.03
18,CHC,Kris Bryant,2,8.9
19,CHC,Kris Bryant,2,8.9
20,CHC,Anthony Rizzo,3,5.81
21,CHC,Anthony Rizzo,3,5.81
22,CHC,Javier Baez,4,8.38
23,CHC,Matt Duffy,5,2.44
24,CHC,David Bote,6,2.91
25,CHC,David Bote,4,2.91
26,CHC,Jake Marisnick,7,3.77
27,CHC,Ildemaro Vargas,8,0.0
28,CHC,Ildemaro Vargas,6,0.0
29,CHC,Joc Pederson,1,3.02
30,CHC,Jason Heyward,5,3.53
31,CHC,Eric Sogard,7,1.59
32,CHC,Tony Wolters,8,1.33
33,MIL,Kolten Wong,1,5.65
34,MIL,Luis Urias,2,4.33
35,MIL,Daniel Vogelbach,3,2.18
36,MIL,Travis Shaw,4,4.94
37,MIL,Jackie Bradley Jr.,5,4.23
38,MIL,Tyrone Taylor,6,3.8
39,MIL,Billy McKinney,7,3.2
40,MIL,Jacob Nottingham,8,16.8
41,PHI,Andrew McCutchen,1,6.1
42,PHI,Rhys Hoskins,2,11.46
43,PHI,J.T. Realmuto,3,8.29
44,PHI,Alec Bohm,4,7.11
45,PHI,Didi Gregorius,5,7.99
46,PHI,Brad Miller,6,5.49
47,PHI,Roman Quinn,7,3.36
48,PHI,Nick Maton,8,5.38
49,HOU,Jose Altuve,1,7.79
50,HOU,Michael Brantley,2,8.65
51,HOU,Alex Bregman,3,9.46
52,HOU,Yordan Alvarez,4,10.28
53,HOU,Yuli Gurriel,5,9.32
54,HOU,Carlos Correa,6,8.86
55,HOU,Kyle Tucker,7,7.81
56,HOU,Myles Straw,8,5.86
57,HOU,Martin Maldonado,9,2.05
58,NYY,DJ LeMahieu,1,6.55
59,NYY,Giancarlo Stanton,2,8.1
60,NYY,Aaron Judge,3,8.54
61,NYY,Gio Urshela,4,7.06
62,NYY,Gleyber Torres,5,5.25
63,NYY,Clint Frazier,6,3.91
64,NYY,Aaron Hicks,7,5.28
65,NYY,Kyle Higashioka,8,6.93
66,NYY,Rougned Odor,9,5.89
67,ATL,Ronald Acuna Jr.,1,14.33
68,ATL,Freddie Freeman,2,9.74
69,ATL,Marcell Ozuna,3,6.41
70,ATL,Ozzie Albies,4,9.01
71,ATL,Austin Riley,5,7.08
72,ATL,Dansby Swanson,6,5.24
73,ATL,William Contreras,7,6.49
74,ATL,Cristian Pache,8,4.16
75,LAD,Will Smith,4,0.0
76,LAD,Will Smith,4,8.38
77,WAS,Trea Turner,1,7.99
78,WAS,Yadiel Hernandez,2,4.15
79,WAS,Josh Harrison,3,6.13
80,WAS,Josh Bell,4,4.43
81,WAS,Kyle Schwarber,5,4.32
82,WAS,Starlin Castro,6,3.59
83,WAS,Yan Gomes,7,4.56
84,WAS,Victor Robles,8,2.96
85,DET,Robbie Grossman,1,5.89
86,DET,Jeimer Candelario,2,4.98
87,DET,Miguel Cabrera,3,3.02
88,DET,Jonathan Schoop,4,3.19
89,DET,Niko Goodrum,5,4.62
90,DET,Wilson Ramos,6,3.66
91,DET,Willi Castro,7,3.61
92,DET,JaCoby Jones,8,1.75
93,DET,Victor Reyes,9,1.93
94,BOS,Kike Hernandez,1,6.78
95,BOS,Alex Verdugo,2,8.83
96,BOS,J.D. Martinez,3,12.07
97,BOS,Xander Bogaerts,4,9.49
98,BOS,Christian Vazquez,5,6.74
99,BOS,Marwin Gonzalez,6,5.63
100,BOS,Christian Arroyo,7,5.72
101,BOS,Hunter Renfroe,8,5.47
102,BOS,Bobby Dalbec,9,4.23
103,TEX,Isiah Kiner-Falefa,1,5.39
104,TEX,Nick Solak,2,5.12
105,TEX,Nate Lowe,3,5.35
106,TEX,Adolis Garcia,4,4.86
107,TEX,Joey Gallo,5,4.54
108,TEX,Willie Calhoun,6,4.31
109,TEX,Charlie Culberson,7,3.5
110,TEX,David Dahl,8,2.74
111,TEX,Jonah Heim,9,2.92
112,MIN,Max Kepler,1,5.77
113,MIN,Josh Donaldson,2,4.84
114,MIN,Byron Buxton,3,8.32
115,MIN,Nelson Cruz,4,5.92
116,MIN,Jorge Polanco,5,5.02
117,MIN,Mitch Garver,6,3.46
118,MIN,Jake Cave,7,2.72
119,MIN,Willians Astudillo,8,3.29
120,MIN,Andrelton Simmons,9,4.78
121,CLE,Cesar Hernandez,1,6.39
122,CLE,Jordan Luplow,2,9.19
123,CLE,Jose Ramirez,3,11.89
124,CLE,Franmil Reyes,4,11.53
125,CLE,Harold Ramirez,5,9.96
126,CLE,Josh Naylor,6,5.55
127,CLE,Amed Rosario,7,5.65
128,CLE,Yu Chang,8,2.76
129,CLE,Austin Hedges,9,5.62
130,KC,Whit Merrifield,1,9.27
131,KC,Andrew Benintendi,2,7.72
132,KC,Carlos Santana,3,8.8
133,KC,Salvador Perez,4,7.15
134,KC,Jorge Soler,5,5.67
135,KC,Hunter Dozier,6,5.65
136,KC,Michael A. Taylor,7,5.52
