Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,5.36,28,1098,967,150,232,44,9,39,139,9,3,110,246,.240,.323,.425,.748,103,411,20,12,2,7,5,201
ATL,35,27.8,4.61,28,1042,908,129,216,46,3,40,124,6,1,101,247,.238,.324,.427,.751,97,388,18,19,5,9,7,189
BAL,32,27.0,3.86,29,1058,968,112,221,50,2,29,105,8,2,75,266,.228,.286,.374,.660,88,362,13,5,4,6,1,177
BOS,29,28.1,4.76,29,1070,965,138,252,65,3,33,124,12,3,80,243,.261,.324,.437,.762,112,422,27,14,2,8,4,180
CHC,36,29.4,4.61,28,1048,908,129,203,39,7,37,125,21,7,104,282,.224,.313,.404,.717,99,367,16,18,7,10,4,177
CHW,31,28.1,4.96,27,1015,891,134,229,41,4,24,123,16,5,102,236,.257,.340,.393,.733,111,350,17,13,4,5,1,194
CIN,31,29.0,5.59,27,1047,924,151,234,46,4,43,143,6,6,87,260,.253,.329,.451,.780,102,417,14,21,7,8,2,175
CLE,31,26.9,4.11,27,986,879,111,185,41,5,36,107,15,1,92,229,.210,.288,.391,.680,90,344,17,6,3,4,4,158
COL,30,28.2,4.75,28,1036,940,133,231,43,9,33,127,15,5,76,251,.246,.303,.416,.719,87,391,14,5,7,8,7,167
DET,32,28.3,2.72,29,986,906,79,177,27,6,30,79,9,1,70,305,.195,.255,.338,.593,69,306,16,4,0,4,1,155
HOU,36,29.0,4.93,28,1064,954,138,241,55,4,27,130,9,2,82,203,.253,.318,.404,.722,105,385,28,15,0,12,4,186
KCR,32,29.6,4.67,27,994,883,126,211,41,8,29,120,22,7,85,212,.239,.308,.402,.710,98,355,13,7,6,10,2,168
LAA,35,30.6,4.74,27,1023,933,128,243,38,3,39,117,11,2,69,218,.260,.319,.433,.752,110,404,27,13,3,5,6,174
LAD,35,28.8,5.10,29,1168,990,148,238,44,9,35,141,11,3,137,274,.240,.346,.409,.755,110,405,21,27,7,7,11,234
MIA,33,29.4,3.96,27,1014,896,107,202,39,5,23,101,19,7,90,264,.225,.304,.357,.661,83,320,16,15,3,9,5,176
MIL,41,28.5,4.00,29,1086,957,116,208,33,4,36,113,12,4,96,299,.217,.302,.373,.675,83,357,16,22,4,6,3,194
MIN,36,29.0,4.93,27,1010,902,133,220,48,4,36,125,11,1,82,232,.244,.313,.426,.738,114,384,15,13,2,11,2,174
NYM,30,28.2,3.30,23,838,737,76,177,33,2,18,72,3,4,76,195,.240,.324,.364,.688,94,268,17,17,5,3,3,175
NYY,33,29.5,3.93,28,1048,917,110,203,34,0,37,105,5,1,120,240,.221,.315,.379,.694,102,348,24,6,2,3,2,188
OAK,32,30.0,4.23,30,1101,965,127,213,38,5,39,119,20,5,105,265,.221,.309,.392,.701,105,378,15,22,2,7,1,195
PHI,34,28.9,3.86,29,1049,934,112,216,38,4,30,106,16,3,88,282,.231,.303,.377,.680,88,352,21,13,3,11,6,184
PIT,33,28.2,3.64,28,1031,914,102,204,47,3,20,98,9,3,97,243,.223,.305,.347,.652,80,317,15,13,2,5,0,197
SDP,36,27.7,3.93,30,1136,993,118,230,35,3,29,111,35,8,119,250,.232,.317,.361,.678,93,358,31,10,3,9,5,214
SEA,33,27.4,4.07,30,1067,948,122,196,48,2,33,117,16,4,97,286,.207,.287,.366,.653,91,347,14,12,3,6,0,171
SFG,36,31.1,4.11,28,1025,903,115,199,41,4,34,112,13,2,103,265,.220,.304,.388,.691,94,350,27,7,6,5,8,172
STL,32,28.3,4.76,29,1068,952,138,218,41,5,38,127,8,4,90,251,.229,.303,.402,.706,98,383,22,14,6,6,10,167
TBR,37,27.4,4.20,30,1138,1008,126,226,52,3,30,117,10,6,103,306,.224,.306,.371,.677,100,374,15,18,3,6,1,208
TEX,32,26.9,4.07,30,1112,995,122,235,28,4,36,117,23,7,90,316,.236,.310,.381,.690,96,379,21,18,4,5,1,193
TOR,35,26.4,4.59,27,1007,900,124,214,30,1,38,115,13,2,85,235,.238,.310,.400,.710,100,360,19,12,1,7,3,173
WSN,36,29.5,3.62,24,866,779,87,197,34,1,23,85,11,7,63,199,.253,.319,.388,.707,96,302,16,16,2,6,4,163
LgAvg,34,28.6,4.33,28,1041,924,121,216,41,4,32,115,13,4,92,253,.233,.310,.393,.703,97,363,19,14,4,7,4,183
,1006,28.6,4.33,840,31231,27716,3641,6471,1239,126,974,3444,394,116,2774,7600,.233,.310,.393,.703,97,10884,565,407,108,208,113,5479
