Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,1.80,3,0,3,0,0,0,5.0,0,1,1,0,4,0,7,0,0,2,19,240,2.73,0.800,0.0,0.0,7.2,12.6,1.75
2,Bryan Abreu\abreubr01,24,HOU,AL,2,1,.667,3.43,16,0,0,0,0,0,21.0,16,10,8,2,9,0,20,2,0,3,86,124,4.03,1.190,6.9,0.9,3.9,8.6,2.22
3,Jason Adam\adamja01,29,CHC,NL,0,0,,8.22,9,0,2,0,0,0,7.2,9,7,7,1,6,0,13,3,0,0,40,49,4.95,1.957,10.6,1.2,7.0,15.3,2.17
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,3.55,16,0,2,0,0,0,12.2,8,5,5,0,4,0,24,6,0,0,56,106,1.70,0.947,5.7,0.0,2.8,17.1,6.00
5,Keegan Akin*\akinke01,26,BAL,AL,0,0,,6.23,2,0,0,0,0,0,4.1,4,3,3,0,0,0,3,0,0,0,16,74,1.74,0.923,8.3,0.0,0.0,6.2,
6,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.13,0.000,0.0,0.0,0.0,0.0,
7,Jorge Alcala\alcaljo01,25,MIN,AL,0,1,.000,4.11,15,0,9,0,0,0,15.1,9,7,7,4,5,0,13,1,0,0,56,98,6.00,0.913,5.3,2.3,2.9,7.6,2.60
8,Sandy Alcantara\alcansa01,25,MIA,NL,1,3,.250,4.06,9,9,0,0,0,0,51.0,43,25,23,6,16,2,51,3,0,2,211,99,3.77,1.157,7.6,1.1,2.8,9.0,3.19
9,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.31,13,0,6,0,0,0,11.2,7,4,3,1,1,0,5,1,0,1,45,168,3.90,0.686,5.4,0.8,0.8,3.9,5.00
10,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,4.74,11,0,4,0,0,0,19.0,22,11,10,4,5,0,19,0,0,0,85,91,4.65,1.421,10.4,1.9,2.4,9.0,3.80
11,Kolby Allard*\allarko01,23,TEX,AL,0,0,,3.18,8,0,3,0,0,0,17.0,16,6,6,2,4,0,21,0,0,2,72,138,2.89,1.176,8.5,1.1,2.1,11.1,5.25
