Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,38,29.4,4.64,42,1617,1428,195,335,66,12,47,180,13,3,153,371,.235,.315,.396,.711,94,566,30,19,6,9,6,303
ATL,37,27.6,4.59,41,1525,1338,188,303,57,6,60,182,11,4,143,372,.226,.310,.413,.722,90,552,24,23,10,11,13,259
BAL,34,27.0,3.85,40,1465,1329,154,308,66,4,39,147,12,4,112,340,.232,.295,.375,.670,88,499,22,10,5,9,2,251
BOS,30,28.1,5.17,42,1575,1425,217,376,94,3,53,198,16,5,118,354,.264,.326,.446,.772,112,635,33,19,2,10,5,267
CHC,38,29.5,4.60,40,1501,1308,184,306,61,9,48,177,27,9,141,392,.234,.318,.404,.722,102,529,26,27,9,15,7,260
CHW,32,28.0,5.40,40,1516,1316,216,348,66,9,39,202,20,6,160,350,.264,.349,.417,.767,118,549,27,19,8,13,2,284
CIN,34,28.9,5.33,39,1520,1343,208,339,64,4,56,196,9,9,131,346,.252,.329,.431,.760,99,579,33,28,8,10,3,255
CLE,32,26.9,4.03,39,1419,1275,157,270,59,7,49,150,18,3,121,332,.212,.284,.384,.669,85,490,28,10,6,5,7,225
COL,33,28.1,4.74,42,1551,1394,199,343,66,11,41,186,26,6,127,360,.246,.310,.397,.707,85,554,22,7,12,11,11,261
DET,35,28.5,3.49,41,1463,1325,143,293,43,10,39,140,22,5,119,424,.221,.289,.357,.646,83,473,26,10,1,6,1,249
HOU,36,29.1,5.27,41,1565,1399,216,372,78,5,48,205,9,4,132,289,.266,.333,.432,.765,114,604,39,16,2,15,8,274
KCR,34,29.6,4.10,40,1464,1299,164,304,56,10,37,155,31,9,127,328,.234,.305,.378,.683,90,491,25,12,8,14,2,261
LAA,43,30.3,4.50,40,1493,1356,180,340,61,4,50,168,17,5,105,339,.251,.312,.412,.724,100,559,34,19,6,7,8,250
LAD,38,28.7,5.07,41,1635,1395,208,341,67,10,45,199,15,3,192,380,.244,.347,.404,.751,110,563,27,32,7,9,15,332
MIA,37,29.4,3.95,40,1476,1329,158,305,58,8,37,151,23,8,112,392,.229,.297,.369,.665,84,490,21,19,5,10,7,245
MIL,42,28.7,3.73,41,1543,1357,153,291,52,4,45,147,17,6,141,409,.214,.301,.358,.660,81,486,23,31,6,7,6,287
MIN,41,29.2,4.59,39,1483,1327,179,325,71,4,52,170,16,1,121,345,.245,.314,.422,.736,110,560,24,18,2,13,3,274
NYM,37,28.3,3.49,35,1278,1120,122,260,43,3,27,116,11,5,127,295,.232,.320,.348,.668,89,390,20,20,7,4,6,267
NYY,36,29.4,4.00,41,1530,1340,164,301,44,1,56,151,7,3,171,367,.225,.317,.384,.701,100,515,41,12,2,5,3,270
OAK,34,29.9,4.17,42,1537,1357,175,303,61,6,53,163,22,6,144,376,.223,.308,.394,.702,102,535,26,25,3,8,1,266
PHI,37,28.9,4.15,41,1523,1353,170,321,57,5,44,161,25,3,133,420,.237,.311,.384,.695,93,520,33,17,7,12,7,273
PIT,40,28.2,3.45,40,1488,1329,138,303,68,6,26,130,16,4,128,346,.228,.304,.347,.651,80,461,19,20,3,8,3,290
SDP,39,27.7,4.38,42,1595,1383,184,332,52,6,40,173,43,12,173,329,.240,.329,.373,.702,101,516,41,17,5,15,7,307
SEA,40,27.4,3.98,42,1484,1318,167,268,63,3,50,162,18,6,139,391,.203,.284,.369,.653,89,487,21,13,3,9,0,231
SFG,37,30.9,4.37,41,1512,1320,179,297,54,6,56,169,18,5,165,392,.225,.315,.402,.717,102,531,39,11,9,6,9,262
STL,37,28.3,4.39,41,1504,1340,180,310,56,5,53,167,18,5,124,343,.231,.305,.399,.704,99,535,28,22,8,10,15,255
TBR,39,27.4,4.40,42,1585,1409,185,318,79,3,44,173,21,9,143,438,.226,.306,.380,.686,100,535,20,23,3,6,1,282
TEX,35,27.0,4.19,43,1598,1434,180,346,49,6,53,172,31,9,129,420,.241,.311,.395,.705,97,566,40,20,5,10,2,267
TOR,39,26.5,4.92,39,1462,1317,192,324,52,2,56,181,24,6,115,328,.246,.313,.416,.729,103,548,26,17,3,8,4,242
WSN,37,29.5,3.92,37,1380,1239,145,312,56,3,39,141,16,8,108,309,.252,.320,.396,.717,101,491,29,20,6,7,8,262
LgAvg,36,28.6,4.37,40,1510,1340,177,316,61,6,46,167,19,6,135,363,.236,.313,.393,.706,97,527,28,19,6,9,6,267
,1094,28.6,4.37,1214,45287,40202,5300,9494,1819,175,1382,5012,572,171,4054,10877,.236,.313,.393,.706,97,15809,847,556,167,282,172,8011
