"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tommy Hunter","NYM","0","0","0.00","1","0","0","0","0","0","0","2.0","7","0","0","0","0","1","0","0","0","0","4","1157"
"Sean Doolittle","CIN","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","0","0","0","1581"
"David Price","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","3184"
"Liam Hendriks","CHW","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","1","0","0","0","0","3548"
"Yusmeiro Petit","OAK","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","4020"
"Rafael Dolis","TOR","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","1","0","0","0","0","3","4185"
"Mark Melancon","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","2","1","0","0","0","1","4264"
"Tyler Chatwood","TOR","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","4338"
"Jeurys Familia","NYM","1","0","0.00","1","0","0","0","0","0","1","1.0","4","1","0","0","0","1","0","0","0","0","1","5114"
"Craig Kimbrel","CHC","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","0","0","0","1","0","2","6655"
"Alex Colome","MIN","0","0","0.00","1","0","0","0","0","0","0","0.2","4","0","0","0","0","2","0","0","0","0","2","6661"
"Daniel Bard","COL","0","1","0.00","1","0","0","0","0","0","0","1.1","4","0","1","0","0","0","0","0","1","0","2","7115"
"Collin McHugh","TBR","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","3","7531"
"Jake McGee","SFG","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","7550"
"Anthony Bass","MIA","0","0","0.00","1","0","0","0","0","0","1","0.2","2","0","0","0","0","0","0","0","0","0","1","7982"
"Bryan Shaw","CLE","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","8110"
"Sergio Romo","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","9817"
"Tyler Matzek","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","10058"
"Aroldis Chapman","NYY","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","10233"
"Zack Wheeler","PHI","0","0","0.00","1","1","0","0","0","0","0","7.0","26","5","1","0","0","0","0","0","0","0","10","10310"
"Chasen Shreve","PIT","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","10855"
"Luke Jackson","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","11752"
"Hansel Robles","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","3","11801"
"Hector Neris","PHI","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","11804"
"Dan Winkler","CHC","0","0","0.00","1","0","0","0","0","1","0","1.0","5","1","0","0","0","0","0","1","0","0","0","12237"
"Blake Treinen","LAD","0","0","0.00","1","0","0","0","0","1","0","0.1","1","0","0","0","0","0","0","0","0","0","0","12572"
"Andrew Kittredge","TBR","1","0","0.00","1","0","0","0","0","0","0","1.2","6","1","0","0","0","0","0","0","1","0","1","12828"
"Archie Bradley","PHI","1","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","12918"
"Pierce Johnson","SDP","1","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","1","0","1","0","3","13435"
"Taylor Rogers","MIN","1","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","13449"
"Tyler Duffey","MIN","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","13758"
"Chris Stratton","PIT","0","0","0.00","1","0","0","0","0","0","0","2.0","9","3","0","0","0","0","0","0","2","0","1","13761"
"Austin Adams","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","13801"
"Wandy Peralta","NYY","1","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","14295"
"Hyun-Jin Ryu","TOR","1","0","0.00","1","1","0","0","0","0","0","7.0","25","4","0","0","0","0","0","0","0","0","7","14444"
"Edwin Diaz","NYM","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","14710"
"Emilio Pagan","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14771"
"Giovanny Gallegos","STL","0","0","0.00","1","0","0","0","0","1","0","2.0","6","0","0","0","0","0","0","0","0","0","3","14986"
"Scott Barlow","KCR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14993"
