"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Ji-Man Choi","TBR","1","4","4","3","2","1","0","0","1","1","0","0","0","0","0","0","1","0","0",".750","5452"
"Rob Refsnyder","MIN","3","8","8","6","5","1","0","0","1","2","0","0","0","0","0","0","0","0","0",".750","13770"
"Chris Owings","COL","7","15","17","8","2","3","3","0","6","3","2","0","2","0","0","0","0","2","0",".533","10030"
"Nick Gordon","MIN","1","2","3","1","1","0","0","0","0","0","1","0","1","0","0","0","0","2","0",".500","16337"
"Ketel Marte","ARI","6","26","28","12","6","4","0","2","5","5","2","0","4","0","0","0","1","0","0",".462","13613"
"J.D. Davis","NYM","14","41","48","16","11","3","0","2","5","7","4","1","15","3","0","0","1","0","0",".390","16219"
"Byron Buxton","MIN","24","92","98","34","15","10","0","9","19","17","4","0","23","2","0","0","0","5","0",".370","14161"
"Yermin Mercedes","CHW","36","129","139","47","33","7","1","6","15","25","10","1","23","0","0","0","1","0","1",".364","17423"
"Buster Posey","SFG","27","94","108","34","23","3","0","8","21","12","13","0","18","1","0","0","5","0","0",".362","9166"
"Omar Narvaez","MIL","26","78","93","28","22","3","0","3","7","12","11","0","12","3","1","0","1","0","0",".359","13338"
"Jon Jay","LAA","5","14","14","5","5","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".357","5227"
"Jonathan Lucroy","WSN","5","14","14","5","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".357","7870"
"Christian Yelich","MIL","10","34","41","12","11","1","0","0","8","1","6","0","13","1","0","0","0","2","0",".353","11477"
"Andy Young","ARI","17","20","26","7","2","1","0","4","5","9","3","0","8","3","0","0","1","0","0",".350","19521"
"Yordan Alvarez","HOU","33","132","141","46","28","10","1","7","25","22","4","1","34","3","2","0","3","0","0",".348","19556"
"Jesse Winker","CIN","33","133","145","46","28","10","1","7","26","22","11","0","31","1","0","0","3","0","0",".346","13590"
"Xander Bogaerts","BOS","40","151","166","52","30","13","0","9","24","26","13","1","28","2","0","0","3","2","0",".344","12161"
"Jared Walsh","LAA","38","137","155","47","30","9","1","7","17","30","14","2","34","3","1","0","4","2","0",".343","18607"
"J.D. Martinez","BOS","40","152","174","52","32","10","0","10","33","33","20","2","37","1","1","0","8","0","0",".342","6184"
"Carson Kelly","ARI","28","80","110","27","17","4","0","6","16","19","23","1","16","4","3","0","5","0","0",".338","13620"
"Yonathan Daza","COL","36","98","104","33","27","5","0","1","9","9","4","0","21","0","1","1","2","2","0",".337","15794"
"Mike Trout","LAA","36","117","146","39","22","8","1","8","23","18","27","5","41","2","0","0","0","2","0",".333","10155"
