Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
136,Jeurys Familia\familje01,31,NYM,NL,0,0,,1.59,7,0,4,0,0,0,5.2,7,2,1,0,2,0,6,0,0,0,25,253,2.02,1.588,11.1,0.0,3.2,9.5,3.00
137,Buck Farmer\farmebu01,30,DET,AL,0,0,,9.72,8,0,0,0,0,0,8.1,8,9,9,4,7,0,9,0,0,1,40,45,9.68,1.800,8.6,4.3,7.6,9.7,1.29
138,Luke Farrell\farrelu01,30,MIN,AL,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,2,0,1,0,0,0,5,,7.08,2.000,0.0,0.0,18.0,9.0,0.50
139,Erick Fedde\feddeer01,28,WSN,NL,1,2,.333,5.51,4,4,0,0,0,0,16.1,16,11,10,1,8,2,18,1,0,0,74,72,3.32,1.469,8.8,0.6,4.4,9.9,2.25
140,Michael Feliz\felizmi01,28,PIT,NL,0,0,,3.18,6,0,2,0,0,0,5.2,7,3,2,0,1,0,7,0,0,1,25,133,1.14,1.412,11.1,0.0,1.6,11.1,7.00
141,J.P. Feyereisen\feyerjo01,28,MIL,NL,0,1,.000,0.00,13,0,3,0,0,0,12.0,4,2,0,0,7,0,12,0,0,0,45,,2.83,0.917,3.0,0.0,5.3,9.0,1.71
142,Kyle Finnegan\finneky01,29,WSN,NL,1,0,1.000,4.50,10,0,0,0,0,0,10.0,10,5,5,3,3,0,12,0,0,0,43,89,5.48,1.300,9.0,2.7,2.7,10.8,4.00
143,Jay Flaa\flaaja01,29,BAL,AL,0,0,,0.00,1,0,1,0,0,0,1.1,0,0,0,0,2,0,1,0,0,0,5,,6.08,1.500,0.0,0.0,13.5,6.8,0.50
144,Jack Flaherty\flaheja01,25,STL,NL,4,0,1.000,3.18,5,5,0,0,0,0,28.1,19,13,10,3,8,0,27,3,0,2,113,117,3.71,0.953,6.0,1.0,2.5,8.6,3.38
145,Josh Fleming*\flemijo01,25,TBR,AL,1,2,.333,1.23,3,2,0,0,0,0,14.2,10,2,2,1,4,0,8,1,0,0,58,311,3.90,0.955,6.1,0.6,2.5,4.9,2.00
146,Chris Flexen\flexech01,26,SEA,AL,2,1,.667,2.74,4,4,0,0,0,0,23.0,26,8,7,1,5,0,21,1,0,0,97,144,2.60,1.348,10.2,0.4,2.0,8.2,4.20
147,Dylan Floro\florody01,30,MIA,NL,1,1,.500,1.69,12,0,2,0,0,0,10.2,5,3,2,0,3,0,11,0,0,0,41,243,1.86,0.750,4.2,0.0,2.5,9.3,3.67
148,Mike Foltynewicz\foltymi01,29,TEX,AL,1,3,.250,4.61,5,5,0,0,0,0,27.1,28,14,14,8,7,0,26,0,0,0,115,92,5.75,1.280,9.2,2.6,2.3,8.6,3.71
149,Matt Foster\fostema01,26,CHW,AL,1,1,.500,12.79,8,0,3,0,0,0,6.1,8,9,9,2,3,0,11,0,0,0,31,33,5.13,1.737,11.4,2.8,4.3,15.6,3.67
150,Max Fried*\friedma01,27,ATL,NL,0,1,.000,11.45,3,3,0,0,0,0,11.0,23,15,14,3,5,0,14,3,0,0,64,38,6.26,2.545,18.8,2.5,4.1,11.5,2.80
151,Paul Fry*\frypa01,28,BAL,AL,0,0,,1.08,10,0,2,0,0,1,8.1,6,1,1,0,3,0,12,0,0,0,33,402,1.28,1.080,6.5,0.0,3.2,13.0,4.00
152,Josh Fuentes\fuentjo01,28,COL,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.08,1.000,9.0,0.0,0.0,0.0,
153,Carson Fulmer\fulmeca01,27,CIN,NL,0,0,,3.21,12,0,3,0,0,0,14.0,9,5,5,1,5,0,12,2,0,1,57,141,3.79,1.000,5.8,0.6,3.2,7.7,2.40
154,Michael Fulmer\fulmemi01,28,DET,AL,1,1,.500,3.32,6,3,1,0,0,0,19.0,12,7,7,3,4,0,17,0,0,1,73,128,3.97,0.842,5.7,1.4,1.9,8.1,4.25
155,Giovanny Gallegos\gallegi01,29,STL,NL,2,1,.667,2.77,11,0,1,0,0,1,13.0,5,4,4,1,4,1,16,2,0,2,49,137,3.00,0.692,3.5,0.7,2.8,11.1,4.00
156,Zac Gallen\galleza01,25,ARI,NL,1,0,1.000,2.16,3,3,0,1,1,0,16.2,8,4,4,1,8,0,20,1,0,1,67,189,3.08,0.960,4.3,0.5,4.3,10.8,2.50
157,John Gant\gantjo01,28,STL,NL,1,2,.333,2.25,4,4,0,0,0,0,20.0,18,6,5,1,13,1,18,1,0,0,88,167,4.03,1.550,8.1,0.5,5.9,8.1,1.38
158,Bryan Garcia\garcibr01,26,DET,AL,0,0,,5.00,8,0,2,0,0,2,9.0,7,5,5,1,5,0,8,0,0,3,39,87,4.41,1.333,7.0,1.0,5.0,8.0,1.60
159,Deivi Garcia\garcide01,22,NYY,AL,0,1,.000,4.50,1,1,0,0,0,0,4.0,3,2,2,1,3,0,4,0,0,0,18,94,6.58,1.500,6.8,2.3,6.8,9.0,1.33
160,Jarlin Garcia*\garcija04,28,SFG,NL,0,1,.000,8.53,5,0,2,0,0,0,6.1,4,7,6,2,5,0,9,1,0,0,28,46,7.18,1.421,5.7,2.8,7.1,12.8,1.80
161,Luis Garcia\garcilu05,24,HOU,AL,0,2,.000,3.00,4,2,1,0,0,0,15.0,11,5,5,2,7,1,14,2,0,0,63,138,4.74,1.200,6.6,1.2,4.2,8.4,2.00
162,Yimi Garcia\garciyi01,30,MIA,NL,2,1,.667,1.59,11,0,7,0,0,4,11.1,7,3,2,2,3,0,10,0,0,0,43,257,4.40,0.882,5.6,1.6,2.4,7.9,3.33
163,Amir Garrett*\garream01,29,CIN,NL,0,1,.000,14.21,8,0,4,0,0,2,6.1,10,10,10,4,7,1,4,0,0,1,34,33,13.34,2.684,14.2,5.7,9.9,5.7,0.57
164,Kevin Gausman\gausmke01,30,SFG,NL,1,0,1.000,2.14,5,5,0,0,0,0,33.2,19,8,8,3,10,0,34,0,0,1,130,176,3.11,0.861,5.1,0.8,2.7,9.1,3.40
165,Domingo German\germado01,28,NYY,AL,1,2,.333,6.23,3,3,0,0,0,0,13.0,19,10,9,4,3,0,13,0,0,1,63,63,5.77,1.692,13.2,2.8,2.1,9.0,4.33
166,Kyle Gibson\gibsoky01,33,TEX,AL,2,0,1.000,2.30,5,5,0,0,0,0,27.1,24,8,7,0,8,0,23,1,0,1,111,185,2.38,1.171,7.9,0.0,2.6,7.6,2.88
167,Kevin Ginkel\ginkeke01,27,ARI,NL,0,0,,3.12,10,0,0,0,0,0,8.2,8,3,3,2,2,0,11,0,0,0,34,134,4.23,1.154,8.3,2.1,2.1,11.4,5.50
