,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Adrian Houser,Adrian Houser,Adrian Houser,Adolis Garcia,Adolis Garcia,Adrian Houser,Adrian Houser,Adrian Houser,Adolis Garcia,Adolis Garcia,Adrian Houser,Adrian Houser,Adrian Houser,Adolis Garcia,19.0,Adolis Garcia,19.0,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Adolis Garcia,19.0,Adolis Garcia,19.0,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Adolis Garcia,19.0,Adolis Garcia,19.0,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997
2,Adrian Houser,Adrian Houser,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Adrian Houser,Adrian Houser,Jed Lowrie,Jed Lowrie,Jed Lowrie,Frankie Montas,Frankie Montas,Dansby Swanson,Dansby Swanson,Dansby Swanson,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Isiah Kiner-Falefa,17.0,Isiah Kiner-Falefa,17.0,Isiah Kiner-Falefa,17.0,Adrian Houser,3.9499999999999997,Adrian Houser,3.9499999999999997,Jed Lowrie,0.0,Jed Lowrie,0.0,Jed Lowrie,0.0,Frankie Montas,20.5,Frankie Montas,20.5,Dansby Swanson,4.0,Dansby Swanson,4.0,Dansby Swanson,4.0
3,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Jed Lowrie,Jed Lowrie,Jed Lowrie,Alex Bregman,Alex Bregman,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Jed Lowrie,Jed Lowrie,Jed Lowrie,Isiah Kiner-Falefa,17.0,Isiah Kiner-Falefa,17.0,Jed Lowrie,0.0,Jed Lowrie,0.0,Jed Lowrie,0.0,Alex Bregman,2.0,Alex Bregman,2.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jed Lowrie,0.0,Jed Lowrie,0.0,Jed Lowrie,0.0
4,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Nate Lowe,Nate Lowe,Jesse Winker,Jesse Winker,Jesse Winker,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Nate Lowe,0.0,Nate Lowe,0.0,Jesse Winker,5.0,Jesse Winker,5.0,Jesse Winker,5.0
5,Nick Solak,Nick Solak,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Luis Urias,Luis Urias,Luis Urias,Luis Urias,Luis Urias,Nick Solak,Nick Solak,Lorenzo Cain,Lorenzo Cain,Lorenzo Cain,Nick Solak,7.0,Nick Solak,7.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Luis Urias,19.0,Luis Urias,19.0,Luis Urias,19.0,Luis Urias,19.0,Luis Urias,19.0,Nick Solak,7.0,Nick Solak,7.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0,Lorenzo Cain,5.0
6,Travis Shaw,Travis Shaw,Matt Olson,Matt Olson,Matt Olson,Nate Lowe,Nate Lowe,Matt Olson,Matt Olson,Matt Olson,Travis Shaw,Travis Shaw,Matt Olson,Matt Olson,Matt Olson,Travis Shaw,0.0,Travis Shaw,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Nate Lowe,0.0,Nate Lowe,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0,Travis Shaw,0.0,Travis Shaw,0.0,Matt Olson,0.0,Matt Olson,0.0,Matt Olson,0.0
7,Wade Miley,Wade Miley,Ramon Laureano,Ramon Laureano,Ramon Laureano,Nick Solak,Nick Solak,Ramon Laureano,Ramon Laureano,Ramon Laureano,Trevor Story,Trevor Story,Ramon Laureano,Ramon Laureano,Ramon Laureano,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Ramon Laureano,14.0,Ramon Laureano,14.0,Ramon Laureano,14.0,Nick Solak,7.0,Nick Solak,7.0,Ramon Laureano,14.0,Ramon Laureano,14.0,Ramon Laureano,14.0,Trevor Story,19.0,Trevor Story,19.0,Ramon Laureano,14.0,Ramon Laureano,14.0,Ramon Laureano,14.0
8,William Contreras,William Contreras,Travis Shaw,Travis Shaw,Travis Shaw,Tucker Barnhart,Tucker Barnhart,Travis Shaw,Travis Shaw,Travis Shaw,Tucker Barnhart,Tucker Barnhart,Travis Shaw,Travis Shaw,Travis Shaw,William Contreras,14.0,William Contreras,14.0,Travis Shaw,0.0,Travis Shaw,0.0,Travis Shaw,0.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Travis Shaw,0.0,Travis Shaw,0.0,Travis Shaw,0.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Travis Shaw,0.0,Travis Shaw,0.0,Travis Shaw,0.0
9,Yordan Alvarez,Yordan Alvarez,Tucker Barnhart,Tucker Barnhart,Tucker Barnhart,Wade Miley,Wade Miley,Tucker Barnhart,Tucker Barnhart,Tucker Barnhart,Wade Miley,Wade Miley,Tucker Barnhart,Tucker Barnhart,Tucker Barnhart,Yordan Alvarez,5.0,Yordan Alvarez,5.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Wade Miley,-7.6499999999999995,Wade Miley,-7.6499999999999995,Tucker Barnhart,8.0,Tucker Barnhart,8.0,Tucker Barnhart,8.0
