Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B,Lewin Diaz (17545535),Lewin Diaz,17545535,1B,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Monte Harrison (17545537),Monte Harrison,17545537,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,1
C,Jamie Ritchie (17545542),Jamie Ritchie,17545542,C,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
3B,Joe Dunand (17545552),Joe Dunand,17545552,3B,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Stuart Fairchild (17545553),Stuart Fairchild,17545553,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
OF,Jesus Sanchez (17545562),Jesus Sanchez,17545562,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Jake McCarthy (17545580),Jake McCarthy,17545580,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
OF,Brian Miller (17545592),Brian Miller,17545592,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,JJ Bleday (17545609),JJ Bleday,17545609,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Kameron Misner (17545610),Kameron Misner,17545610,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Jerar Encarnacion (17545617),Jerar Encarnacion,17545617,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Victor Victor Mesa (17545618),Victor Victor Mesa,17545618,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
SS,Jose Devers (17545619),Jose Devers,17545619,SS,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,1.5
3B,Drew Ellis (17545625),Drew Ellis,17545625,3B,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
OF,Connor Scott (17545636),Connor Scott,17545636,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Seth Beer (17545638),Seth Beer,17545638,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
OF,Alek Thomas (17545640),Alek Thomas,17545640,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
C,Will Banfield (17545641),Will Banfield,17545641,C,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Peyton Burdick (17545648),Peyton Burdick,17545648,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
SS,Nasim Nunez (17545649),Nasim Nunez,17545649,SS,2000,MIA@ARI 05/13/2021 09:40PM ET,MIA,0
OF,Corbin Carroll (17545650),Corbin Carroll,17545650,OF,2000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
SS,Jack Reinheimer (17545457),Jack Reinheimer,17545457,SS,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
OF,Bradley Zimmer (17545474),Bradley Zimmer,17545474,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
1B/OF,Sam Travis (17545477),Sam Travis,17545477,1B/OF,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
C,Jose Godoy (17545486),Jose Godoy,17545486,C,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
OF,Braden Bishop (17545502),Braden Bishop,17545502,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0.71
OF,Harold Ramirez (17545503),Harold Ramirez,17545503,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,4.5
OF,Oscar Mercado (17545512),Oscar Mercado,17545512,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
3B/SS,Jack Mayfield (17545528),Jack Mayfield,17545528,3B/SS,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
1B,Bobby Bradley (17545539),Bobby Bradley,17545539,1B,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
C,Brian O'Keefe (17545544),Brian O'Keefe,17545544,C,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
1B,Yu Chang (17545555),Yu Chang,17545555,1B,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,2.32
C,Cal Raleigh (17545590),Cal Raleigh,17545590,C,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
OF,Will Benson (17545598),Will Benson,17545598,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
3B,Nolan Jones (17545599),Nolan Jones,17545599,3B,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
OF,Daniel Johnson (17545601),Daniel Johnson,17545601,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
2B,Owen Miller (17545621),Owen Miller,17545621,2B,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
SS,Tyler Freeman (17545628),Tyler Freeman,17545628,SS,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
SS,Gabriel Arias (17545633),Gabriel Arias,17545633,SS,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
OF,Julio Rodriguez (17545634),Julio Rodriguez,17545634,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
OF,Jarred Kelenic (17545635),Jarred Kelenic,17545635,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,SEA,0
SS,Brayan Rocchio (17545637),Brayan Rocchio,17545637,SS,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
C,Bo Naylor (17545639),Bo Naylor,17545639,C,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
OF,George Valera (17545645),George Valera,17545645,OF,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
SS,Aaron Bracho (17545647),Aaron Bracho,17545647,SS,2000,CLE@SEA 05/13/2021 10:10PM ET,CLE,0
