"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Corey Seager","LAD","16","63","74","18","9","6","0","3","11","12","11","1","12","0","0","0","2","0","0",".286","13624"
"Nicky Lopez","KCR","15","42","48","12","10","1","1","0","6","3","4","0","6","0","1","1","0","2","0",".286","19339"
"Luis Robert","CHW","17","67","73","19","10","7","1","1","6","6","5","0","17","0","1","0","0","2","0",".284","20043"
"Starlin Castro","WSN","14","53","56","15","11","3","0","1","2","11","1","0","9","0","2","0","1","0","0",".283","4579"
"Randal Grichuk","TOR","16","53","59","15","10","4","0","1","6","10","5","0","14","0","1","0","0","0","1",".283","10243"
"Michael Brantley","HOU","12","46","48","13","5","5","1","2","7","4","1","0","7","1","0","0","0","0","0",".283","4106"
"Yordan Alvarez","HOU","11","46","49","13","7","4","0","2","6","8","1","0","12","1","1","0","1","0","0",".283","19556"
"Jonathan India","CIN","14","46","54","13","11","1","1","0","6","11","3","1","14","3","2","0","1","0","0",".283","21523"
"Miguel Rojas","MIA","15","51","57","14","9","5","0","0","6","5","5","0","4","1","0","0","1","3","1",".275","7802"
"Phillip Evans","PIT","14","51","59","14","9","2","0","3","9","5","5","0","11","3","0","0","1","0","0",".275","12950"
"Jose Iglesias","LAA","14","55","56","15","13","2","0","0","7","2","1","0","12","0","0","0","2","1","0",".273","10231"
"Manny Machado","SDP","18","66","80","18","13","2","0","3","12","8","13","1","14","0","1","0","2","4","1",".273","11493"
"Willson Contreras","CHC","14","44","55","12","7","0","0","5","9","8","5","0","14","5","1","0","3","1","1",".273","11609"
"Mark Canha","OAK","16","59","74","16","10","2","1","3","18","5","12","0","17","3","0","0","0","2","1",".271","11445"
"Trevor Story","COL","16","59","63","16","11","4","1","0","5","5","3","1","12","0","1","0","0","1","2",".271","12564"
"Carlos Correa","HOU","15","59","64","16","10","3","0","3","6","6","4","0","11","1","0","0","3","0","0",".271","14162"
"Rafael Devers","BOS","16","59","69","16","10","1","0","5","10","15","8","1","16","1","1","0","1","0","1",".271","17350"
"Tim Locastro","ARI","15","52","58","14","13","0","0","1","7","2","4","0","12","2","0","0","1","3","1",".269","15124"
"Enrique Hernandez","BOS","17","67","72","18","11","4","0","3","11","7","3","0","16","1","1","0","1","0","0",".269","10472"
"Adam Eaton","CHW","15","56","66","15","9","3","0","3","12","14","7","0","13","3","0","0","1","1","0",".268","11205"
"Joey Votto","CIN","15","60","64","16","10","3","0","3","6","10","4","0","9","0","0","0","0","0","0",".267","4314"
"Ryan McMahon","COL","16","60","61","16","6","4","0","6","10","10","1","0","12","0","0","0","1","1","0",".267","15112"
"Paul Goldschmidt","STL","15","64","68","17","13","2","0","2","12","7","4","0","14","0","0","0","2","0","0",".266","9218"
"Nolan Arenado","STL","16","64","69","17","9","4","0","4","9","10","5","1","13","0","0","0","2","0","0",".266","9777"
"Bo Bichette","TOR","16","64","69","17","9","4","0","4","12","10","3","0","17","1","1","0","3","3","0",".266","19612"
"Michael A. Taylor","KCR","15","49","53","13","10","1","0","2","6","6","4","0","13","0","0","0","1","2","0",".265","11489"
"Kris Bryant","CHC","14","49","58","13","4","4","0","5","11","10","7","0","13","1","1","0","2","0","0",".265","15429"
"Yandy Diaz","TBR","16","53","65","14","12","2","0","0","5","6","11","0","9","1","0","0","0","0","0",".264","16578"
"Tyler Naquin","CIN","12","42","48","11","4","1","0","6","8","15","5","0","12","1","0","0","0","1","0",".262","13359"
"Dylan Carlson","STL","16","50","61","13","6","3","1","3","11","10","8","1","15","2","1","0","1","0","0",".260","20126"
"Avisail Garcia","MIL","14","54","61","14","9","2","0","3","10","10","5","1","12","1","1","0","0","1","2",".259","5760"
"Raimel Tapia","COL","15","54","57","14","12","0","0","2","3","5","3","0","7","0","0","0","0","1","1",".259","14350"
"Aaron Judge","NYY","13","51","56","13","8","1","0","4","6","8","5","0","15","0","0","0","3","0","0",".255","15640"
"J.P. Crawford","SEA","17","55","59","14","13","1","0","0","8","3","4","0","10","0","0","0","3","1","1",".255","15491"
"Maikel Franco","BAL","16","59","66","15","9","4","0","2","6","14","7","0","12","0","0","0","0","0","0",".254","12179"
"Rhys Hoskins","PHI","16","63","66","16","7","7","0","2","12","5","3","0","21","0","0","0","3","0","0",".254","16472"
"David Fletcher","LAA","14","63","66","16","15","1","0","0","9","6","2","0","7","0","0","1","0","0","0",".254","17992"
"Anthony Rizzo","CHC","15","52","61","13","7","2","1","3","7","4","8","0","9","0","1","0","1","2","0",".250","3473"
"Gio Urshela","NYY","14","52","55","13","9","3","0","1","5","6","3","0","13","0","0","0","1","1","0",".250","10681"
"Jurickson Profar","SDP","18","56","72","14","11","2","1","0","9","5","12","1","8","0","2","1","5","3","0",".250","10815"
"Josh Naylor","CLE","14","48","50","12","8","4","0","0","3","0","2","0","11","0","0","0","0","0","0",".250","18839"
"Pete Alonso","NYM","12","40","45","10","6","2","0","2","5","7","4","0","15","0","1","0","1","0","0",".250","19251"
"Nate Lowe","TEX","17","65","72","16","10","2","0","4","8","16","6","0","22","1","0","0","3","2","0",".246","19566"
"Randy Arozarena","TBR","15","61","67","15","11","2","0","2","8","6","4","0","21","2","0","0","3","1","0",".246","19290"
"Freddy Galvis","BAL","16","53","59","13","7","4","1","1","9","3","5","0","16","0","0","1","0","1","0",".245","6609"
"Eddie Rosario","CLE","15","53","59","13","8","2","1","2","7","8","5","0","9","0","1","0","1","4","0",".245","12155"
"Manuel Margot","TBR","15","49","55","12","7","2","1","2","7","8","5","0","14","0","1","0","1","2","0",".245","14712"
"Jacob Stallings","PIT","13","41","50","10","6","4","0","0","4","7","9","0","11","0","0","0","0","0","0",".244","13723"
"Eduardo Escobar","ARI","15","58","65","14","6","2","0","6","13","11","6","0","13","0","1","0","0","1","0",".241","6153"
"Travis Shaw","MIL","15","54","58","13","8","2","0","3","5","13","3","0","16","1","0","0","1","0","0",".241","11982"
