"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Yuli Gurriel","HOU","1","4","4","2","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0",".500","19198"
"Tommy Edman","STL","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","19470"
"Bo Bichette","TOR","1","4","4","2","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0",".500","19612"
"Fernando Tatis Jr.","SDP","1","4","5","2","1","1","0","0","1","2","0","0","1","0","1","0","0","0","0",".500","19709"
"Alec Bohm","PHI","1","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","21618"
"DJ LeMahieu","NYY","1","5","5","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".400","9874"
"Manny Machado","SDP","1","5","5","2","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0",".400","11493"
"Mookie Betts","LAD","1","5","5","2","1","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".400","13611"
"Mitch Garver","MIN","1","5","5","2","0","0","0","2","2","3","0","0","2","0","0","0","0","0","0",".400","15161"
"Adam Frazier","PIT","1","5","5","2","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".400","15223"
"Gleyber Torres","NYY","1","5","5","2","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0",".400","16997"
"Jorge Mateo","SDP","1","5","5","2","1","0","0","1","1","2","0","0","0","0","0","0","0","0","0",".400","17273"
"Ha-seong Kim","SDP","1","5","5","2","1","1","0","0","2","2","0","0","1","0","0","0","0","0","0",".400","27506"
"Todd Frazier","PIT","1","3","5","1","0","1","0","0","1","2","2","0","0","0","0","0","0","0","0",".333","785"
"Mitch Moreland","OAK","1","3","3","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","3086"
"Charlie Blackmon","COL","1","3","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".333","7859"
"Paul Goldschmidt","STL","1","3","4","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0",".333","9218"
"Christian Vazquez","BOS","1","3","3","1","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0",".333","9774"
"Andrew McCutchen","PHI","1","3","4","1","1","0","0","0","0","1","1","0","2","0","0","0","0","0","0",".333","9847"
"Jesus Aguilar","MIA","1","3","5","1","0","0","0","1","1","3","2","0","0","0","0","0","0","0","0",".333","11342"
"Mark Canha","OAK","1","3","4","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","11445"
"Elias Diaz","COL","1","3","4","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0",".333","11680"
"Tommy La Stella","SFG","1","3","5","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0",".333","12371"
"Marcus Semien","TOR","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0",".333","12533"
"C.J. Cron","COL","1","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".333","12546"
"Brad Miller","PHI","1","3","4","1","0","0","0","1","1","2","1","0","1","0","0","0","0","0","0",".333","12775"
