Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Dylan Carlson (17151430),Dylan Carlson,17151430,OF,3400,STL@WAS 04/19/2021 07:05PM ET,STL,7.8
OF,David Dahl (17151431),David Dahl,17151431,OF,3400,TEX@LAA 04/19/2021 09:38PM ET,TEX,5.5
SS,Jose Iglesias (17151432),Jose Iglesias,17151432,SS,3400,TEX@LAA 04/19/2021 09:38PM ET,LAA,4.69
3B,Jose Rojas (17151433),Jose Rojas,17151433,3B,3400,TEX@LAA 04/19/2021 09:38PM ET,LAA,1.29
2B,Gavin Lux (17151530),Gavin Lux,17151530,2B,3400,LAD@SEA 04/19/2021 10:10PM ET,LAD,4.92
OF/SS,Mauricio Dubon (17151437),Mauricio Dubon,17151437,SS/OF,3300,SF@PHI 04/19/2021 07:05PM ET,SF,1.25
3B/SS,Ha-Seong Kim (17151439),Ha-Seong Kim,17151439,3B/SS,3300,MIL@SD 04/19/2021 10:10PM ET,SD,3.73
2B,Kolten Wong (17151531),Kolten Wong,17151531,2B,3300,MIL@SD 04/19/2021 10:10PM ET,MIL,4.14
OF,Jorge Soler (17151436),Jorge Soler,17151436,OF,3300,TB@KC 04/19/2021 08:10PM ET,KC,4.86
C,Jose Trevino (17151435),Jose Trevino,17151435,C,3300,TEX@LAA 04/19/2021 09:38PM ET,TEX,5.36
1B,Albert Pujols (17151441),Albert Pujols,17151441,1B,3300,TEX@LAA 04/19/2021 09:38PM ET,LAA,5.1
2B/SS,Jordy Mercer (17151444),Jordy Mercer,17151444,2B/SS,3200,STL@WAS 04/19/2021 07:05PM ET,WAS,2.83
OF,Andrew Benintendi (17151443),Andrew Benintendi,17151443,OF,3200,TB@KC 04/19/2021 08:10PM ET,KC,6.46
1B/OF,Ronald Guzman (17151532),Ronald Guzman,17151532,1B/OF,3200,TEX@LAA 04/19/2021 09:38PM ET,TEX,2.29
C,Max Stassi (17151534),Max Stassi,17151534,C,3200,TEX@LAA 04/19/2021 09:38PM ET,LAA,5.57
3B/SS,Anderson Tejeda (17151535),Anderson Tejeda,17151535,3B/SS,3200,TEX@LAA 04/19/2021 09:38PM ET,TEX,2.4
C,Luis Torrens (17151442),Luis Torrens,17151442,C,3200,LAD@SEA 04/19/2021 10:10PM ET,SEA,3.42
2B,Matt Carpenter (17151452),Matt Carpenter,17151452,2B,3100,STL@WAS 04/19/2021 07:05PM ET,STL,2.47
OF,Harrison Bader (17151537),Harrison Bader,17151537,OF,3100,STL@WAS 04/19/2021 07:05PM ET,STL,0
SS,Luis Urias (17151449),Luis Urias,17151449,SS,3100,MIL@SD 04/19/2021 10:10PM ET,MIL,5.86
C,Francisco Mejia (17151446),Francisco Mejia,17151446,C,3100,TB@KC 04/19/2021 08:10PM ET,TB,6.62
3B/OF,Hunter Dozier (17151450),Hunter Dozier,17151450,3B/OF,3100,TB@KC 04/19/2021 08:10PM ET,KC,3.8
C,Austin Barnes (17151447),Austin Barnes,17151447,C,3100,LAD@SEA 04/19/2021 10:10PM ET,LAD,4
OF,AJ Pollock (17151448),AJ Pollock,17151448,OF,3100,LAD@SEA 04/19/2021 10:10PM ET,LAD,4.14
1B/OF,Jose Marmolejos (17151453),Jose Marmolejos,17151453,1B/OF,3100,LAD@SEA 04/19/2021 10:10PM ET,SEA,6
C,Curt Casali (17151455),Curt Casali,17151455,C,3000,SF@PHI 04/19/2021 07:05PM ET,SF,1.57
C,Chadwick Tromp (17151456),Chadwick Tromp,17151456,C,3000,SF@PHI 04/19/2021 07:05PM ET,SF,0
OF,Andrew Stevenson (17151460),Andrew Stevenson,17151460,OF,3000,STL@WAS 04/19/2021 07:05PM ET,WAS,3.75
1B,Daniel Vogelbach (17151463),Daniel Vogelbach,17151463,1B,3000,MIL@SD 04/19/2021 10:10PM ET,MIL,3.71
2B/3B,Hanser Alberto (17151461),Hanser Alberto,17151461,2B/3B,3000,TB@KC 04/19/2021 08:10PM ET,KC,3.91
OF,Leody Taveras (17151457),Leody Taveras,17151457,OF,3000,TEX@LAA 04/19/2021 09:38PM ET,TEX,2.31
SS,J.P. Crawford (17151458),J.P. Crawford,17151458,SS,3000,LAD@SEA 04/19/2021 10:10PM ET,SEA,4.73
