,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,04-30-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Aaron Hicks,Aaron Hicks,Aaron Hicks,Adolis Garcia,Adolis Garcia,Andrew Heaney,Andrew Heaney,Aaron Hicks,Adolis Garcia,Buster Posey,Andrew Heaney,Andrew Heaney,Andrew Heaney,Brandon Belt,Brandon Belt,Andrew Heaney,Andrew Heaney,Andrew Heaney,Austin Hays,Buster Posey,Alex Bregman,Andrew Heaney,Andrew Heaney,Adolis Garcia,4.0,Adolis Garcia,4.0,Aaron Hicks,21.0,Aaron Hicks,21.0,Aaron Hicks,21.0,Adolis Garcia,4.0,Adolis Garcia,4.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Aaron Hicks,21.0,Adolis Garcia,4.0,Buster Posey,19.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Brandon Belt,4.0,Brandon Belt,4.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Austin Hays,14.0,Buster Posey,19.0,Alex Bregman,21.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002
2,Byron Buxton,Byron Buxton,Andrew Heaney,Andrew Heaney,Andrew Heaney,Evan Longoria,Evan Longoria,Bo Bichette,Austin Hays,Andrew Heaney,Carson Kelly,Christian Arroyo,Bo Bichette,Austin Hays,Avisail Garcia,Buster Posey,Buster Posey,Bo Bichette,Austin Hays,Austin Hays,Buster Posey,David Fletcher,Andrew Heaney,Bo Bichette,Bo Bichette,Byron Buxton,12.0,Byron Buxton,12.0,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Andrew Heaney,4.175000000000002,Evan Longoria,0.0,Evan Longoria,0.0,Bo Bichette,21.0,Austin Hays,14.0,Andrew Heaney,4.175000000000002,Carson Kelly,8.0,Christian Arroyo,7.0,Bo Bichette,21.0,Austin Hays,14.0,Avisail Garcia,7.0,Buster Posey,19.0,Buster Posey,19.0,Bo Bichette,21.0,Austin Hays,14.0,Austin Hays,14.0,Buster Posey,19.0,David Fletcher,5.0,Andrew Heaney,4.175000000000002,Bo Bichette,21.0,Bo Bichette,21.0
3,Evan Longoria,Evan Longoria,Bo Bichette,Bo Bichette,Bo Bichette,Gerrit Cole,Gerrit Cole,Brandon Nimmo,Bo Bichette,Bo Bichette,David Fletcher,Gerrit Cole,Brandon Nimmo,Bo Bichette,Bo Bichette,Christian Arroyo,Christian Arroyo,Buster Posey,Bo Bichette,Bo Bichette,Carlos Santana,Gerrit Cole,Bo Bichette,Brandon Nimmo,Christian Arroyo,Evan Longoria,0.0,Evan Longoria,0.0,Bo Bichette,21.0,Bo Bichette,21.0,Bo Bichette,21.0,Gerrit Cole,39.1,Gerrit Cole,39.1,Brandon Nimmo,7.0,Bo Bichette,21.0,Bo Bichette,21.0,David Fletcher,5.0,Gerrit Cole,39.1,Brandon Nimmo,7.0,Bo Bichette,21.0,Bo Bichette,21.0,Christian Arroyo,7.0,Christian Arroyo,7.0,Buster Posey,19.0,Bo Bichette,21.0,Bo Bichette,21.0,Carlos Santana,14.0,Gerrit Cole,39.1,Bo Bichette,21.0,Brandon Nimmo,7.0,Christian Arroyo,7.0
4,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gerrit Cole,Javier Baez,Javier Baez,David Fletcher,Carson Kelly,Carson Kelly,Gerrit Cole,Javier Baez,David Fletcher,Carson Kelly,Carson Kelly,Gerrit Cole,Gerrit Cole,Christian Arroyo,Christian Arroyo,Christian Arroyo,Corey Seager,Kyle Seager,Brandon Nimmo,Christian Arroyo,Gerrit Cole,Gerrit Cole,39.1,Gerrit Cole,39.1,Gerrit Cole,39.1,Gerrit Cole,39.1,Gerrit Cole,39.1,Javier Baez,7.0,Javier Baez,7.0,David Fletcher,5.0,Carson Kelly,8.0,Carson Kelly,8.0,Gerrit Cole,39.1,Javier Baez,7.0,David Fletcher,5.0,Carson Kelly,8.0,Carson Kelly,8.0,Gerrit Cole,39.1,Gerrit Cole,39.1,Christian Arroyo,7.0,Christian Arroyo,7.0,Christian Arroyo,7.0,Corey Seager,2.0,Kyle Seager,4.0,Brandon Nimmo,7.0,Christian Arroyo,7.0,Gerrit Cole,39.1
5,Mike Zunino,Mike Zunino,Gio Urshela,Gio Urshela,Gio Urshela,Manuel Margot,Manuel Margot,Gerrit Cole,David Fletcher,Christian Arroyo,Javier Baez,Justin Turner,Gerrit Cole,David Fletcher,David Fletcher,Javier Baez,Javier Baez,Gerrit Cole,Gerrit Cole,Gerrit Cole,David Fletcher,Manuel Margot,Buster Posey,Gerrit Cole,Giancarlo Stanton,Mike Zunino,4.0,Mike Zunino,4.0,Gio Urshela,8.0,Gio Urshela,8.0,Gio Urshela,8.0,Manuel Margot,5.0,Manuel Margot,5.0,Gerrit Cole,39.1,David Fletcher,5.0,Christian Arroyo,7.0,Javier Baez,7.0,Justin Turner,0.0,Gerrit Cole,39.1,David Fletcher,5.0,David Fletcher,5.0,Javier Baez,7.0,Javier Baez,7.0,Gerrit Cole,39.1,Gerrit Cole,39.1,Gerrit Cole,39.1,David Fletcher,5.0,Manuel Margot,5.0,Buster Posey,19.0,Gerrit Cole,39.1,Giancarlo Stanton,15.0
6,Mitch Haniger,Mitch Haniger,Kyle Higashioka,Kyle Higashioka,Kyle Higashioka,Mike Zunino,Mike Zunino,Gio Urshela,Gerrit Cole,Gerrit Cole,Manuel Margot,Manuel Margot,Gio Urshela,Gerrit Cole,Gerrit Cole,Justin Turner,Justin Turner,Giancarlo Stanton,Giancarlo Stanton,Giancarlo Stanton,Gerrit Cole,Miguel Cabrera,Christian Arroyo,Manny Machado,Kyle Seager,Mitch Haniger,19.0,Mitch Haniger,19.0,Kyle Higashioka,4.0,Kyle Higashioka,4.0,Kyle Higashioka,4.0,Mike Zunino,4.0,Mike Zunino,4.0,Gio Urshela,8.0,Gerrit Cole,39.1,Gerrit Cole,39.1,Manuel Margot,5.0,Manuel Margot,5.0,Gio Urshela,8.0,Gerrit Cole,39.1,Gerrit Cole,39.1,Justin Turner,0.0,Justin Turner,0.0,Giancarlo Stanton,15.0,Giancarlo Stanton,15.0,Giancarlo Stanton,15.0,Gerrit Cole,39.1,Miguel Cabrera,0.0,Christian Arroyo,7.0,Manny Machado,0.0,Kyle Seager,4.0
7,Nick Madrigal,Nick Madrigal,Myles Straw,Myles Straw,Myles Straw,Mitch Haniger,Mitch Haniger,Mike Zunino,Gio Urshela,Gio Urshela,Mitch Haniger,Mitch Haniger,Luis Torrens,Gio Urshela,Gio Urshela,Manuel Margot,Manuel Margot,Gio Urshela,Gio Urshela,Gio Urshela,Kyle Seager,Mitch Haniger,Gerrit Cole,Manuel Margot,Manuel Margot,Nick Madrigal,7.0,Nick Madrigal,7.0,Myles Straw,2.0,Myles Straw,2.0,Myles Straw,2.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Mike Zunino,4.0,Gio Urshela,8.0,Gio Urshela,8.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Luis Torrens,3.0,Gio Urshela,8.0,Gio Urshela,8.0,Manuel Margot,5.0,Manuel Margot,5.0,Gio Urshela,8.0,Gio Urshela,8.0,Gio Urshela,8.0,Kyle Seager,4.0,Mitch Haniger,19.0,Gerrit Cole,39.1,Manuel Margot,5.0,Manuel Margot,5.0
8,Nicky Lopez,Nicky Lopez,Randal Grichuk,Randal Grichuk,Randal Grichuk,Ryan O'Hearn,Ryan O'Hearn,Randal Grichuk,Randal Grichuk,Randal Grichuk,Ryan O'Hearn,Ryan O'Hearn,Randal Grichuk,Randal Grichuk,Randal Grichuk,Mitch Haniger,Mitch Haniger,Manuel Margot,Omar Narvaez,Omar Narvaez,Manuel Margot,Shane Bieber,Manuel Margot,Omar Narvaez,Omar Narvaez,Nicky Lopez,2.0,Nicky Lopez,2.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Ryan O'Hearn,2.0,Ryan O'Hearn,2.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Ryan O'Hearn,2.0,Ryan O'Hearn,2.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Randal Grichuk,14.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Manuel Margot,5.0,Omar Narvaez,3.0,Omar Narvaez,3.0,Manuel Margot,5.0,Shane Bieber,28.7,Manuel Margot,5.0,Omar Narvaez,3.0,Omar Narvaez,3.0
9,Ryan O'Hearn,Ryan O'Hearn,Rougned Odor,Rougned Odor,Rougned Odor,Shane Bieber,Shane Bieber,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Shane Bieber,Shane Bieber,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Shane Bieber,Shane Bieber,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Shane Bieber,Trea Turner,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Ryan O'Hearn,2.0,Ryan O'Hearn,2.0,Rougned Odor,18.0,Rougned Odor,18.0,Rougned Odor,18.0,Shane Bieber,28.7,Shane Bieber,28.7,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Shane Bieber,28.7,Shane Bieber,28.7,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Shane Bieber,28.7,Shane Bieber,28.7,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Shane Bieber,28.7,Trea Turner,0.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0,Vladimir Guerrero Jr.,13.0
