Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2679506764,jmanz,0,139.5,P Tyler Glasnow P Nick Pivetta 1B Shohei Ohtani OF Austin Hays 2B Jeff McNeil OF Mitch Haniger OF Kyle Schwarber 3B Mike Brosseau SS David Fletcher C Luis Torrens,,Tyler Glasnow,P,37.50%,30.4
2,2679409850,shadygrady69,0,133.65,P Tyler Glasnow P Joe Musgrove SS Bo Bichette OF Jared Walsh 3B Matt Duffy 1B Yandy D?az OF Kyle Tucker 2B Josh Harrison OF Adolis Garc?a C Mart?n Maldonado,,Max Scherzer,P,31.25%,27.45
3,2679197922,ajs1086,0,126.95,P Clayton Kershaw P Joe Musgrove SS Trevor Story OF Juan Soto C Gary S?nchez OF Shohei Ohtani 2B Josh Harrison 3B Josh Fuentes 1B Connor Joe OF Nomar Mazara,,Teoscar Hern?ndez,OF,31.25%,0
4,2679354541,willoc131,0,118.05,P Zack Greinke P Corey Kluber OF Juan Soto OF Bryce Harper 2B Jean Segura OF Kyle Schwarber 1B Mitch Moreland C Kyle Higashioka SS Andrelton Simmons 3B Alec Bohm,,Mike Moustakas,1B,25.00%,5
5,2679515017,heaffer,0,117.1,P Tyler Glasnow P Clayton Kershaw 1B Vladimir Guerrero Jr. C Tucker Barnhart OF Teoscar Hern?ndez 2B David Fletcher SS J.P. Crawford 3B Cavan Biggio OF Kyle Lewis OF Jarred Kelenic,,Tucker Barnhart,C,25.00%,8
6,2679290387,caitdk2021,0,104.55,P Max Scherzer P Nick Pivetta 1B Vladimir Guerrero Jr. OF Jesse Winker OF Teoscar Hern?ndez 3B Cavan Biggio 2B Jonathan India SS Kyle Farmer OF Lourdes Gurriel Jr. C Andrew Knapp,,Connor Joe,1B,25.00%,2
7,2679403248,weinhandlwins,0,101,P Corey Kluber P David Peterson OF Jesse Winker 3B Eugenio Su?rez 1B Mike Moustakas C Tucker Barnhart OF Andrew McCutchen SS Kyle Farmer OF Kyle Tucker 2B Luis Arraez,,Corey Kluber,P,18.75%,16.1
8,2679545897,Ozology,0,99.35,P Nick Pivetta P Dean Kremer 1B Luke Voit OF Marcell Ozuna OF David Peralta 3B Mike Moustakas C Christian V?zquez SS Miguel Rojas OF Michael Brantley 2B Kolten Wong,,Joe Musgrove,P,18.75%,17.25
9,2679445352,rainbowwarrior3,0,97.35,P Max Scherzer P David Peterson SS Xander Bogaerts 3B Alex Bregman OF Yordan Alvarez OF Alex Verdugo 1B Mitch Moreland OF Kyle Tucker 2B Alan Trejo C Jake Rogers,,Nick Pivetta,P,18.75%,21.1
10,2679406166,vikesmnskol,0,95.95,P Max Scherzer P Jake Arrieta OF Nelson Cruz 3B Josh Donaldson OF Shohei Ohtani 1B Mike Moustakas OF Tyler Naquin C Tucker Barnhart 2B Luis Arraez SS Tyler Wade,,Jesse Winker,OF,18.75%,5
11,2679544837,xxxStrat9xxx,0,94.85,P Tyler Glasnow P Max Scherzer C Yadier Molina 2B Nick Solak SS Freddy Galvis OF Teoscar Hern?ndez 3B Starlin Castro OF Adolis Garc?a OF Willie Calhoun 1B Michael Chavis,,Jared Walsh,1B,18.75%,5
12,2679347658,JB567,0,91.9,P Tyler Glasnow P Jake Arrieta 3B Rafael Devers 2B DJ LeMahieu 1B Jared Walsh OF Joc Pederson OF Alex Verdugo SS Willy Adames C Manny Pi?a OF Tyrone Taylor,,Shohei Ohtani,1B,18.75%,19
13,2679391120,Jvh1985,0,90.85,P Tyler Glasnow P Max Scherzer SS Trevor Story 3B Alex Bregman OF Andrew McCutchen OF Teoscar Hern?ndez C Danny Jansen 1B Connor Joe 2B Robel Garc?a OF Trevor Larnach,,Andrew McCutchen,OF,18.75%,7
14,2679540926,arieljv,0,83.3,P Aaron Civale P Corey Kluber 3B Jos? Ram?rez C Willson Contreras 2B Cesar Hernandez OF Teoscar Hern?ndez SS Dansby Swanson OF Kyle Schwarber 1B Connor Joe OF Shogo Akiyama,,Alex Verdugo,OF,18.75%,0
15,2679520009,Spivens,0,75.15,P Joe Musgrove P Drew Smyly C Willson Contreras OF J.D. Martinez SS Bo Bichette 2B Ozzie Albies OF Alex Verdugo 3B Cavan Biggio OF Clint Frazier 1B Connor Joe,,Kyle Schwarber,OF,18.75%,30
16,2679394121,banksbets,0,18.95,P Sandy Alcantara P Wade Miley OF Jesse Winker OF Jared Walsh 2B Jean Segura 1B Mike Moustakas C Tucker Barnhart OF Andrew McCutchen SS Amed Rosario 3B Kyle Farmer,,Cavan Biggio,3B,18.75%,2
,,,,,,,Kyle Farmer,3B,18.75%,0
