Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-07-21,APPG,Start_Adolis_Garcia,Start_Bo_Bichette,Start_Carlos_Rodon,Start_Harrison_Bader,Start_Hunter_Dozier,Start_Jack_Flaherty,Start_Nick_Madrigal,Start_Salvador_Perez,Start_Tyler_O'Neill,Start_Vladimir_Guerrero_Jr.,121.86999999999999
05-07-21,pj_vO,Start_Adam_Eaton,Start_Carlos_Rodon,Start_Harrison_Bader,Start_Mike_Foltynewicz,Start_Nick_Madrigal,Start_Tim_Anderson,Start_Yermin_Mercedes,Start_Yoan_Moncada,Start_Yordan_Alvarez,Start_Zack_Collins,154.40000000000003
05-07-21,APPG_1-6,Start_Adolis_Garcia,Start_Andrew_Benintendi,Start_Bo_Bichette,Start_Carlos_Rodon,Start_Hunter_Dozier,Start_Mike_Foltynewicz,Start_Salvador_Perez,Start_Tyler_O'Neill,Start_Vladimir_Guerrero_Jr.,Start_Whit_Merrifield,116.92999999999999
05-07-21,pj_vO_1-6,Start_Adam_Eaton,Start_Carlos_Rodon,Start_Jose_Altuve,Start_Mike_Foltynewicz,Start_Rowdy_Tellez,Start_Tim_Anderson,Start_Tyler_O'Neill,Start_Yoan_Moncada,Start_Yordan_Alvarez,Start_Zack_Collins,138.22000000000003
05-07-21,APPG_1-5,Start_Adolis_Garcia,Start_Alex_Bregman,Start_Andrew_Benintendi,Start_Carlos_Rodon,Start_Mike_Foltynewicz,Start_Nate_Lowe,Start_Paul_DeJong,Start_Salvador_Perez,Start_Whit_Merrifield,Start_Willie_Calhoun,113.58
05-07-21,pj_vO_1-5,Start_Adam_Eaton,Start_Carlos_Rodon,Start_Dylan_Carlson,Start_Jose_Altuve,Start_Mike_Foltynewicz,Start_Paul_DeJong,Start_Rowdy_Tellez,Start_Salvador_Perez,Start_Yoan_Moncada,Start_Yordan_Alvarez,122.29
05-07-21,APPG_1-4,Start_Alex_Bregman,Start_Andrew_Benintendi,Start_Austin_Gomber,Start_Bo_Bichette,Start_Carlos_Rodon,Start_Dylan_Carlson,Start_Nate_Lowe,Start_Nick_Solak,Start_Salvador_Perez,Start_Willie_Calhoun,110.34
05-07-21,pj_vO_1-4,Start_Adam_Eaton,Start_Austin_Gomber,Start_Jose_Altuve,Start_Mike_Foltynewicz,Start_Mitch_Haniger,Start_Nate_Lowe,Start_Salvador_Perez,Start_Tim_Anderson,Start_Yoan_Moncada,Start_Yordan_Alvarez,117.52000000000002
