Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,104,3.10,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,1,1,.500,5.91,7,0,0,0,0,0,10.2,10,7,7,2,5,0,8,1,0,1,46,73,5.72,1.406,8.4,1.7,4.2,6.8,1.60
3,Jason Adam\adamja01,29,CHC,NL,0,0,,2.70,7,0,1,0,0,0,6.2,4,2,2,1,4,0,10,2,0,0,29,150,4.75,1.200,5.4,1.4,5.4,13.5,2.50
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,8.44,7,0,1,0,0,0,5.1,6,5,5,0,3,0,11,4,0,0,29,46,2.91,1.688,10.1,0.0,5.1,18.6,3.67
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.10,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,4.76,6,0,3,0,0,0,5.2,3,3,3,2,1,0,4,0,0,0,20,87,6.80,0.706,4.8,3.2,1.6,6.4,4.00
7,Sandy Alcantara\alcansa01,25,MIA,NL,0,2,.000,3.34,5,5,0,0,0,0,29.2,20,12,11,2,11,1,32,3,0,1,121,120,3.23,1.045,6.1,0.6,3.3,9.7,2.91
8,Scott Alexander*\alexasc02,31,LAD,NL,0,1,.000,2.45,8,0,6,0,0,0,7.1,4,3,2,1,0,0,3,0,0,1,27,159,4.05,0.545,4.9,1.2,0.0,3.7,
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,6.23,5,0,3,0,0,0,8.2,9,6,6,3,4,0,7,0,0,0,39,72,7.37,1.500,9.3,3.1,4.2,7.3,1.75
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,2.45,4,0,2,0,0,0,7.1,6,2,2,1,0,0,11,0,0,2,29,184,1.87,0.818,7.4,1.2,0.0,13.5,
11,Logan Allen*\allenlo01,24,CLE,AL,1,3,.250,6.28,4,4,0,0,0,0,14.1,15,12,10,4,6,0,11,2,0,1,65,70,6.86,1.465,9.4,2.5,3.8,6.9,1.83
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,9.72,10,0,0,0,0,0,8.1,11,9,9,3,4,0,8,1,0,1,39,49,7.66,1.800,11.9,3.2,4.3,8.6,2.00
13,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,71,9.85,0.750,6.8,6.8,0.0,13.5,
14,Jose Alvarado*\alvarjo03,26,PHI,NL,2,0,1.000,1.59,6,0,1,0,0,1,5.2,4,1,1,0,2,0,10,2,0,0,26,262,1.69,1.059,6.4,0.0,3.2,15.9,5.00
15,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,2.84,8,0,3,0,0,0,6.1,5,3,2,0,6,0,8,0,0,0,30,140,3.41,1.737,7.1,0.0,8.5,11.4,1.33
