"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Manny Pina","MIL","1","1","1","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","1.000","2829"
"Tommy Pham","SDP","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","2967"
"Michael Brantley","HOU","1","3","4","3","0","3","0","0","4","0","1","0","0","0","0","0","0","0","0","1.000","4106"
"Michael Perez","PIT","1","3","4","3","1","1","0","1","1","3","1","0","0","0","0","0","0","0","0","1.000","12977"
"Daniel Vogelbach","MIL","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","14130"
"Matt Beaty","LAD","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","17710"
"Victor Robles","WSN","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","18363"
"Alan Trejo","COL","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","20056"
"Eric Sogard","CHC","1","4","4","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","7927"
"Yoan Moncada","CHW","1","4","4","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","17232"
"Ty France","SEA","1","4","5","3","1","2","0","0","3","0","1","0","0","0","0","0","0","0","0",".750","17982"
"Keston Hiura","MIL","1","4","4","3","2","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".750","20003"
"Dylan Carlson","STL","1","4","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".750","20126"
"Jake Cave","MIN","1","3","3","2","0","2","0","0","1","1","0","0","1","0","0","0","0","0","0",".667","14477"
"Alex Bregman","HOU","1","3","4","2","1","0","0","1","4","3","1","0","0","0","0","0","0","0","0",".667","17678"
"Pete Alonso","NYM","1","3","4","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0",".667","19251"
"Sheldon Neuse","LAD","1","3","3","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","1",".667","19635"
"Nick Maton","PHI","1","3","4","2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0",".667","21635"
"Kyle Seager","SEA","1","5","5","3","1","1","1","0","2","3","0","0","1","0","0","0","0","0","0",".600","9785"
"Sam Haggerty","SEA","1","5","5","3","2","0","0","1","2","2","0","0","1","0","0","0","0","1","0",".600","18054"
"Cavan Biggio","TOR","1","5","5","3","2","1","0","0","1","0","0","0","2","0","0","0","0","0","0",".600","19252"
"Roberto Perez","CLE","1","2","3","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",".500","2900"
"Charlie Culberson","TEX","1","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","3298"
"Eric Hosmer","SDP","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","3516"
"Elvis Andrus","OAK","1","4","4","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0",".500","8709"
"Jason Castro","HOU","1","4","5","2","1","1","0","0","2","2","1","0","1","0","0","0","0","0","0",".500","8722"
"A.J. Pollock","LAD","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".500","9256"
"Brandon Belt","SFG","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","10264"
"Corey Dickerson","MIA","1","4","4","2","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0",".500","10762"
"Mark Canha","OAK","1","4","5","2","1","1","0","0","3","2","0","0","0","1","0","0","0","0","0",".500","11445"
"Elias Diaz","COL","1","2","3","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".500","11680"
"Kolten Wong","MIL","1","4","5","2","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0",".500","12532"
"C.J. Cron","COL","1","4","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","12546"
"Chris Taylor","LAD","1","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0",".500","13757"
"Joey Gallo","TEX","1","4","4","2","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".500","14128"
"Carlos Correa","HOU","1","6","6","3","2","0","0","1","2","1","0","0","1","0","0","0","0","0","0",".500","14162"
"Matt Olson","OAK","1","4","5","2","1","1","0","0","0","2","1","0","0","0","0","0","0","0","0",".500","14344"
"Jeff McNeil","NYM","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".500","15362"
"Rowdy Tellez","TOR","1","4","4","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","15679"
"Chance Sisco","BAL","1","4","4","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","15694"
"Rhys Hoskins","PHI","1","4","5","2","0","0","0","2","2","5","1","0","1","0","0","0","0","0","0",".500","16472"
"Alex Verdugo","BOS","1","4","4","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","17027"
"Ramon Laureano","OAK","1","4","5","2","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".500","17128"
"Rafael Devers","BOS","1","4","4","2","0","2","0","0","1","1","0","0","0","0","0","0","1","0","0",".500","17350"
"Willie Calhoun","TEX","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".500","17838"
"Will Smith","LAD","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","19197"
"Yuli Gurriel","HOU","1","4","5","2","1","1","0","0","1","2","1","0","0","0","0","0","1","0","0",".500","19198"
"Nick Solak","TEX","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","19294"
"Jose Rojas","LAA","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","19331"
"Yadiel Hernandez","WSN","1","4","5","2","2","0","0","0","1","2","0","0","0","0","1","0","0","0","0",".500","19334"
"Austin Hays","BAL","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","19363"
"Yordan Alvarez","HOU","1","4","5","2","1","0","1","0","0","4","1","1","1","0","0","0","1","0","0",".500","19556"
"Nate Lowe","TEX","1","4","4","2","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0",".500","19566"
"Evan White","SEA","1","4","5","2","2","0","0","0","0","1","1","0","1","0","0","0","0","0","0",".500","20078"
"Nico Hoerner","CHC","1","2","4","1","0","1","0","0","0","2","2","0","1","0","0","0","0","0","0",".500","21479"
"Andrew Vaughn","CHW","1","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","26197"
"Corey Seager","LAD","1","5","5","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0",".400","13624"
"Kyle Schwarber","WSN","1","5","5","2","2","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".400","16478"
"Myles Straw","HOU","1","5","5","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0",".400","17620"
"Kyle Tucker","HOU","1","5","5","2","1","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".400","18345"
"Fernando Tatis Jr.","SDP","1","5","5","2","0","0","0","2","2","2","0","0","2","0","0","0","0","0","0",".400","19709"
"Albert Pujols","LAA","1","3","3","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0",".333","1177"
"Starlin Castro","WSN","1","3","5","1","1","0","0","0","1","1","2","0","1","0","0","0","0","0","0",".333","4579"
"Justin Upton","LAA","1","3","3","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".333","5222"
"Andrew McCutchen","PHI","1","3","5","1","1","0","0","0","1","0","2","0","1","0","0","0","0","0","0",".333","9847"
"Randal Grichuk","TOR","1","3","4","1","0","0","0","1","1","3","1","0","1","0","0","0","0","0","0",".333","10243"
"Michael A. Taylor","KCR","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","11489"
"Nick Castellanos","CIN","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","11737"
"Hanser Alberto","KCR","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","11902"
"Jon Berti","MIA","1","3","4","1","0","0","0","1","1","2","0","0","1","0","1","0","0","0","0",".333","12037"
"Rougned Odor","NYY","1","3","4","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".333","12282"
"Marcus Semien","TOR","1","3","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0",".333","12533"
"Trevor Story","COL","1","3","4","1","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0",".333","12564"
"Jorge Soler","KCR","1","3","3","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".333","14221"
"Raimel Tapia","COL","1","3","4","1","0","1","0","0","2","1","1","0","0","0","0","0","0","0","0",".333","14350"
"Harold Castro","DET","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","14691"
"Victor Reyes","DET","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","15487"
"Willians Astudillo","MIN","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","15608"
"Aaron Judge","NYY","1","3","4","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","15640"
"Jose Abreu","CHW","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","15676"
"Willi Castro","DET","1","3","3","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".333","17338"
"Yermin Mercedes","CHW","1","3","4","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1",".333","17423"
"Kevin Newman","PIT","1","3","4","1","0","0","0","1","1","2","0","0","0","0","1","0","0","0","0",".333","17696"
"Mike Brosseau","TBR","1","3","4","1","0","0","0","1","1","2","1","0","2","0","0","0","0","0","0",".333","19683"
"Luis Robert","CHW","1","3","4","1","1","0","0","0","1","0","1","0","2","0","0","0","0","0","0",".333","20043"
"Jonathan India","CIN","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","21523"
"Jason Heyward","CHC","1","4","4","1","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0",".250","4940"
"Giancarlo Stanton","NYY","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","4949"
