,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,05-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Andrew Vaughn,Andrew Vaughn,Andrew Vaughn,Adolis Garcia,Adolis Garcia,Austin Hays,DJ Stewart,DJ Stewart,Adolis Garcia,Adolis Garcia,Austin Hays,Austin Hays,Austin Hays,Alex Bregman,Alex Bregman,DJ Stewart,DJ Stewart,Austin Hays,Alex Bregman,Alex Bregman,Austin Hays,Austin Hays,Austin Hays,Adolis Garcia,24.0,Adolis Garcia,24.0,Andrew Vaughn,9.0,Andrew Vaughn,9.0,Andrew Vaughn,9.0,Adolis Garcia,24.0,Adolis Garcia,24.0,Austin Hays,14.0,DJ Stewart,9.0,DJ Stewart,9.0,Adolis Garcia,24.0,Adolis Garcia,24.0,Austin Hays,14.0,Austin Hays,14.0,Austin Hays,14.0,Alex Bregman,17.0,Alex Bregman,17.0,DJ Stewart,9.0,DJ Stewart,9.0,Austin Hays,14.0,Alex Bregman,17.0,Alex Bregman,17.0,Austin Hays,14.0,Austin Hays,14.0,Austin Hays,14.0
2,Alex Bregman,Alex Bregman,Danny Mendick,Danny Mendick,Danny Mendick,Didi Gregorius,Didi Gregorius,DJ Stewart,Freddy Galvis,Ian Anderson,Alec Bohm,Alec Bohm,DJ Stewart,DJ Stewart,DJ Stewart,Andrew Benintendi,Andrew Benintendi,Erik Swanson,Erik Swanson,Erik Swanson,Alex Verdugo,Alex Verdugo,Erik Swanson,Erik Swanson,Erik Swanson,Alex Bregman,17.0,Alex Bregman,17.0,Danny Mendick,16.0,Danny Mendick,16.0,Danny Mendick,16.0,Didi Gregorius,0.0,Didi Gregorius,0.0,DJ Stewart,9.0,Freddy Galvis,14.0,Ian Anderson,16.099999999999998,Alec Bohm,2.0,Alec Bohm,2.0,DJ Stewart,9.0,DJ Stewart,9.0,DJ Stewart,9.0,Andrew Benintendi,0.0,Andrew Benintendi,0.0,Erik Swanson,1.1500000000000004,Erik Swanson,1.1500000000000004,Erik Swanson,1.1500000000000004,Alex Verdugo,11.0,Alex Verdugo,11.0,Erik Swanson,1.1500000000000004,Erik Swanson,1.1500000000000004,Erik Swanson,1.1500000000000004
3,Cristian Javier,Cristian Javier,Freddie Freeman,Freddie Freeman,Freddie Freeman,Ian Anderson,Ian Anderson,Freddie Freeman,Ian Anderson,Jose Iglesias,Ian Anderson,Ian Anderson,Ian Anderson,Ian Anderson,Ian Anderson,Ian Anderson,Ian Anderson,Freddie Freeman,Freddie Freeman,J.T. Realmuto,Carson Kelly,Carson Kelly,Freddie Freeman,Freddie Freeman,Lance Lynn,Cristian Javier,12.675,Cristian Javier,12.675,Freddie Freeman,18.0,Freddie Freeman,18.0,Freddie Freeman,18.0,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Freddie Freeman,18.0,Ian Anderson,16.099999999999998,Jose Iglesias,0.0,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Freddie Freeman,18.0,Freddie Freeman,18.0,J.T. Realmuto,14.0,Carson Kelly,8.0,Carson Kelly,8.0,Freddie Freeman,18.0,Freddie Freeman,18.0,Lance Lynn,24.25
4,Didi Gregorius,Didi Gregorius,Ian Anderson,Ian Anderson,Ian Anderson,J.D. Martinez,J.D. Martinez,Ian Anderson,Kyle Seager,Lance Lynn,J.D. Martinez,J.D. Martinez,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Justin Upton,Justin Upton,J.T. Realmuto,J.T. Realmuto,Lance Lynn,Erik Swanson,Erik Swanson,Kyle Lewis,Kyle Lewis,Mitch Haniger,Didi Gregorius,0.0,Didi Gregorius,0.0,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,Ian Anderson,16.099999999999998,J.D. Martinez,9.0,J.D. Martinez,9.0,Ian Anderson,16.099999999999998,Kyle Seager,19.0,Lance Lynn,24.25,J.D. Martinez,9.0,J.D. Martinez,9.0,J.T. Realmuto,14.0,J.T. Realmuto,14.0,J.T. Realmuto,14.0,Justin Upton,0.0,Justin Upton,0.0,J.T. Realmuto,14.0,J.T. Realmuto,14.0,Lance Lynn,24.25,Erik Swanson,1.1500000000000004,Erik Swanson,1.1500000000000004,Kyle Lewis,12.0,Kyle Lewis,12.0,Mitch Haniger,9.0
5,J.D. Martinez,J.D. Martinez,Lance Lynn,Lance Lynn,Lance Lynn,Justin Upton,Justin Upton,Jose Iglesias,Lance Lynn,Mitch Haniger,Justin Upton,Justin Upton,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Kyle Seager,Kyle Seager,Mitch Haniger,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Nick Madrigal,J.D. Martinez,9.0,J.D. Martinez,9.0,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Justin Upton,0.0,Justin Upton,0.0,Jose Iglesias,0.0,Lance Lynn,24.25,Mitch Haniger,9.0,Justin Upton,0.0,Justin Upton,0.0,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Kyle Seager,19.0,Kyle Seager,19.0,Mitch Haniger,9.0,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Nick Madrigal,8.0
6,Justin Upton,Justin Upton,Mitch Haniger,Mitch Haniger,Mitch Haniger,Lance Lynn,Lance Lynn,Lance Lynn,Mitch Haniger,Nick Madrigal,Lance Lynn,Lance Lynn,Nick Madrigal,Nick Madrigal,Nick Madrigal,Nate Lowe,Nate Lowe,Lance Lynn,Lance Lynn,Nick Madrigal,Nate Lowe,Nate Lowe,Nick Madrigal,Nick Madrigal,Ronald Acuna Jr.,Justin Upton,0.0,Justin Upton,0.0,Mitch Haniger,9.0,Mitch Haniger,9.0,Mitch Haniger,9.0,Lance Lynn,24.25,Lance Lynn,24.25,Lance Lynn,24.25,Mitch Haniger,9.0,Nick Madrigal,8.0,Lance Lynn,24.25,Lance Lynn,24.25,Nick Madrigal,8.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Nate Lowe,12.0,Nate Lowe,12.0,Lance Lynn,24.25,Lance Lynn,24.25,Nick Madrigal,8.0,Nate Lowe,12.0,Nate Lowe,12.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Ronald Acuna Jr.,2.0
7,Lance Lynn,Lance Lynn,Nick Madrigal,Nick Madrigal,Nick Madrigal,Nate Lowe,Nate Lowe,Nick Madrigal,Nick Madrigal,Ronald Acuna Jr.,Nate Lowe,Nate Lowe,Ronald Acuna Jr.,Ronald Acuna Jr.,Ronald Acuna Jr.,Nick Madrigal,Nick Madrigal,Mitch Haniger,Mitch Haniger,Ronald Acuna Jr.,Nick Madrigal,Nick Madrigal,Ronald Acuna Jr.,Ronald Acuna Jr.,Salvador Perez,Lance Lynn,24.25,Lance Lynn,24.25,Nick Madrigal,8.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Nate Lowe,12.0,Nate Lowe,12.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Ronald Acuna Jr.,2.0,Nate Lowe,12.0,Nate Lowe,12.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Mitch Haniger,9.0,Mitch Haniger,9.0,Ronald Acuna Jr.,2.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Salvador Perez,0.0
8,Nate Lowe,Nate Lowe,Ronald Acuna Jr.,Ronald Acuna Jr.,Ronald Acuna Jr.,Nick Madrigal,Nick Madrigal,Ronald Acuna Jr.,Ronald Acuna Jr.,Yasmani Grandal,Nick Madrigal,Nick Madrigal,Ryan Mountcastle,Ryan Mountcastle,Ryan Mountcastle,Salvador Perez,Salvador Perez,Nick Madrigal,Nick Madrigal,Tim Anderson,Ronald Acuna Jr.,Ronald Acuna Jr.,Salvador Perez,Salvador Perez,Tim Anderson,Nate Lowe,12.0,Nate Lowe,12.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Yasmani Grandal,10.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Ryan Mountcastle,0.0,Ryan Mountcastle,0.0,Ryan Mountcastle,0.0,Salvador Perez,0.0,Salvador Perez,0.0,Nick Madrigal,8.0,Nick Madrigal,8.0,Tim Anderson,10.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Salvador Perez,0.0,Salvador Perez,0.0,Tim Anderson,10.0
9,Nick Madrigal,Nick Madrigal,William Contreras,William Contreras,William Contreras,Rafael Devers,Rafael Devers,Yasmani Grandal,Ryan Mountcastle,Yermin Mercedes,Salvador Perez,Salvador Perez,Tim Anderson,Tim Anderson,Tim Anderson,Teoscar Hernandez,Teoscar Hernandez,Ronald Acuna Jr.,Ronald Acuna Jr.,Trey Mancini,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Trey Mancini,Nick Madrigal,8.0,Nick Madrigal,8.0,William Contreras,13.0,William Contreras,13.0,William Contreras,13.0,Rafael Devers,6.0,Rafael Devers,6.0,Yasmani Grandal,10.0,Ryan Mountcastle,0.0,Yermin Mercedes,7.0,Salvador Perez,0.0,Salvador Perez,0.0,Tim Anderson,10.0,Tim Anderson,10.0,Tim Anderson,10.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Trey Mancini,9.0,Tim Anderson,10.0,Tim Anderson,10.0,Tim Anderson,10.0,Tim Anderson,10.0,Trey Mancini,9.0
10,William Contreras,William Contreras,Yoan Moncada,Yoan Moncada,Yoan Moncada,Salvador Perez,Salvador Perez,Yoan Moncada,Yasmani Grandal,Yoan Moncada,Tim Anderson,Tim Anderson,Yoan Moncada,Yoan Moncada,Yoan Moncada,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Yoan Moncada,Willie Calhoun,Willie Calhoun,Yoan Moncada,Yoan Moncada,Yoan Moncada,William Contreras,13.0,William Contreras,13.0,Yoan Moncada,16.0,Yoan Moncada,16.0,Yoan Moncada,16.0,Salvador Perez,0.0,Salvador Perez,0.0,Yoan Moncada,16.0,Yasmani Grandal,10.0,Yoan Moncada,16.0,Tim Anderson,10.0,Tim Anderson,10.0,Yoan Moncada,16.0,Yoan Moncada,16.0,Yoan Moncada,16.0,Tim Anderson,10.0,Tim Anderson,10.0,Tim Anderson,10.0,Tim Anderson,10.0,Yoan Moncada,16.0,Willie Calhoun,5.0,Willie Calhoun,5.0,Yoan Moncada,16.0,Yoan Moncada,16.0,Yoan Moncada,16.0
