"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Mark Melancon","SDP","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","4264"
"Jake Diekman","OAK","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","5003"
"Junior Guerra","LAA","0","0","0.00","1","0","0","0","0","0","0","1.2","6","0","0","0","0","1","0","0","0","0","0","5702"
"Greg Holland","KCR","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","7196"
"Craig Stammen","SDP","0","0","0.00","1","0","0","0","0","0","0","2.0","8","2","0","0","0","0","0","0","0","0","1","7274"
"Cesar Valdez","BAL","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","9013"
"Sergio Romo","OAK","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","9817"
"Caleb Thielbar","MIN","0","0","0.00","1","0","0","0","0","1","0","0.2","4","1","0","0","0","1","0","0","0","0","0","10078"
"Drew Pomeranz","SDP","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","11426"
"Hector Neris","PHI","0","0","0.00","1","0","0","0","1","0","0","1.2","7","2","0","0","0","1","0","0","0","0","3","11804"
"Domingo Tapia","SEA","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","0","0","0","1","0","0","0","0","1","12178"
"Jacob Barnes","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","12323"
"Clay Holmes","PIT","0","0","0.00","1","0","0","0","0","0","0","0.1","2","1","0","0","0","0","0","0","0","0","0","13649"
"Robert Gsellman","NYM","0","0","0.00","1","0","0","0","0","0","0","2.1","7","0","0","0","0","0","0","0","0","0","1","13696"
"Tyler Duffey","MIN","0","0","0.00","1","0","0","0","0","1","0","0.2","3","1","0","0","0","0","0","0","0","0","0","13758"
"Austin Adams","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","3","13801"
"James Hoyt","LAA","0","0","0.00","1","0","0","0","0","0","0","0.2","4","0","0","0","0","2","0","0","0","0","2","14605"
"Giovanny Gallegos","STL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14986"
"Scott Barlow","KCR","0","0","0.00","1","0","0","0","0","0","0","0.1","3","1","0","0","0","1","0","0","1","0","0","14993"
"Alex Reyes","STL","0","0","0.00","1","0","0","0","1","0","0","1.0","5","0","0","0","0","2","0","0","0","0","0","15015"
"Tim Mayza","TOR","0","0","0.00","1","0","0","0","0","0","0","1.1","6","0","0","0","0","2","0","0","0","0","1","15042"
"Cole Sulser","BAL","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15256"
"Keynan Middleton","SEA","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15264"
"Erik Swanson","SEA","0","0","0.00","1","1","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","3","16587"
