"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jed Lowrie","OAK","1","4","4","3","1","2","0","0","1","1","0","0","0","0","0","0","0","0","0",".750","4418"
"Franmil Reyes","CLE","1","4","5","3","1","2","0","0","1","2","1","0","1","0","0","0","0","0","0",".750","14566"
"Yandy Diaz","TBR","1","4","5","3","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0",".750","16578"
"Pete Alonso","NYM","1","4","5","3","1","2","0","0","2","0","1","0","0","0","0","0","0","0","0",".750","19251"
"Vladimir Guerrero Jr.","TOR","1","4","4","3","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","19611"
"Didi Gregorius","PHI","1","3","4","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0",".667","6012"
"Jorge Polanco","MIN","1","3","4","2","0","1","1","0","1","2","1","0","0","0","0","0","0","0","0",".667","13152"
"Stephen Piscotty","OAK","1","3","4","2","1","0","0","1","1","2","1","0","0","0","0","0","0","0","0",".667","13367"
"Pat Valaika","BAL","1","3","4","2","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0",".667","14885"
"Cedric Mullins II","BAL","1","5","5","3","1","1","0","1","1","2","0","0","0","0","0","0","0","0","0",".600","17929"
"Cesar Hernandez","CLE","1","2","5","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0",".500","10556"
"Christian Yelich","MIL","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","11477"
"Eddie Rosario","CLE","1","2","4","1","0","0","0","1","1","3","1","0","0","0","0","1","0","0","0",".500","12155"
"Kevin Pillar","NYM","1","4","4","2","1","0","0","1","2","2","0","0","0","0","0","0","1","0","0",".500","12434"
"Tom Murphy","SEA","1","2","3","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0",".500","13499"
"Joey Gallo","TEX","1","4","5","2","1","0","0","1","2","2","1","0","2","0","0","0","0","0","0",".500","14128"
"Jorge Soler","KCR","1","4","5","2","1","1","0","0","1","2","0","0","0","0","1","0","1","0","0",".500","14221"
"Austin Nola","SDP","1","2","3","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0",".500","15941"
"Willy Adames","TBR","1","4","4","2","0","1","0","1","2","1","0","0","1","0","0","0","0","0","0",".500","15986"
"Ramon Laureano","OAK","1","4","4","2","1","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".500","17128"
"Paul DeJong","STL","1","4","4","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","18015"
"Josh Naylor","CLE","1","4","5","2","0","1","0","1","1","3","1","1","1","0","0","0","0","0","0",".500","18839"
"Tommy Edman","STL","1","4","4","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0",".500","19470"
"Shohei Ohtani","LAA","1","4","4","2","0","1","0","1","1","2","0","0","1","0","0","0","0","0","1",".500","19755"
"Alex Kirilloff","MIN","1","4","4","2","0","2","0","0","3","1","0","0","1","0","0","0","0","0","0",".500","20325"
"Harold Ramirez","CLE","1","5","5","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".400","14387"
"Manuel Margot","TBR","1","5","5","2","1","0","0","1","1","3","0","0","1","0","0","0","0","0","0",".400","14712"
"Hunter Dozier","KCR","1","5","5","2","0","0","1","1","2","2","0","0","1","0","0","0","0","0","0",".400","15117"
"Nate Lowe","TEX","1","5","5","2","1","1","0","0","1","0","0","0","2","0","0","0","0","1","0",".400","19566"
"Jarrod Dyson","KCR","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","4866"
"Kurt Suzuki","LAA","1","3","3","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","8259"
"Paul Goldschmidt","STL","1","3","4","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".333","9218"
"Nolan Arenado","STL","1","3","4","1","0","0","0","1","1","3","1","0","0","0","0","0","1","0","0",".333","9777"
"Wil Myers","SDP","1","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","10047"
"Mike Trout","LAA","1","3","4","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","10155"
"Mark Canha","OAK","1","3","4","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",".333","11445"
"Odubel Herrera","PHI","1","3","3","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".333","11476"
"Marcus Semien","TOR","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","12533"
"Brad Miller","PHI","1","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","12775"
"Anthony Rendon","LAA","1","3","3","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".333","12861"
"Phillip Evans","PIT","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","12950"
"Jose Ramirez","CLE","1","3","5","1","1","0","0","0","2","0","2","0","1","0","0","0","0","0","0",".333","13510"
"Roman Quinn","PHI","1","3","3","1","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0",".333","13546"
"David Dahl","TEX","1","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".333","13744"
"Tomas Nido","NYM","1","3","4","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0",".333","13755"
"Jeff McNeil","NYM","1","3","5","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0",".333","15362"
"Francisco Mejia","TBR","1","3","4","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".333","16403"
"Harrison Bader","STL","1","3","3","1","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0",".333","18030"
"Luis Arraez","MIN","1","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","18568"
"Nicky Lopez","KCR","1","3","4","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".333","19339"
"Dylan Carlson","STL","1","3","4","1","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0",".333","20126"
"Ha-seong Kim","SDP","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","27506"
"Albert Pujols","LAA","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0",".250","1177"
"Carlos Santana","KCR","1","4","5","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".250","2396"
"Nelson Cruz","MIN","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","2434"
"Charlie Culberson","TEX","1","4","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","3298"
"Josh Donaldson","MIN","1","4","4","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".250","5038"
"Avisail Garcia","MIL","1","4","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","5760"
"Freddy Galvis","BAL","1","4","4","1","0","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".250","6609"
"Lorenzo Cain","MIL","1","4","5","1","0","0","0","1","2","1","1","0","2","0","0","0","0","0","0",".250","9077"
"Randal Grichuk","TOR","1","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","10243"
"Whit Merrifield","KCR","1","4","5","1","0","0","0","1","1","2","1","0","0","0","0","0","0","0","0",".250","11281"
"J.T. Realmuto","PHI","1","4","4","1","0","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".250","11739"
"Max Kepler","MIN","1","4","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0",".250","12144"
"Maikel Franco","BAL","1","4","4","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","12179"
"Kolten Wong","MIL","1","4","5","1","1","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".250","12532"
"Teoscar Hernandez","TOR","1","4","4","1","1","0","0","0","0","2","0","0","1","0","0","0","0","0","0",".250","13066"
"Daniel Vogelbach","MIL","1","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".250","14130"
"Mitch Haniger","SEA","1","4","4","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0",".250","14274"
"Adam Frazier","PIT","1","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".250","15223"
"Tyler O'Neill","STL","1","4","4","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","15711"
"Matt Chapman","OAK","1","4","4","1","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0",".250","16505"
"Isiah Kiner-Falefa","TEX","1","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",".250","16512"
