"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Kenley Jansen","LAD","0","0","0.00","1","0","0","0","1","0","0","1.1","5","0","0","0","0","1","0","0","0","0","2","3096"
"Justin Wilson","NYY","0","0","0.00","1","0","0","0","0","1","0","0.2","3","0","0","0","0","1","0","0","1","0","0","4301"
"Jeurys Familia","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","5114"
"Jake Odorizzi","HOU","0","0","0.00","1","1","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","6397"
"Jose Cisnero","DET","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","6399"
"Anthony Bass","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","7982"
"Bryan Shaw","CLE","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","8110"
"Paolo Espino","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","8246"
"Deolis Guerra","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","5","2","0","0","0","0","0","0","0","0","1","8410"
"Dallas Keuchel","CHW","0","0","0.00","1","1","0","0","0","0","0","6.0","25","7","0","0","0","0","0","0","0","0","2","9434"
"Rex Brothers","CHC","0","0","0.00","1","0","0","0","0","0","0","0.1","4","0","0","0","0","2","0","1","0","0","1","9794"
"Aaron Northcraft","SDP","0","0","0.00","1","0","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","2","10218"
"Ryan Tepera","CHC","0","0","0.00","1","0","0","0","0","0","0","1.1","5","1","0","0","0","0","0","0","0","0","2","10291"
"Scott Alexander","LAD","0","0","0.00","1","0","0","0","0","1","0","0.1","3","1","0","0","0","0","0","1","0","0","0","10591"
"Adam Kolarek","OAK","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","0","10843"
"Brandon Workman","CHC","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","1","0","1","11428"
"Heath Hembree","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","11632"
"Hector Neris","PHI","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","11804"
"Dan Winkler","CHC","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","12237"
"Jacob Barnes","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","12323"
"Blake Treinen","LAD","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","1","0","3","12572"
"Andrew Kittredge","TBR","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","12828"
"Shawn Armstrong","BAL","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","2","12857"
"Kyle Crick","PIT","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","13182"
"Dylan Floro","MIA","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13394"
"Richard Rodriguez","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","13549"
"John Gant","STL","1","0","0.00","1","1","0","0","0","0","0","6.0","22","3","0","0","0","2","0","0","0","0","5","13684"
"Sal Romano","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","4","2","0","0","0","0","0","0","0","0","0","13690"
"Robert Gsellman","NYM","0","0","0.00","1","0","0","0","0","0","0","3.0","10","0","0","0","0","1","0","0","0","0","2","13696"
"Brent Suter","MIL","1","0","0.00","1","0","0","0","0","0","0","2.0","9","2","0","0","0","1","0","0","0","0","0","13942"
"Josh Hader","MIL","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","2","14212"
"J.B. Wendelken","OAK","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","0","14506"
"Duane Underwood Jr.","PIT","0","0","0.00","1","0","0","0","0","0","0","1.1","6","1","1","0","0","0","0","0","0","0","3","14677"
"Giovanny Gallegos","STL","0","0","0.00","1","0","0","0","1","0","0","2.0","7","0","0","0","0","0","0","1","0","0","0","14986"
"Scott Barlow","KCR","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14993"
"Kyle Finnegan","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15009"
"Keynan Middleton","SEA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","15264"
"Adam Plutko","BAL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15846"
"Aaron Bummer","CHW","0","0","0.00","1","0","0","0","0","1","0","1.0","3","1","0","0","0","0","0","0","0","0","1","16258"
"Sam Clay","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","16279"
