"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jose Altuve","HOU","11","44","50","14","10","3","0","1","11","5","5","0","6","0","1","0","1","0","0",".318","5417"
"J.T. Realmuto","PHI","20","60","71","19","12","4","1","2","8","9","8","1","15","3","0","0","0","2","0",".317","11739"
"Luis Robert","CHW","20","79","86","25","15","8","1","1","10","6","6","0","22","0","1","0","0","4","0",".316","20043"
"Jordy Mercer","WSN","8","19","19","6","6","0","0","0","1","0","0","0","4","0","0","0","0","0","0",".316","6547"
"Starling Marte","MIA","15","57","69","18","13","2","1","2","15","8","8","0","14","3","1","0","1","3","1",".316","9241"
"Pablo Sandoval","ATL","15","16","20","5","2","0","0","3","5","7","4","0","6","0","0","0","0","0","0",".313","5409"
"Jared Walsh","LAA","18","64","72","20","13","2","1","4","10","14","6","1","15","2","0","0","1","0","0",".313","18607"
"Randal Grichuk","TOR","20","68","76","21","13","4","0","4","10","16","7","0","17","0","1","0","0","0","1",".309","10243"
"Kris Bryant","CHC","19","68","79","21","9","7","0","5","15","12","9","0","17","1","1","0","2","0","1",".309","15429"
"Christian Arroyo","BOS","16","52","55","16","9","7","0","0","6","3","2","0","14","1","0","0","0","1","0",".308","16434"
"Eric Hosmer","SDP","22","85","93","26","18","5","0","3","7","14","7","0","14","1","0","0","2","2","1",".306","3516"
"Yonathan Daza","COL","16","36","37","11","8","2","0","1","3","3","0","0","6","0","1","0","1","0","0",".306","15794"
"Ryan Zimmerman","WSN","12","33","34","10","7","1","0","2","4","3","1","0","8","0","0","0","0","0","0",".303","4220"
"Trent Grisham","SDP","14","53","60","16","11","1","0","4","9","6","7","0","17","0","0","0","1","4","0",".302","18564"
"Donovan Solano","SFG","17","50","54","15","11","4","0","0","5","3","2","0","11","1","1","0","1","1","0",".300","8623"
"Harold Castro","DET","12","20","22","6","6","0","0","0","1","3","2","0","6","0","0","0","0","0","0",".300","14691"
"Chad Pinder","OAK","4","10","10","3","2","0","0","1","1","2","0","0","5","0","0","0","0","0","0",".300","15191"
"Santiago Espinal","TOR","7","10","10","3","2","1","0","0","2","1","0","0","2","0","0","0","0","0","0",".300","19997"
"Juan Soto","WSN","14","50","61","15","11","2","0","2","11","8","10","2","7","0","1","0","1","1","2",".300","20123"
"Raimel Tapia","COL","19","67","75","20","15","2","0","3","7","8","7","0","7","0","1","0","0","1","2",".299","14350"
"Zach McKinstry","LAD","17","54","58","16","8","5","0","3","7","14","2","0","14","1","1","0","0","0","0",".296","19392"
"Jed Lowrie","OAK","19","71","79","21","12","6","0","3","13","17","8","0","12","0","0","0","0","0","0",".296","4418"
"Nick Madrigal","CHW","18","61","68","18","14","3","1","0","11","6","4","0","2","2","1","0","1","1","1",".295","20521"
"Ender Inciarte","ATL","12","17","20","5","4","1","0","0","3","0","2","0","3","0","0","1","1","0","0",".294","4922"
"Nick Castellanos","CIN","18","75","79","22","11","3","1","7","14","14","3","0","14","1","0","0","0","0","0",".293","11737"
"Bryan Reynolds","PIT","21","75","87","22","16","4","0","2","15","9","11","0","18","1","0","0","2","0","1",".293","19326"
"Yordan Alvarez","HOU","15","58","64","17","9","5","1","2","8","12","3","1","14","2","1","0","2","0","0",".293","19556"
"Jazz Chisholm","MIA","18","58","69","17","9","3","1","4","9","7","9","0","21","1","1","0","0","4","0",".293","20454"
"Willians Astudillo","MIN","15","41","42","12","9","2","0","1","2","6","0","0","2","0","1","0","0","0","0",".293","15608"
"Shohei Ohtani","LAA","19","72","76","21","9","4","2","6","13","15","2","0","22","2","0","0","2","3","1",".292","19755"
"Adam Frazier","PIT","20","79","91","23","15","6","2","0","11","9","9","0","9","2","1","0","2","2","1",".291","15223"
"Evan Longoria","SFG","18","55","64","16","8","4","0","4","11","9","9","2","14","0","0","0","1","0","0",".291","9368"
"Mitch Haniger","SEA","21","86","93","25","13","6","1","5","16","17","5","0","22","0","2","0","1","0","0",".291","14274"
"Joe Panik","TOR","12","31","31","9","7","2","0","0","1","3","0","0","4","0","0","0","1","0","0",".290","11936"
"Anthony Rendon","LAA","8","31","37","9","8","0","0","1","5","3","5","0","7","0","1","0","2","0","0",".290","12861"
"Mike Moustakas","CIN","12","38","47","11","5","4","0","2","10","5","7","0","7","1","1","0","1","0","0",".289","4892"
"Randy Arozarena","TBR","19","76","82","22","16","3","0","3","11","10","4","0","27","2","0","0","3","1","0",".289","19290"
"Corey Dickerson","MIA","20","66","70","19","14","4","1","0","9","4","2","0","14","2","0","0","1","1","1",".288","10762"
"Trevor Story","COL","20","73","79","21","13","6","1","1","7","9","4","1","17","0","2","0","0","2","2",".288","12564"
"Kyle Higashioka","NYY","10","21","25","6","1","2","0","3","5","5","4","0","5","0","0","0","0","0","0",".286","5517"
"Ehire Adrianza","ATL","14","28","34","8","3","2","1","2","6","8","2","0","4","0","3","1","1","0","0",".286","8418"
"Francisco Mejia","TBR","11","35","39","10","6","3","0","1","2","6","2","0","3","0","1","1","1","0","0",".286","16403"
"Luis Arraez","MIN","18","63","74","18","15","2","0","1","9","8","10","0","10","0","1","0","1","0","0",".286","18568"
"Nick Solak","TEX","21","77","88","22","15","2","0","5","14","11","6","0","24","5","0","0","2","2","1",".286","19294"
"Carlos Correa","HOU","20","81","88","23","15","4","0","4","13","11","5","0","14","1","1","0","3","0","0",".284","14162"
"Trea Turner","WSN","18","71","75","20","13","3","0","4","7","8","3","0","19","1","0","0","3","5","0",".282","16252"
"Jesus Aguilar","MIA","19","64","76","18","12","4","0","2","7","15","10","0","9","0","2","0","1","0","0",".281","11342"
"Dylan Carlson","STL","20","64","77","18","10","3","2","3","13","11","10","1","18","2","1","0","1","0","0",".281","20126"
"Kyle Garlick","MIN","12","25","28","7","4","3","0","0","6","3","1","0","8","1","1","0","2","0","0",".280","18063"
