Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Keon Broxton (17383837),Keon Broxton,17383837,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
C,Tomas Telis (17383868),Tomas Telis,17383868,C,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
1B/C,John Hicks (17383895),John Hicks,17383895,C/1B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
OF,Delino DeShields (17383905),Delino DeShields,17383905,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
2B/3B,Drew Maggi (17383919),Drew Maggi,17383919,2B/3B,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
2B/SS,JT Riddle (17383928),JT Riddle,17383928,2B/SS,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,2
OF,Jake Cave (17383966),Jake Cave,17383966,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,3.68
OF,Rob Refsnyder (17383992),Rob Refsnyder,17383992,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
3B/OF,Tzu-Wei Lin (17384039),Tzu-Wei Lin,17384039,3B/OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
OF,Jason Martin (17384065),Jason Martin,17384065,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
OF,Eli White (17384077),Eli White,17384077,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,3.24
C,Caleb Hamilton (17384086),Caleb Hamilton,17384086,C,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
SS,Nick Gordon (17384110),Nick Gordon,17384110,SS,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
1B,Zander Wiel (17384140),Zander Wiel,17384140,1B,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
OF,Trevor Larnach (17384181),Trevor Larnach,17384181,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
OF,Leody Taveras (17384190),Leody Taveras,17384190,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,2.4
2B,Andy Ibanez (17384192),Andy Ibanez,17384192,2B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
OF,Gilberto Celestino (17384194),Gilberto Celestino,17384194,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
1B,Sherten Apostel (17384200),Sherten Apostel,17384200,1B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
3B,Jose Miranda (17384212),Jose Miranda,17384212,3B,2000,TEX@MIN 05/03/2021 07:40PM ET,MIN,0
OF,Steele Walker (17384234),Steele Walker,17384234,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
C,David Garcia (17384238),David Garcia,17384238,C,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
OF,Bubba Thompson (17384249),Bubba Thompson,17384249,OF,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
3B,Davis Wendzel (17384272),Davis Wendzel,17384272,3B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
3B,Josh Jung (17384273),Josh Jung,17384273,3B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
3B,Jonathan Ornelas (17384284),Jonathan Ornelas,17384284,3B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
2B,Justin Foscue (17384299),Justin Foscue,17384299,2B,2000,TEX@MIN 05/03/2021 07:40PM ET,TEX,0
