Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,103,3.11,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,1,1,.500,4.30,10,0,0,0,0,0,14.2,12,8,7,2,6,0,15,2,0,2,63,96,4.47,1.227,7.4,1.2,3.7,9.2,2.50
3,Jason Adam\adamja01,29,CHC,NL,0,0,,9.45,8,0,1,0,0,0,6.2,7,7,7,1,6,0,10,3,0,0,35,43,6.11,1.950,9.5,1.4,8.1,13.5,1.67
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,5.40,10,0,1,0,0,0,8.1,6,5,5,0,3,0,16,5,0,0,39,72,2.15,1.080,6.5,0.0,3.2,17.3,5.33
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.11,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,3.27,10,0,7,0,0,0,11.0,5,4,4,3,2,0,11,1,0,0,39,121,5.47,0.636,4.1,2.5,1.6,9.0,5.50
7,Sandy Alcantara\alcansa01,25,MIA,NL,1,2,.333,3.19,6,6,0,0,0,0,36.2,25,14,13,3,11,1,36,3,0,1,146,129,3.36,0.982,6.1,0.7,2.7,8.8,3.27
8,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.31,13,0,6,0,0,0,11.2,7,4,3,1,1,0,5,1,0,1,45,171,3.88,0.686,5.4,0.8,0.8,3.9,5.00
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,4.97,7,0,4,0,0,0,12.2,14,7,7,4,4,0,13,0,0,0,56,86,6.11,1.421,9.9,2.8,2.8,9.2,3.25
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,1.80,5,0,2,0,0,0,10.0,7,2,2,1,1,0,15,0,0,2,39,242,1.71,0.800,6.3,0.9,0.9,13.5,15.00
11,Logan Allen*\allenlo01,24,CLE,AL,1,4,.200,9.19,5,5,0,0,0,0,15.2,20,18,16,7,7,0,12,2,0,2,75,47,9.11,1.723,11.5,4.0,4.0,6.9,1.71
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,12.46,11,0,0,0,0,0,8.2,13,12,12,3,7,0,9,1,0,2,45,39,8.30,2.308,13.5,3.1,7.3,9.3,1.29
13,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,72,9.86,0.750,6.8,6.8,0.0,13.5,
14,Jose Alvarado*\alvarjo03,26,PHI,NL,2,0,1.000,4.50,10,0,2,0,0,1,8.0,6,4,4,0,5,1,13,3,0,1,40,93,2.86,1.375,6.8,0.0,5.6,14.6,2.60
15,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,3.38,10,0,4,0,0,0,8.0,7,4,3,0,7,0,9,0,0,0,38,120,3.49,1.750,7.9,0.0,7.9,10.1,1.29
16,Adbert Alzolay\alzolad01,26,CHC,NL,1,2,.333,4.71,4,4,0,0,0,0,21.0,13,11,11,3,6,0,23,1,0,0,81,84,3.78,0.905,5.6,1.3,2.6,9.9,3.83
17,Brett Anderson*\anderbr04,33,MIL,NL,2,2,.500,4.15,4,4,0,0,0,0,17.1,18,9,8,3,4,0,8,0,0,0,73,102,5.13,1.269,9.3,1.6,2.1,4.2,2.00
18,Chase Anderson\anderch01,33,PHI,NL,1,3,.250,5.40,5,5,0,0,0,0,21.2,21,13,13,3,10,0,19,2,0,0,98,75,4.82,1.431,8.7,1.2,4.2,7.9,1.90
19,Ian Anderson\anderia01,23,ATL,NL,2,1,.667,3.27,6,6,0,0,0,0,33.0,26,12,12,3,14,0,36,0,0,2,138,136,3.38,1.212,7.1,0.8,3.8,9.8,2.57
20,Tyler Anderson*\anderty01,31,PIT,NL,2,2,.500,3.38,5,5,0,0,0,0,26.2,25,10,10,3,8,0,26,0,0,0,110,122,3.52,1.238,8.4,1.0,2.7,8.8,3.25
21,Matt Andriese\andrima01,31,BOS,AL,0,1,.000,3.29,10,0,1,0,0,1,13.2,14,7,5,1,4,0,12,1,0,0,59,132,3.40,1.317,9.2,0.7,2.6,7.9,3.00
22,Tejay Antone\antonte01,27,CIN,NL,1,0,1.000,2.93,9,0,2,0,0,1,15.1,6,5,5,2,8,0,21,3,0,1,61,160,4.22,0.913,3.5,1.2,4.7,12.3,2.63
23,Chris Archer\archech01,32,TBR,AL,0,1,.000,6.23,2,1,0,0,0,0,4.1,7,4,3,0,1,0,6,0,0,0,21,65,1.03,1.846,14.5,0.0,2.1,12.5,6.00
24,Kohei Arihara\arihako01,28,TEX,AL,2,3,.400,5.76,6,6,0,0,0,0,25.0,26,17,16,6,9,0,14,2,0,1,107,74,6.43,1.400,9.4,2.2,3.2,5.0,1.56
25,Shawn Armstrong\armstsh01,30,BAL,AL,0,0,,9.00,10,0,3,0,0,0,8.0,9,9,8,2,6,0,7,1,0,0,41,48,7.24,1.875,10.1,2.3,6.8,7.9,1.17
26,Jake Arrieta\arrieja01,35,CHC,NL,3,3,.500,4.31,6,6,0,0,0,0,31.1,29,15,15,5,12,1,28,1,0,1,135,91,4.64,1.309,8.3,1.4,3.4,8.0,2.33
27,Willians Astudillo\astudwi01,29,MIN,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.11,0.000,0.0,0.0,0.0,0.0,
28,Luis Avilan*\avilalu01,31,WSN,NL,0,1,.000,12.60,4,0,0,0,0,0,5.0,7,7,7,1,3,0,4,1,0,0,27,34,6.51,2.000,12.6,1.8,5.4,7.2,1.33
29,Caleb Baragar*\baragca01,27,SFG,NL,2,0,1.000,0.00,10,0,0,0,0,0,7.0,6,1,0,0,4,0,8,1,0,0,31,,2.97,1.429,7.7,0.0,5.1,10.3,2.00
30,Daniel Bard\bardda01,36,COL,NL,1,2,.333,9.00,10,0,7,0,0,2,9.0,16,10,9,2,5,0,11,1,0,0,50,53,5.56,2.333,16.0,2.0,5.0,11.0,2.20
31,Scott Barlow\barlosc01,28,KCR,AL,1,0,1.000,2.87,13,0,2,0,0,1,15.2,15,5,5,0,6,0,20,0,0,0,67,152,1.71,1.340,8.6,0.0,3.4,11.5,3.33
32,Jacob Barnes\barneja01,31,NYM,NL,1,0,1.000,7.50,5,0,0,0,0,0,6.0,6,5,5,2,1,0,4,0,0,0,26,55,6.61,1.167,9.0,3.0,1.5,6.0,4.00
33,Matt Barnes\barnema01,31,BOS,AL,1,0,1.000,2.51,14,0,10,0,0,6,14.1,6,4,4,1,3,0,25,0,0,1,52,173,1.16,0.628,3.8,0.6,1.9,15.7,8.33
34,Jaime Barria\barrija01,24,LAA,AL,0,0,,31.50,1,0,0,0,0,0,2.0,6,7,7,0,4,0,0,0,0,0,15,16,9.11,5.000,27.0,0.0,18.0,0.0,0.00
35,Anthony Bass\bassan01,33,MIA,NL,1,2,.333,5.59,11,0,4,0,0,0,9.2,10,6,6,2,2,1,7,3,0,0,40,76,5.90,1.241,9.3,1.9,1.9,6.5,3.50
36,Chris Bassitt\bassich01,32,OAK,AL,2,2,.500,3.93,6,6,0,0,0,0,34.1,32,15,15,3,12,0,36,5,0,0,149,97,3.64,1.282,8.4,0.8,3.1,9.4,3.00
37,Trevor Bauer\bauertr01,30,LAD,NL,3,1,.750,2.48,6,6,0,1,0,0,40.0,19,12,11,7,8,0,51,2,0,1,148,156,3.59,0.675,4.3,1.6,1.8,11.5,6.38
38,Eduard Bazardo\bazared01,25,BOS,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,2,0,1,0,0,0,5,,7.11,2.000,0.0,0.0,18.0,9.0,0.50
39,David Bednar\bednada01,26,PIT,NL,0,0,,1.86,11,0,5,0,0,0,9.2,6,2,2,2,3,0,11,0,0,0,38,227,4.46,0.931,5.6,1.9,2.8,10.2,3.67
40,Cam Bedrosian\bedroca01,29,CIN,NL,0,0,,11.12,6,0,2,0,0,0,5.2,10,7,7,2,6,0,7,0,0,0,33,44,8.41,2.824,15.9,3.2,9.5,11.1,1.17
41,Anthony Bemboom\bemboan01,31,LAA,AL,0,0,,18.00,1,0,1,0,0,0,1.0,3,2,2,1,0,0,0,0,0,0,7,32,16.11,3.000,27.0,9.0,0.0,0.0,
42,Wes Benjamin*\benjawe01,27,TEX,AL,0,1,.000,4.76,3,0,0,0,0,0,5.2,4,3,3,1,6,0,5,0,0,0,25,94,6.82,1.765,6.4,1.6,9.5,7.9,0.83
43,Travis Bergen*\bergetr01,27,TOR,AL,0,0,,0.00,2,1,0,0,0,0,2.0,0,0,0,0,0,0,1,1,0,0,7,,3.61,0.000,0.0,0.0,0.0,4.5,
44,Jose Berrios\berrijo01,27,MIN,AL,3,2,.600,3.58,6,6,0,0,0,0,32.2,24,13,13,2,9,0,42,2,0,1,127,108,2.35,1.010,6.6,0.6,2.5,11.6,4.67
45,Dellin Betances\betande01,33,NYM,NL,0,0,,9.00,1,0,0,0,0,0,1.0,0,1,1,0,1,0,1,1,0,0,5,60,7.11,1.000,0.0,0.0,9.0,9.0,1.00
46,Alec Bettinger\bettial01,25,MIL,NL,0,1,.000,24.75,1,1,0,0,0,0,4.0,11,11,11,2,2,0,0,1,0,1,26,18,11.86,3.250,24.8,4.5,4.5,0.0,0.00
47,Phil Bickford\bickfph01,25,MIL,NL,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,1,1,0,0,1,0,0,7,32,22.11,3.000,18.0,9.0,9.0,0.0,0.00
48,Jesse Biddle*\biddlje01,29,ATL,NL,0,0,,8.44,4,0,3,0,0,0,5.1,5,5,5,1,2,0,5,1,0,1,24,55,5.36,1.313,8.4,1.7,3.4,8.4,2.50
49,Shane Bieber\biebesh01,26,CLE,AL,3,2,.600,2.76,6,6,0,0,0,0,42.1,28,13,13,5,14,0,68,1,0,3,172,153,2.50,0.992,6.0,1.1,3.0,14.5,4.86
50,Brandon Bielak\bielabr01,25,HOU,AL,1,0,1.000,3.46,5,0,1,0,0,0,13.0,9,5,5,1,4,0,11,0,0,1,52,120,3.34,1.000,6.2,0.7,2.8,7.6,2.75
51,Alex Blandino\blandal01,28,CIN,NL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.11,0.000,0.0,0.0,0.0,0.0,
52,Richard Bleier*\bleieri01,34,MIA,NL,1,0,1.000,4.91,12,0,2,0,0,0,11.0,11,6,6,4,0,0,8,0,0,0,43,86,6.38,1.000,9.0,3.3,0.0,6.5,
53,Ryan Borucki*\borucry01,27,TOR,AL,3,1,.750,3.97,11,0,1,0,0,0,11.1,6,6,5,1,4,0,12,0,0,1,43,108,3.20,0.882,4.8,0.8,3.2,9.5,3.00
54,Ben Bowden*\bowdebe01,26,COL,NL,0,2,.000,8.64,11,0,2,0,0,0,8.1,14,9,8,1,3,0,9,0,0,0,43,56,3.59,2.040,15.1,1.1,3.2,9.7,3.00
55,Brad Boxberger\boxbebr01,33,MIL,NL,0,0,,2.00,10,0,2,0,0,1,9.0,5,2,2,1,2,0,10,1,0,0,35,216,3.33,0.778,5.0,1.0,2.0,10.0,5.00
56,Matthew Boyd*\boydma01,30,DET,AL,2,3,.400,2.27,6,6,0,0,0,0,35.2,26,10,9,1,7,0,24,3,0,2,139,185,2.97,0.925,6.6,0.3,1.8,6.1,3.43
57,Archie Bradley\bradlar01,28,PHI,NL,0,1,.000,6.00,4,0,0,0,0,0,3.0,4,2,2,0,1,0,3,0,0,1,14,75,2.11,1.667,12.0,0.0,3.0,9.0,3.00
58,Jake Brentz*\brentja01,26,KCR,AL,0,0,,3.09,13,0,2,0,0,0,11.2,9,5,4,1,6,0,13,0,1,1,51,143,3.54,1.286,6.9,0.8,4.6,10.0,2.17
59,Austin Brice\briceau01,29,BOS,AL,0,0,,3.52,8,0,1,0,0,0,7.2,7,3,3,1,5,0,5,0,0,0,33,126,5.46,1.565,8.2,1.2,5.9,5.9,1.00
60,Connor Brogdon\brogdco01,26,PHI,NL,3,1,.750,5.73,11,0,1,0,0,0,11.0,10,7,7,2,4,0,9,1,0,0,46,72,5.20,1.273,8.2,1.6,3.3,7.4,2.25
61,Rex Brothers*\brothre01,33,CHC,NL,1,0,1.000,3.48,11,0,0,0,0,0,10.1,6,4,4,1,5,0,18,1,0,0,42,115,2.63,1.065,5.2,0.9,4.4,15.7,3.60
62,JT Brubaker\brubajt01,27,PIT,NL,2,2,.500,2.63,5,5,0,0,0,0,27.1,23,8,8,4,5,0,30,5,1,0,113,157,3.92,1.024,7.6,1.3,1.6,9.9,6.00
63,Kris Bubic*\bubickr01,23,KCR,AL,0,0,,18.00,1,0,0,0,0,0,1.0,3,2,2,0,0,0,1,0,0,0,6,32,1.11,3.000,27.0,0.0,0.0,9.0,
64,Walker Buehler\buehlwa01,26,LAD,NL,1,0,1.000,3.16,5,5,0,0,0,0,31.1,28,11,11,4,2,0,31,1,0,0,122,123,3.08,0.957,8.0,1.1,0.6,8.9,15.50
65,J.B. Bukauskas\bukaujb01,24,ARI,NL,1,0,1.000,9.00,6,0,0,0,0,0,4.0,6,4,4,0,1,0,5,0,0,0,19,50,1.36,1.750,13.5,0.0,2.3,11.3,5.00
66,Madison Bumgarner*\bumgama01,31,ARI,NL,3,2,.600,5.58,6,6,0,1,1,0,30.2,28,19,19,4,10,1,33,4,1,0,132,75,4.02,1.239,8.2,1.2,2.9,9.7,3.30
67,Aaron Bummer*\bummeaa01,27,CHW,AL,0,1,.000,2.08,11,0,1,0,0,0,8.2,9,4,2,0,6,0,11,1,0,0,42,201,3.00,1.731,9.3,0.0,6.2,11.4,1.83
68,Dylan Bundy\bundydy01,28,LAA,AL,0,3,.000,4.00,6,6,0,0,0,0,36.0,30,17,16,5,9,0,40,2,0,1,148,107,3.61,1.083,7.5,1.3,2.3,10.0,4.44
69,Zack Burdi\burdiza01,26,CHW,AL,0,0,,3.00,1,0,0,0,0,0,3.0,3,2,1,1,1,0,3,0,0,0,13,150,6.44,1.333,9.0,3.0,3.0,9.0,3.00
70,Corbin Burnes\burneco01,26,MIL,NL,2,2,.500,1.53,5,5,0,0,0,0,29.1,16,6,5,1,0,0,49,3,0,0,108,274,0.52,0.545,4.9,0.3,0.0,15.0,
71,Matt Bush\bushma01,35,TEX,AL,0,0,,9.00,3,0,1,0,0,0,3.0,4,3,3,3,1,0,4,0,0,0,14,52,14.44,1.667,12.0,9.0,3.0,12.0,4.00
72,Asdrubal Cabrera\cabreas01,35,ARI,NL,0,0,,0.00,2,0,1,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0,4,,3.11,0.750,6.8,0.0,0.0,0.0,
73,Genesis Cabrera*\cabrege01,24,STL,NL,0,1,.000,3.55,13,0,1,0,0,0,12.2,9,6,5,1,4,0,14,2,0,1,54,110,3.35,1.026,6.4,0.7,2.8,9.9,3.50
74,Trevor Cahill\cahiltr01,33,PIT,NL,1,3,.250,7.40,5,5,0,0,0,0,24.1,29,21,20,3,8,0,24,0,0,1,109,56,3.73,1.521,10.7,1.1,3.0,8.9,3.00
75,Paul Campbell\campbpa02,25,MIA,NL,0,2,.000,8.74,5,1,0,0,0,0,11.1,19,14,11,1,6,0,13,2,0,2,61,48,4.08,2.206,15.1,0.8,4.8,10.3,2.17
