,team,Name,b_o,pj_vO
0,COL,Garrett Hampson,1,8.5
1,COL,Trevor Story,2,8.44
2,COL,Ryan McMahon,3,8.31
3,COL,C.J. Cron,4,8.04
4,COL,Charlie Blackmon,5,6.15
5,COL,Josh Fuentes,6,5.11
6,COL,Yonathan Daza,7,4.44
7,COL,Elias Diaz,8,2.61
8,SD,Trent Grisham,1,9.8
9,SD,Manny Machado,2,9.39
10,SD,Jake Cronenworth,3,7.77
11,SD,Austin Nola,4,6.81
12,SD,Tommy Pham,5,4.67
13,SD,Ha-Seong Kim,6,4.28
14,SD,Jurickson Profar,7,6.66
15,SD,Jorge Mateo,8,3.04
16,DET,Robbie Grossman,1,7.69
17,DET,Jonathan Schoop,2,3.91
18,DET,Jeimer Candelario,3,5.5
19,DET,Miguel Cabrera,4,4.31
20,DET,Nomar Mazara,5,4.63
21,DET,Eric Haase,6,8.02
22,DET,Harold Castro,7,2.9
23,DET,Wilson Ramos,8,4.56
24,DET,Akil Baddoo,9,5.3
25,SEA,Jarred Kelenic,1,5.47
26,SEA,Mitch Haniger,2,7.39
27,SEA,Kyle Seager,3,6.03
28,SEA,Kyle Lewis,4,4.84
29,SEA,J.P. Crawford,5,5.12
30,SEA,Dylan Moore,6,5.17
31,SEA,Luis Torrens,7,3.46
32,SEA,Jose Marmolejos,8,3.06
33,SEA,Sam Haggerty,9,4.0
34,ARI,Pavin Smith,1,5.11
35,ARI,Tim Locastro,2,3.91
36,ARI,Eduardo Escobar,3,5.94
37,ARI,Josh Rojas,4,5.22
38,ARI,Andrew Young,5,4.42
39,ARI,David Peralta,6,6.05
40,ARI,Nick Ahmed,7,2.92
41,ARI,Daulton Varsho,8,2.04
42,LAD,Mookie Betts,1,8.54
43,LAD,Max Muncy,2,8.27
44,LAD,Chris Taylor,3,8.7
45,LAD,Will Smith,4,7.16
46,LAD,Matt Beaty,5,4.37
47,LAD,Albert Pujols,6,5.83
48,LAD,Yoshi Tsutsugo,7,2.95
49,LAD,Gavin Lux,8,5.15
0,COL,Austin Gomber,SP,10.82
1,SD,Blake Snell,SP,13.89
2,DET,Spencer Turnbull,SP,14.95
3,SEA,Justin Dunn,SP,14.32
4,LAD,Julio Urias,SP,21.5
