Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,38,29.4,4.85,40,1549,1368,194,327,65,12,47,179,13,3,145,356,.239,.319,.407,.726,98,557,28,19,6,9,6,290
ATL,37,27.6,4.56,39,1451,1272,178,292,56,6,58,172,10,4,137,351,.230,.313,.420,.733,92,534,24,23,9,10,13,249
BAL,34,27.0,3.69,39,1424,1295,144,296,61,4,38,137,11,4,106,335,.229,.290,.370,.660,87,479,22,10,5,8,2,244
BOS,30,28.1,5.17,41,1538,1390,212,367,92,3,51,193,16,5,116,340,.264,.327,.445,.772,114,618,32,19,2,10,5,262
CHC,37,29.5,4.53,38,1425,1237,172,284,56,9,44,165,26,9,140,372,.230,.317,.396,.713,100,490,25,25,9,13,7,247
CHW,32,28.1,5.16,38,1425,1242,196,319,60,8,35,183,19,6,147,337,.257,.341,.403,.744,112,500,25,18,7,11,2,266
CIN,33,29.0,5.35,37,1440,1275,198,320,63,4,54,188,9,8,123,335,.251,.327,.434,.761,98,553,28,25,8,9,3,239
CLE,32,26.9,4.08,37,1343,1206,151,252,56,7,46,145,18,2,116,307,.209,.282,.381,.664,84,460,26,9,5,5,6,209
COL,33,28.2,4.83,40,1479,1328,193,330,62,11,41,183,23,6,123,338,.248,.313,.404,.718,88,537,20,7,11,10,10,249
DET,35,28.4,3.54,39,1394,1260,138,279,40,10,36,135,21,4,115,404,.221,.290,.355,.645,84,447,25,10,1,6,1,239
HOU,36,29.0,5.25,40,1529,1367,210,363,78,5,48,199,9,4,129,285,.266,.333,.435,.768,116,595,38,16,2,14,8,268
KCR,34,29.6,4.13,39,1428,1270,161,298,56,10,37,152,31,8,123,322,.235,.306,.382,.687,92,485,25,12,7,12,2,255
LAA,42,30.3,4.39,38,1415,1286,167,321,55,4,48,155,17,5,99,319,.250,.310,.411,.721,100,528,34,17,6,7,8,236
LAD,37,28.7,5.21,39,1562,1330,203,326,62,10,44,194,15,3,184,362,.245,.349,.406,.755,111,540,27,32,7,9,13,315
MIA,37,29.4,3.97,39,1439,1295,155,298,56,8,36,148,21,8,109,380,.230,.297,.369,.666,84,478,21,19,5,10,7,238
MIL,42,28.6,3.58,40,1498,1321,143,279,50,4,44,139,17,6,133,399,.211,.296,.355,.651,79,469,23,30,6,7,6,276
MIN,41,29.2,4.57,37,1404,1254,169,303,66,4,49,160,15,1,118,329,.242,.312,.418,.730,111,524,22,16,2,12,3,259
NYM,35,28.3,3.58,33,1206,1056,118,249,39,3,26,112,10,5,121,274,.236,.324,.352,.676,91,372,19,19,6,4,5,253
NYY,35,29.4,4.00,39,1459,1273,156,284,44,0,52,144,7,3,167,350,.223,.318,.380,.698,101,484,37,12,2,5,3,261
OAK,34,29.9,4.10,41,1495,1320,168,291,58,6,53,158,22,6,140,367,.220,.306,.394,.700,102,520,24,25,3,7,1,258
PHI,36,28.9,4.05,40,1479,1314,162,309,57,4,41,153,20,3,129,409,.235,.309,.378,.687,91,497,31,16,7,12,7,264
PIT,40,28.2,3.51,39,1451,1296,137,295,68,6,26,129,15,3,126,339,.228,.304,.350,.653,80,453,19,19,3,7,3,281
SDP,39,27.7,4.30,40,1520,1321,172,314,48,5,39,163,41,11,162,317,.238,.325,.370,.695,99,489,36,16,5,14,7,292
SEA,38,27.4,4.08,40,1415,1261,163,259,61,3,49,158,17,6,127,372,.205,.283,.375,.658,90,473,18,13,3,9,0,217
SFG,37,30.9,4.33,39,1433,1251,169,280,53,6,52,161,17,4,155,374,.224,.313,.400,.714,101,501,38,11,9,6,9,247
STL,37,28.3,4.42,40,1467,1305,177,302,54,5,52,165,17,5,122,340,.231,.306,.400,.706,99,522,27,22,8,10,15,248
TBR,38,27.4,4.34,41,1552,1378,178,308,78,3,41,166,20,8,142,434,.224,.305,.374,.679,99,515,19,22,3,6,1,280
TEX,35,27.0,4.22,41,1529,1371,173,331,45,6,50,166,28,9,123,398,.241,.311,.392,.703,97,538,37,20,5,10,2,256
TOR,39,26.5,4.79,38,1418,1277,182,308,46,1,53,171,23,6,113,324,.241,.309,.403,.712,100,515,25,15,3,8,4,232
WSN,37,29.5,3.97,35,1310,1174,139,298,54,3,36,135,14,7,103,294,.254,.323,.397,.720,102,466,27,20,6,7,8,252
LgAvg,36,28.6,4.36,39,1449,1286,169,303,58,6,44,160,18,5,130,349,.235,.312,.392,.704,97,505,27,18,5,9,6,256
,1086,28.6,4.36,1166,43477,38593,5078,9082,1739,170,1326,4808,542,162,3893,10463,.235,.312,.392,.704,97,15139,802,537,161,267,167,7682
