"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Owings","COL","7","15","17","8","2","3","3","0","6","3","2","0","2","0","0","0","0","2","0",".533","10030"
"Rob Refsnyder","MIN","1","4","4","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".500","13770"
"Nick Gordon","MIN","1","2","3","1","1","0","0","0","0","0","1","0","1","0","0","0","0","2","0",".500","16337"
"Donovan Walton","SEA","1","4","4","2","1","0","1","0","0","2","0","0","1","0","0","0","0","0","0",".500","19314"
"Ketel Marte","ARI","6","26","28","12","6","4","0","2","5","5","2","0","4","0","0","0","1","0","0",".462","13613"
"Kelvin Gutierrez","KCR","2","5","5","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".400","17468"
"J.D. Davis","NYM","14","41","48","16","11","3","0","2","5","7","4","1","15","3","0","0","1","0","0",".390","16219"
"Andy Young","ARI","16","18","24","7","2","1","0","4","5","9","3","0","8","3","0","0","0","0","0",".389","19521"
"Byron Buxton","MIN","24","92","98","34","15","10","0","9","19","17","4","0","23","2","0","0","0","5","0",".370","14161"
"Buster Posey","SFG","25","85","98","31","20","3","0","8","20","12","12","0","17","1","0","0","5","0","0",".365","9166"
"Yermin Mercedes","CHW","34","119","128","43","31","6","1","5","13","22","9","1","21","0","0","0","1","0","1",".361","17423"
"Jon Jay","LAA","5","14","14","5","5","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".357","5227"
"Jonathan Lucroy","WSN","5","14","14","5","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".357","7870"
"Xander Bogaerts","BOS","39","147","162","52","30","13","0","9","24","26","13","1","27","2","0","0","2","2","0",".354","12161"
"Christian Yelich","MIL","10","34","41","12","11","1","0","0","8","1","6","0","13","1","0","0","0","2","0",".353","11477"
"Nico Hoerner","CHC","12","40","48","14","8","6","0","0","3","7","8","2","7","0","0","0","1","3","1",".350","21479"
"Yordan Alvarez","HOU","33","132","141","46","28","10","1","7","25","22","4","1","34","3","2","0","3","0","0",".348","19556"
"Jesse Winker","CIN","31","127","139","44","26","10","1","7","26","21","11","0","31","1","0","0","2","0","0",".346","13590"
"J.D. Martinez","BOS","39","148","170","51","31","10","0","10","33","33","20","2","36","1","1","0","8","0","0",".345","6184"
"Yonathan Daza","COL","34","91","97","31","25","5","0","1","9","9","4","0","18","0","1","1","2","1","0",".341","15794"
"Omar Narvaez","MIL","25","74","88","25","20","2","0","3","7","11","11","0","12","2","1","0","1","0","0",".338","13338"
"Carson Kelly","ARI","28","80","110","27","17","4","0","6","16","19","23","1","16","4","3","0","5","0","0",".338","13620"
"Mike Trout","LAA","34","113","140","38","21","8","1","8","22","18","25","5","39","2","0","0","0","2","0",".336","10155"
