Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,105,3.12,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,2,1,.667,3.43,16,0,0,0,0,0,21.0,16,10,8,2,9,0,20,2,0,3,86,123,4.03,1.190,6.9,0.9,3.9,8.6,2.22
3,Jason Adam\adamja01,29,CHC,NL,0,0,,8.22,9,0,2,0,0,0,7.2,9,7,7,1,6,0,13,3,0,0,40,49,4.95,1.957,10.6,1.2,7.0,15.3,2.17
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,3.65,15,0,2,0,0,0,12.1,8,5,5,0,4,0,24,6,0,0,55,104,1.66,0.973,5.8,0.0,2.9,17.5,6.00
5,Keegan Akin*\akinke01,26,BAL,AL,0,0,,6.23,2,0,0,0,0,0,4.1,4,3,3,0,0,0,3,0,0,0,16,73,1.74,0.923,8.3,0.0,0.0,6.2,
6,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.12,0.000,0.0,0.0,0.0,0.0,
7,Jorge Alcala\alcaljo01,25,MIN,AL,0,1,.000,3.77,14,0,9,0,0,0,14.1,8,6,6,4,3,0,13,1,0,0,51,105,5.77,0.767,5.0,2.5,1.9,8.2,4.33
8,Sandy Alcantara\alcansa01,25,MIA,NL,1,3,.250,4.06,9,9,0,0,0,0,51.0,43,25,23,6,16,2,51,3,0,2,211,100,3.77,1.157,7.6,1.1,2.8,9.0,3.19
9,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.31,13,0,6,0,0,0,11.2,7,4,3,1,1,0,5,1,0,1,45,169,3.89,0.686,5.4,0.8,0.8,3.9,5.00
10,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,4.74,11,0,4,0,0,0,19.0,22,11,10,4,5,0,19,0,0,0,85,90,4.65,1.421,10.4,1.9,2.4,9.0,3.80
11,Kolby Allard*\allarko01,23,TEX,AL,0,0,,3.18,8,0,3,0,0,0,17.0,16,6,6,2,4,0,21,0,0,2,72,138,2.89,1.176,8.5,1.1,2.1,11.1,5.25
12,Logan Allen*\allenlo01,24,CLE,AL,1,4,.200,9.19,5,5,0,0,0,0,15.2,20,18,16,7,7,0,12,2,0,2,75,47,9.12,1.723,11.5,4.0,4.0,6.9,1.71
13,Yency Almonte\almonye01,27,COL,NL,1,1,.500,9.95,14,0,2,0,0,0,12.2,15,14,14,4,8,0,10,2,0,2,60,47,8.02,1.816,10.7,2.8,5.7,7.1,1.25
14,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,71,9.87,0.750,6.8,6.8,0.0,13.5,
15,Jose Alvarado*\alvarjo03,26,PHI,NL,3,0,1.000,2.84,15,0,3,0,0,2,12.2,8,4,4,0,12,2,19,3,0,3,60,143,3.67,1.579,5.7,0.0,8.5,13.5,1.58
16,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,4.35,12,0,4,0,0,0,10.1,11,8,5,0,9,0,11,0,0,0,52,91,3.60,1.935,9.6,0.0,7.8,9.6,1.22
17,Adbert Alzolay\alzolad01,26,CHC,NL,1,3,.250,4.50,6,6,0,0,0,0,32.0,21,16,16,6,7,0,36,2,0,0,123,86,4.15,0.875,5.9,1.7,2.0,10.1,5.14
18,Brett Anderson*\anderbr04,33,MIL,NL,2,3,.400,4.50,6,6,0,0,0,0,24.0,28,13,12,4,8,0,14,1,0,0,107,93,5.25,1.500,10.5,1.5,3.0,5.3,1.75
19,Chase Anderson\anderch01,33,PHI,NL,2,3,.400,5.23,7,7,0,0,0,0,31.0,28,18,18,5,15,0,26,3,0,0,138,76,5.28,1.387,8.1,1.5,4.4,7.5,1.73
20,Ian Anderson\anderia01,23,ATL,NL,3,1,.750,3.20,8,8,0,0,0,0,45.0,34,16,16,4,21,0,47,0,0,2,186,138,3.59,1.222,6.8,0.8,4.2,9.4,2.24
21,Shaun Anderson\andersh01,26,MIN,AL,0,0,,4.50,1,0,0,0,0,0,2.0,4,4,1,1,1,0,3,1,0,0,13,103,9.62,2.500,18.0,4.5,4.5,13.5,3.00
22,Tyler Anderson*\anderty01,31,PIT,NL,3,3,.500,3.50,8,8,0,0,0,0,46.1,37,18,18,5,14,0,44,0,0,0,187,118,3.53,1.101,7.2,1.0,2.7,8.5,3.14
23,Matt Andriese\andrima01,31,BOS,AL,2,2,.500,4.91,14,0,1,0,0,1,18.1,24,12,10,2,6,0,17,1,1,0,84,89,3.83,1.636,11.8,1.0,2.9,8.3,2.83
24,Tejay Antone\antonte01,27,CIN,NL,1,0,1.000,2.18,12,0,2,0,0,1,20.2,6,5,5,2,9,0,29,3,0,1,77,210,3.31,0.726,2.6,0.9,3.9,12.6,3.22
25,Chris Archer\archech01,32,TBR,AL,0,1,.000,6.23,2,1,0,0,0,0,4.1,7,4,3,0,1,0,6,0,0,0,21,66,1.04,1.846,14.5,0.0,2.1,12.5,6.00
26,Kohei Arihara\arihako01,28,TEX,AL,2,3,.400,6.59,7,7,0,0,0,0,28.2,32,22,21,7,12,0,17,2,0,1,127,66,6.57,1.535,10.0,2.2,3.8,5.3,1.42
27,Shawn Armstrong\armstsh01,30,BAL,AL,0,0,,8.53,14,0,4,0,0,0,12.2,19,13,12,3,7,0,14,1,0,0,66,51,5.88,2.053,13.5,2.1,5.0,9.9,2.00
28,Jake Arrieta\arrieja01,35,CHC,NL,4,3,.571,4.10,7,7,0,0,0,0,37.1,33,17,17,7,13,1,29,1,0,1,155,94,5.13,1.232,8.0,1.7,3.1,7.0,2.23
29,Willians Astudillo\astudwi01,29,MIN,AL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.12,0.000,0.0,0.0,0.0,0.0,
30,Luis Avilan*\avilalu01,31,WSN,NL,0,1,.000,12.60,4,0,0,0,0,0,5.0,7,7,7,1,3,0,4,1,0,0,27,33,6.52,2.000,12.6,1.8,5.4,7.2,1.33
