,team,Name,b_o,pj_vO
0,BAL,Cedric Mullins,1,7.41
1,BAL,Austin Hays,2,7.15
2,BAL,Trey Mancini,3,6.14
3,BAL,Maikel Franco,4,5.62
4,BAL,DJ Stewart,5,5.16
5,BAL,Ryan Mountcastle,6,4.2
6,BAL,Freddy Galvis,7,5.45
7,BAL,Chance Sisco,8,1.99
8,BAL,Rio Ruiz,9,4.07
9,SEA,Mitch Haniger,1,13.56
10,SEA,Ty France,2,9.05
11,SEA,Kyle Seager,3,9.23
12,SEA,Kyle Lewis,4,7.21
13,SEA,Luis Torrens,5,4.43
14,SEA,Evan White,6,4.48
15,SEA,J.P. Crawford,7,5.44
16,SEA,Dylan Moore,8,6.39
17,SEA,Sam Haggerty,9,6.84
18,PIT,Adam Frazier,1,8.44
19,PIT,Bryan Reynolds,2,6.56
20,PIT,Phillip Evans,3,4.47
21,PIT,Colin Moran,4,5.23
22,PIT,Erik Gonzalez,5,3.96
23,PIT,Jacob Stallings,6,5.34
24,PIT,Ka'ai Tom,7,1.16
25,PIT,Kevin Newman,8,3.69
26,SD,Trent Grisham,1,11.29
27,SD,Jurickson Profar,2,8.52
28,SD,Manny Machado,3,10.13
29,SD,Eric Hosmer,4,9.94
30,SD,Wil Myers,5,8.53
31,SD,Jake Cronenworth,6,8.6
32,SD,Austin Nola,7,4.13
33,SD,Ha-Seong Kim,8,4.54
0,BAL,Jorge Lopez,SP,9.85
1,SEA,Justin Dunn,SP,13.74
2,PIT,Mitch Keller,SP,8.17
3,SD,Dinelson Lamet,SP,6.6
