,team,Name,b_o,pj_vO
0,BAL,Cedric Mullins,1,7.08
1,BAL,Austin Hays,2,6.84
2,BAL,Trey Mancini,3,5.85
3,BAL,Maikel Franco,4,5.34
4,BAL,DJ Stewart,5,4.94
5,BAL,Ryan Mountcastle,6,3.98
6,BAL,Freddy Galvis,7,5.19
7,BAL,Chance Sisco,8,1.86
8,BAL,Rio Ruiz,9,3.92
9,SEA,Mitch Haniger,1,13.0
10,SEA,Ty France,2,8.58
11,SEA,Kyle Seager,3,8.78
12,SEA,Kyle Lewis,4,7.0
13,SEA,Luis Torrens,5,4.18
14,SEA,Evan White,6,4.24
15,SEA,J.P. Crawford,7,5.06
16,SEA,Dylan Moore,8,6.14
17,SEA,Sam Haggerty,9,6.57
18,PIT,Adam Frazier,1,8.05
19,PIT,Bryan Reynolds,2,6.26
20,PIT,Phillip Evans,3,4.3
21,PIT,Colin Moran,4,4.98
22,PIT,Erik Gonzalez,5,3.75
23,PIT,Jacob Stallings,6,5.13
24,PIT,Ka'ai Tom,7,1.14
25,PIT,Kevin Newman,8,3.51
26,SD,Trent Grisham,1,10.85
27,SD,Jurickson Profar,2,8.22
28,SD,Manny Machado,3,9.75
29,SD,Eric Hosmer,4,9.51
30,SD,Wil Myers,5,8.2
31,SD,Jake Cronenworth,6,8.25
32,SD,Austin Nola,7,3.99
33,SD,Ha-Seong Kim,8,4.34
0,BAL,Jorge Lopez,SP,10.56
1,SEA,Justin Dunn,SP,14.21
2,PIT,Mitch Keller,SP,8.61
3,SD,Dinelson Lamet,SP,6.67
