Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (17616004),Jacob deGrom,17616004,P,11300,NYM@ATL 05/18/2021 07:20PM ET,NYM,36.1
SP,Tyler Glasnow (17616093),Tyler Glasnow,17616093,P,10800,TB@BAL 05/18/2021 07:05PM ET,TB,28.33
SP,Max Scherzer (17615823),Max Scherzer,17615823,P,10600,WAS@CHC 05/18/2021 07:40PM ET,WAS,27.18
SP,Aaron Nola (17616115),Aaron Nola,17616115,P,10300,MIA@PHI 05/18/2021 07:05PM ET,PHI,20.01
SP,Jack Flaherty (17616341),Jack Flaherty,17616341,P,10100,PIT@STL 05/18/2021 07:45PM ET,STL,21.96
SP,Zack Wheeler (17615913),Zack Wheeler,17615913,P,10000,MIA@PHI 05/18/2021 07:05PM ET,PHI,22.69
SP,Carlos Rodon (17616101),Carlos Rodon,17616101,P,9900,CWS@MIN 05/18/2021 07:40PM ET,CWS,27.96
SP,Lance Lynn (17615868),Lance Lynn,17615868,P,9800,CWS@MIN 05/18/2021 07:40PM ET,CWS,26.1
SP,Jose Berrios (17616161),Jose Berrios,17616161,P,9500,CWS@MIN 05/18/2021 07:40PM ET,MIN,17.72
SP,Kyle Wright (17616439),Kyle Wright,17616439,P,9300,NYM@ATL 05/18/2021 07:20PM ET,ATL,10.35
SP,Ian Anderson (17616534),Ian Anderson,17616534,P,9300,NYM@ATL 05/18/2021 07:20PM ET,ATL,17.78
RP,Trevor Rogers (17616611),Trevor Rogers,17616611,P,9300,MIA@PHI 05/18/2021 07:05PM ET,MIA,23.2
RP,John Means (17616135),John Means,17616135,P,9300,TB@BAL 05/18/2021 07:05PM ET,BAL,28.82
SP,Yonny Chirinos (17616237),Yonny Chirinos,17616237,P,9300,TB@BAL 05/18/2021 07:05PM ET,TB,0
SP,Chris Sale (17615858),Chris Sale,17615858,P,9300,BOS@TOR 05/18/2021 07:37PM ET,BOS,0
SP,Taijuan Walker (17615993),Taijuan Walker,17615993,P,9200,NYM@ATL 05/18/2021 07:20PM ET,NYM,16.29
SP,Noah Syndergaard (17615994),Noah Syndergaard,17615994,P,8900,NYM@ATL 05/18/2021 07:20PM ET,NYM,0
SP,Adam Wainwright (17615800),Adam Wainwright,17615800,P,8800,PIT@STL 05/18/2021 07:45PM ET,STL,14.49
SP,Eduardo Rodriguez (17616007),Eduardo Rodriguez,17616007,P,8800,BOS@TOR 05/18/2021 07:37PM ET,BOS,18.22
SP,Charlie Morton (17615804),Charlie Morton,17615804,P,8700,NYM@ATL 05/18/2021 07:20PM ET,ATL,12.97
SP,Sixto Sanchez (17616426),Sixto Sanchez,17616426,P,8700,MIA@PHI 05/18/2021 07:05PM ET,MIA,0
RP,Dakota Hudson (17616295),Dakota Hudson,17616295,P,8600,PIT@STL 05/18/2021 07:45PM ET,STL,0
SP,Hyun Jin Ryu (17616231),Hyun Jin Ryu,17616231,P,8600,BOS@TOR 05/18/2021 07:37PM ET,TOR,18.01
SP,Lucas Giolito (17616167),Lucas Giolito,17616167,P,8400,CWS@MIN 05/18/2021 07:40PM ET,CWS,15.42
SP,Carlos Carrasco (17615815),Carlos Carrasco,17615815,P,8300,NYM@ATL 05/18/2021 07:20PM ET,NYM,0
SP,Marcus Stroman (17615941),Marcus Stroman,17615941,P,8300,NYM@ATL 05/18/2021 07:20PM ET,NYM,16.17
SP,Huascar Ynoa (17616425),Huascar Ynoa,17616425,P,8300,NYM@ATL 05/18/2021 07:20PM ET,ATL,17.52
RP,Kwang Hyun Kim (17615911),Kwang Hyun Kim,17615911,P,8300,PIT@STL 05/18/2021 07:45PM ET,STL,14.45
SP,Zach Eflin (17616162),Zach Eflin,17616162,P,8300,MIA@PHI 05/18/2021 07:05PM ET,PHI,18.19
SP,Michael Pineda (17615866),Michael Pineda,17615866,P,8300,CWS@MIN 05/18/2021 07:40PM ET,MIN,17.94
SP,Nick Pivetta (17616269),Nick Pivetta,17616269,P,8200,BOS@TOR 05/18/2021 07:37PM ET,BOS,17.42
SP,Drew Smyly (17615999),Drew Smyly,17615999,P,8100,NYM@ATL 05/18/2021 07:20PM ET,ATL,9.71
SP,Trevor Williams (17616219),Trevor Williams,17616219,P,8100,WAS@CHC 05/18/2021 07:40PM ET,CHC,9.13
SP,Adbert Alzolay (17616236),Adbert Alzolay,17616236,P,8100,WAS@CHC 05/18/2021 07:40PM ET,CHC,15.75
SP,Sandy Alcantara (17616327),Sandy Alcantara,17616327,P,8000,MIA@PHI 05/18/2021 07:05PM ET,MIA,15.28
SP,Steven Matz (17615923),Steven Matz,17615923,P,7900,BOS@TOR 05/18/2021 07:37PM ET,TOR,16.54
SP,Stephen Strasburg (17615912),Stephen Strasburg,17615912,P,7800,WAS@CHC 05/18/2021 07:40PM ET,WAS,10.45
SP,Rich Hill (17615806),Rich Hill,17615806,P,7800,TB@BAL 05/18/2021 07:05PM ET,TB,14.06
SP,Robbie Ray (17616012),Robbie Ray,17616012,P,7800,BOS@TOR 05/18/2021 07:37PM ET,TOR,18.85
SP,Johan Oviedo (17616583),Johan Oviedo,17616583,P,7700,PIT@STL 05/18/2021 07:45PM ET,STL,6.86
SP,Nathan Eovaldi (17615888),Nathan Eovaldi,17615888,P,7700,BOS@TOR 05/18/2021 07:37PM ET,BOS,14.97
SP,David Peterson (17616381),David Peterson,17616381,P,7600,NYM@ATL 05/18/2021 07:20PM ET,NYM,14.17
RP,JT Brubaker (17616469),JT Brubaker,17616469,P,7600,PIT@STL 05/18/2021 07:45PM ET,PIT,18.49
SP,Jake Arrieta (17615845),Jake Arrieta,17615845,P,7500,WAS@CHC 05/18/2021 07:40PM ET,CHC,11.98
SP,Pablo Lopez (17616238),Pablo Lopez,17616238,P,7500,MIA@PHI 05/18/2021 07:05PM ET,MIA,13.44
SP,Garrett Richards (17615918),Garrett Richards,17615918,P,7500,BOS@TOR 05/18/2021 07:37PM ET,BOS,13.64
SP,Martin Perez (17615893),Martin Perez,17615893,P,7400,BOS@TOR 05/18/2021 07:37PM ET,BOS,12.73
