,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Guillermo Heredia,Andrelton Simmons,Cody Poteet,Cody Poteet,Cody Poteet,Austin Hays,Austin Hays,Cody Poteet,Cody Poteet,Cody Poteet,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Guillermo Heredia,5.0,Andrelton Simmons,5.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Austin Hays,7.0,Austin Hays,7.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0
2,Harrison Bader,Guillermo Heredia,Guillermo Heredia,Guillermo Heredia,Guillermo Heredia,Cedric Mullins,Freddy Galvis,Javier Baez,Javier Baez,Javier Baez,Alex Verdugo,Austin Hays,Cody Poteet,Cody Poteet,Cody Poteet,Alex Verdugo,Austin Hays,Austin Meadows,Austin Meadows,Cody Poteet,Austin Hays,Bryan Reynolds,Bryan Reynolds,Austin Meadows,Alex Verdugo,Harrison Bader,4.0,Guillermo Heredia,5.0,Guillermo Heredia,5.0,Guillermo Heredia,5.0,Guillermo Heredia,5.0,Cedric Mullins,5.0,Freddy Galvis,6.0,Javier Baez,3.0,Javier Baez,3.0,Javier Baez,3.0,Alex Verdugo,8.0,Austin Hays,7.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Alex Verdugo,8.0,Austin Hays,7.0,Austin Meadows,27.0,Austin Meadows,27.0,Cody Poteet,14.25,Austin Hays,7.0,Bryan Reynolds,4.0,Bryan Reynolds,4.0,Austin Meadows,27.0,Alex Verdugo,8.0
3,Ji-Man Choi,Harrison Bader,Javier Baez,Javier Baez,Javier Baez,Harrison Bader,Harrison Bader,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Austin Hays,Bo Bichette,Javier Baez,Javier Baez,Javier Baez,Austin Hays,Bryan Reynolds,Cody Poteet,Bryan Reynolds,Javier Baez,Cedric Mullins,Dylan Carlson,Cody Poteet,Bryan Reynolds,Bo Bichette,Ji-Man Choi,18.0,Harrison Bader,4.0,Javier Baez,3.0,Javier Baez,3.0,Javier Baez,3.0,Harrison Bader,4.0,Harrison Bader,4.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Austin Hays,7.0,Bo Bichette,11.0,Javier Baez,3.0,Javier Baez,3.0,Javier Baez,3.0,Austin Hays,7.0,Bryan Reynolds,4.0,Cody Poteet,14.25,Bryan Reynolds,4.0,Javier Baez,3.0,Cedric Mullins,5.0,Dylan Carlson,10.0,Cody Poteet,14.25,Bryan Reynolds,4.0,Bo Bichette,11.0
4,Johneshwy Fargas,J.D. Martinez,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,JT Brubaker,Ji-Man Choi,Josh Harrison,Josh Harrison,Josh Harrison,Dylan Carlson,Bryan Reynolds,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Dylan Carlson,JT Brubaker,Dylan Carlson,Cody Poteet,Ji-Man Choi,Dylan Carlson,J.D. Martinez,Dylan Carlson,Cody Poteet,Bryan Reynolds,Johneshwy Fargas,3.0,J.D. Martinez,0.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,JT Brubaker,1.1000000000000032,Ji-Man Choi,18.0,Josh Harrison,3.0,Josh Harrison,3.0,Josh Harrison,3.0,Dylan Carlson,10.0,Bryan Reynolds,4.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Dylan Carlson,10.0,JT Brubaker,1.1000000000000032,Dylan Carlson,10.0,Cody Poteet,14.25,Ji-Man Choi,18.0,Dylan Carlson,10.0,J.D. Martinez,0.0,Dylan Carlson,10.0,Cody Poteet,14.25,Bryan Reynolds,4.0
5,Josh Harrison,Ji-Man Choi,Josh Harrison,Josh Harrison,Josh Harrison,Ji-Man Choi,Josh Harrison,Kris Bryant,Kris Bryant,Kris Bryant,JT Brubaker,Dylan Carlson,Kris Bryant,Kris Bryant,Kris Bryant,JT Brubaker,Ji-Man Choi,Javier Baez,Javier Baez,Jonathan Villar,JT Brubaker,JT Brubaker,Ji-Man Choi,Ji-Man Choi,Cody Poteet,Josh Harrison,3.0,Ji-Man Choi,18.0,Josh Harrison,3.0,Josh Harrison,3.0,Josh Harrison,3.0,Ji-Man Choi,18.0,Josh Harrison,3.0,Kris Bryant,10.0,Kris Bryant,10.0,Kris Bryant,10.0,JT Brubaker,1.1000000000000032,Dylan Carlson,10.0,Kris Bryant,10.0,Kris Bryant,10.0,Kris Bryant,10.0,JT Brubaker,1.1000000000000032,Ji-Man Choi,18.0,Javier Baez,3.0,Javier Baez,3.0,Jonathan Villar,16.0,JT Brubaker,1.1000000000000032,JT Brubaker,1.1000000000000032,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Cody Poteet,14.25
6,Lance Lynn,Josh Harrison,Kris Bryant,Kris Bryant,Kris Bryant,Josh Harrison,Lance Lynn,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Ji-Man Choi,JT Brubaker,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,Ji-Man Choi,Kevin Newman,Ji-Man Choi,Ji-Man Choi,Kris Bryant,Ji-Man Choi,Ji-Man Choi,Josh Donaldson,Kris Bryant,Ji-Man Choi,Lance Lynn,9.9,Josh Harrison,3.0,Kris Bryant,10.0,Kris Bryant,10.0,Kris Bryant,10.0,Josh Harrison,3.0,Lance Lynn,9.9,Kyle Schwarber,2.0,Kyle Schwarber,2.0,Kyle Schwarber,2.0,Ji-Man Choi,18.0,JT Brubaker,1.1000000000000032,Kyle Schwarber,2.0,Kyle Schwarber,2.0,Kyle Schwarber,2.0,Ji-Man Choi,18.0,Kevin Newman,8.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Kris Bryant,10.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Josh Donaldson,3.0,Kris Bryant,10.0,Ji-Man Choi,18.0
7,Rafael Devers,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Max Kepler,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Ji-Man Choi,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Kris Bryant,Kris Bryant,Kyle Schwarber,Jonathan Villar,Josh Donaldson,Kris Bryant,Lance Lynn,Kris Bryant,Rafael Devers,0.0,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Max Kepler,2.0,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Ji-Man Choi,18.0,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Kris Bryant,10.0,Kris Bryant,10.0,Kyle Schwarber,2.0,Jonathan Villar,16.0,Josh Donaldson,3.0,Kris Bryant,10.0,Lance Lynn,9.9,Kris Bryant,10.0
8,Tim Anderson,Rafael Devers,Ronald Acuna Jr.,Ronald Acuna Jr.,Rafael Devers,Rafael Devers,Rafael Devers,Starlin Castro,Starlin Castro,Starlin Castro,Rafael Devers,Lance Lynn,Starlin Castro,Starlin Castro,Starlin Castro,Tim Anderson,Nolan Arenado,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Kevin Newman,Lance Lynn,Tim Anderson,Lance Lynn,Tim Anderson,0.0,Rafael Devers,0.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Rafael Devers,0.0,Rafael Devers,0.0,Rafael Devers,0.0,Starlin Castro,14.0,Starlin Castro,14.0,Starlin Castro,14.0,Rafael Devers,0.0,Lance Lynn,9.9,Starlin Castro,14.0,Starlin Castro,14.0,Starlin Castro,14.0,Tim Anderson,0.0,Nolan Arenado,23.0,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Kevin Newman,8.0,Lance Lynn,9.9,Tim Anderson,0.0,Lance Lynn,9.9
9,William Contreras,William Contreras,Starlin Castro,Starlin Castro,Teoscar Hernandez,Tim Anderson,Yadier Molina,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Tim Anderson,Rafael Devers,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Yermin Mercedes,Teoscar Hernandez,Nolan Arenado,Willson Contreras,Teoscar Hernandez,Tim Anderson,Lance Lynn,Trea Turner,Willson Contreras,Willson Contreras,William Contreras,2.0,William Contreras,2.0,Starlin Castro,14.0,Starlin Castro,14.0,Teoscar Hernandez,15.0,Tim Anderson,0.0,Yadier Molina,6.0,Teoscar Hernandez,15.0,Teoscar Hernandez,15.0,Teoscar Hernandez,15.0,Tim Anderson,0.0,Rafael Devers,0.0,Teoscar Hernandez,15.0,Teoscar Hernandez,15.0,Teoscar Hernandez,15.0,Yermin Mercedes,8.0,Teoscar Hernandez,15.0,Nolan Arenado,23.0,Willson Contreras,10.0,Teoscar Hernandez,15.0,Tim Anderson,0.0,Lance Lynn,9.9,Trea Turner,7.0,Willson Contreras,10.0,Willson Contreras,10.0
