,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,05-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Alec Bohm,Alec Bohm,Cavan Biggio,Cavan Biggio,Alec Bohm,Alec Bohm,Alec Bohm,Alec Bohm,Alec Bohm,Alec Bohm,Alex Verdugo,Alex Verdugo,Austin Meadows,Austin Meadows,Bo Bichette,Alex Verdugo,Alex Verdugo,Austin Meadows,Austin Meadows,Bo Bichette,Alex Verdugo,Alex Verdugo,Austin Meadows,Austin Meadows,Alex Verdugo,Alec Bohm,7.0,Alec Bohm,7.0,Cavan Biggio,2.0,Cavan Biggio,2.0,Alec Bohm,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Alex Verdugo,0.0,Alex Verdugo,0.0,Austin Meadows,0.0,Austin Meadows,0.0,Bo Bichette,7.0,Alex Verdugo,0.0,Alex Verdugo,0.0,Austin Meadows,0.0,Austin Meadows,0.0,Bo Bichette,7.0,Alex Verdugo,0.0,Alex Verdugo,0.0,Austin Meadows,0.0,Austin Meadows,0.0,Alex Verdugo,0.0
2,Bo Bichette,Bo Bichette,Jake Arrieta,Jake Arrieta,Hunter Renfroe,Bo Bichette,Bo Bichette,Austin Meadows,Austin Meadows,Alex Verdugo,Anthony Rendon,Anthony Rendon,Jake Arrieta,Jake Arrieta,Jake Arrieta,Anthony Rendon,Anthony Rendon,Jake Arrieta,Jake Arrieta,Jake Arrieta,Bo Bichette,Bo Bichette,Bo Bichette,Bo Bichette,Bo Bichette,Bo Bichette,7.0,Bo Bichette,7.0,Jake Arrieta,12.5,Jake Arrieta,12.5,Hunter Renfroe,21.0,Bo Bichette,7.0,Bo Bichette,7.0,Austin Meadows,0.0,Austin Meadows,0.0,Alex Verdugo,0.0,Anthony Rendon,5.0,Anthony Rendon,5.0,Jake Arrieta,12.5,Jake Arrieta,12.5,Jake Arrieta,12.5,Anthony Rendon,5.0,Anthony Rendon,5.0,Jake Arrieta,12.5,Jake Arrieta,12.5,Jake Arrieta,12.5,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Bo Bichette,7.0
3,Cedric Mullins,Cedric Mullins,Javier Baez,Javier Baez,J.D. Martinez,J.T. Realmuto,J.T. Realmuto,Jake Arrieta,Jake Arrieta,Jake Arrieta,Bo Bichette,Bo Bichette,Javier Baez,Javier Baez,Jeimer Candelario,Bo Bichette,Bo Bichette,Javier Baez,Javier Baez,Jeimer Candelario,Cedric Mullins,Cedric Mullins,Griffin Canning,Griffin Canning,J.D. Martinez,Cedric Mullins,6.0,Cedric Mullins,6.0,Javier Baez,7.0,Javier Baez,7.0,J.D. Martinez,5.0,J.T. Realmuto,6.0,J.T. Realmuto,6.0,Jake Arrieta,12.5,Jake Arrieta,12.5,Jake Arrieta,12.5,Bo Bichette,7.0,Bo Bichette,7.0,Javier Baez,7.0,Javier Baez,7.0,Jeimer Candelario,3.0,Bo Bichette,7.0,Bo Bichette,7.0,Javier Baez,7.0,Javier Baez,7.0,Jeimer Candelario,3.0,Cedric Mullins,6.0,Cedric Mullins,6.0,Griffin Canning,18.7,Griffin Canning,18.7,J.D. Martinez,5.0
4,Griffin Canning,Griffin Canning,Kris Bryant,Kris Bryant,Jake Arrieta,Marcus Semien,Marcus Semien,Javier Baez,Javier Baez,Javier Baez,Griffin Canning,Griffin Canning,Jean Segura,Jean Segura,Marcus Semien,Griffin Canning,Griffin Canning,Jean Segura,Jean Segura,Marcus Semien,Griffin Canning,Griffin Canning,J.D. Martinez,J.D. Martinez,Jake Arrieta,Griffin Canning,18.7,Griffin Canning,18.7,Kris Bryant,20.0,Kris Bryant,20.0,Jake Arrieta,12.5,Marcus Semien,7.0,Marcus Semien,7.0,Javier Baez,7.0,Javier Baez,7.0,Javier Baez,7.0,Griffin Canning,18.7,Griffin Canning,18.7,Jean Segura,9.0,Jean Segura,9.0,Marcus Semien,7.0,Griffin Canning,18.7,Griffin Canning,18.7,Jean Segura,9.0,Jean Segura,9.0,Marcus Semien,7.0,Griffin Canning,18.7,Griffin Canning,18.7,J.D. Martinez,5.0,J.D. Martinez,5.0,Jake Arrieta,12.5
5,J.D. Martinez,J.D. Martinez,Kyle Higashioka,Kyle Higashioka,Javier Baez,Michael Chavis,Michael Chavis,Marcus Semien,Marcus Semien,Marcus Semien,J.T. Realmuto,J.T. Realmuto,Jeimer Candelario,Jeimer Candelario,Michael Chavis,J.T. Realmuto,J.T. Realmuto,Jeimer Candelario,Jeimer Candelario,Michael Chavis,Jeff McNeil,Jeff McNeil,Jake Arrieta,Jake Arrieta,Jeimer Candelario,J.D. Martinez,5.0,J.D. Martinez,5.0,Kyle Higashioka,4.0,Kyle Higashioka,4.0,Javier Baez,7.0,Michael Chavis,0.0,Michael Chavis,0.0,Marcus Semien,7.0,Marcus Semien,7.0,Marcus Semien,7.0,J.T. Realmuto,6.0,J.T. Realmuto,6.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Michael Chavis,0.0,J.T. Realmuto,6.0,J.T. Realmuto,6.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Michael Chavis,0.0,Jeff McNeil,5.0,Jeff McNeil,5.0,Jake Arrieta,12.5,Jake Arrieta,12.5,Jeimer Candelario,3.0
6,Kyle Higashioka,Kyle Higashioka,Marcus Semien,Marcus Semien,Kyle Higashioka,Nick Pivetta,Nick Pivetta,Michael Chavis,Michael Chavis,Michael Chavis,Jean Segura,Jean Segura,Michael Chavis,Michael Chavis,Nomar Mazara,Jean Segura,Jean Segura,Michael Chavis,Michael Chavis,Nomar Mazara,Jeimer Candelario,Jeimer Candelario,Jean Segura,Jean Segura,Kris Bryant,Kyle Higashioka,4.0,Kyle Higashioka,4.0,Marcus Semien,7.0,Marcus Semien,7.0,Kyle Higashioka,4.0,Nick Pivetta,21.1,Nick Pivetta,21.1,Michael Chavis,0.0,Michael Chavis,0.0,Michael Chavis,0.0,Jean Segura,9.0,Jean Segura,9.0,Michael Chavis,0.0,Michael Chavis,0.0,Nomar Mazara,5.0,Jean Segura,9.0,Jean Segura,9.0,Michael Chavis,0.0,Michael Chavis,0.0,Nomar Mazara,5.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Jean Segura,9.0,Jean Segura,9.0,Kris Bryant,20.0
7,Marcus Semien,Marcus Semien,Michael Chavis,Michael Chavis,Marcus Semien,Nomar Mazara,Nomar Mazara,Nomar Mazara,Nomar Mazara,Nomar Mazara,Michael Chavis,Michael Chavis,Nomar Mazara,Nomar Mazara,Robbie Grossman,Michael Chavis,Michael Chavis,Nomar Mazara,Nomar Mazara,Robbie Grossman,Michael Chavis,Michael Chavis,Jeimer Candelario,Jeimer Candelario,Marcus Semien,Marcus Semien,7.0,Marcus Semien,7.0,Michael Chavis,0.0,Michael Chavis,0.0,Marcus Semien,7.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Michael Chavis,0.0,Michael Chavis,0.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Robbie Grossman,14.0,Michael Chavis,0.0,Michael Chavis,0.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Robbie Grossman,14.0,Michael Chavis,0.0,Michael Chavis,0.0,Jeimer Candelario,3.0,Jeimer Candelario,3.0,Marcus Semien,7.0
8,Michael Chavis,Michael Chavis,Nomar Mazara,Nomar Mazara,Michael Chavis,Robbie Grossman,Robbie Grossman,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Robbie Grossman,Robbie Grossman,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Robbie Grossman,Robbie Grossman,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Robbie Grossman,Robbie Grossman,Kris Bryant,Kris Bryant,Michael Chavis,Michael Chavis,0.0,Michael Chavis,0.0,Nomar Mazara,5.0,Nomar Mazara,5.0,Michael Chavis,0.0,Robbie Grossman,14.0,Robbie Grossman,14.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Robbie Grossman,14.0,Robbie Grossman,14.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Robbie Grossman,14.0,Robbie Grossman,14.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Robbie Grossman,14.0,Robbie Grossman,14.0,Kris Bryant,20.0,Kris Bryant,20.0,Michael Chavis,0.0
9,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Teoscar Hernandez,Teoscar Hernandez,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Teoscar Hernandez,Teoscar Hernandez,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Michael Chavis,Michael Chavis,Tarik Skubal,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Teoscar Hernandez,0.0,Teoscar Hernandez,0.0,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Tyler Glasnow,30.4,Michael Chavis,0.0,Michael Chavis,0.0,Tarik Skubal,9.5
