Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1B/OF,Patrick Kivlehan (17557965),Patrick Kivlehan,17557965,1B/OF,2000,STL@SD 05/14/2021 10:10PM ET,SD,2
2B/SS,Max Moroff (17557972),Max Moroff,17557972,2B/SS,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
3B,Nick Tanielu (17558046),Nick Tanielu,17558046,3B,2000,STL@SD 05/14/2021 10:10PM ET,SD,0
1B,Luken Baker (17558103),Luken Baker,17558103,1B,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
OF,Scott Hurst (17558112),Scott Hurst,17558112,OF,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
SS,Delvin Perez (17558120),Delvin Perez,17558120,SS,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
OF,Conner Capel (17558127),Conner Capel,17558127,OF,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
OF,Jorge Ona (17558152),Jorge Ona,17558152,OF,2000,STL@SD 05/14/2021 10:10PM ET,SD,0
C,Ivan Herrera (17558154),Ivan Herrera,17558154,C,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
1B,Evan Mendoza (17558168),Evan Mendoza,17558168,1B,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
3B,Nolan Gorman (17558181),Nolan Gorman,17558181,3B,2000,STL@SD 05/14/2021 10:10PM ET,STL,0
SS,CJ Abrams (17558198),CJ Abrams,17558198,SS,2000,STL@SD 05/14/2021 10:10PM ET,SD,0
OF,Joshua Mears (17558200),Joshua Mears,17558200,OF,2000,STL@SD 05/14/2021 10:10PM ET,SD,0
OF,Robert Hassell III (17558202),Robert Hassell III,17558202,OF,2000,STL@SD 05/14/2021 10:10PM ET,SD,0
SS,Jack Reinheimer (17557917),Jack Reinheimer,17557917,SS,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
1B/OF,Sam Travis (17557944),Sam Travis,17557944,1B/OF,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
C,Jose Godoy (17557955),Jose Godoy,17557955,C,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
OF,Braden Bishop (17557982),Braden Bishop,17557982,OF,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0.71
3B/SS,Jack Mayfield (17558021),Jack Mayfield,17558021,3B/SS,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
1B,Bobby Bradley (17558042),Bobby Bradley,17558042,1B,2000,CLE@SEA 05/14/2021 10:10PM ET,CLE,0
C,Brian O'Keefe (17558050),Brian O'Keefe,17558050,C,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
C,Cal Raleigh (17558110),Cal Raleigh,17558110,C,2000,CLE@SEA 05/14/2021 10:10PM ET,SEA,0
OF,Will Benson (17558118),Will Benson,17558118,OF,2000,CLE@SEA 05/14/2021 10:10PM ET,CLE,0
3B,Nolan Jones (17558122),Nolan Jones,17558122,3B,2000,CLE@SEA 05/14/2021 10:10PM ET,CLE,0
