,team,Name,b_o,pj_vO
0,NYY,DJ LeMahieu,1,10.39
1,NYY,Giancarlo Stanton,2,12.35
2,NYY,Gleyber Torres,3,7.81
3,NYY,Gio Urshela,4,11.3
4,NYY,Mike Ford,5,12.46
5,NYY,Aaron Hicks,6,7.57
6,NYY,Clint Frazier,7,6.03
7,NYY,Kyle Higashioka,8,11.16
8,NYY,Brett Gardner,9,4.88
9,BAL,Austin Hays,2,11.46
10,BAL,Trey Mancini,3,11.41
11,BAL,Maikel Franco,4,11.03
12,BAL,Pedro Severino,6,6.94
13,BAL,Ryan Mountcastle,7,7.34
14,BAL,Rio Ruiz,8,6.94
15,BAL,Pat Valaika,9,1.47
16,WAS,Trea Turner,1,6.88
17,WAS,Josh Harrison,2,5.25
18,WAS,Ryan Zimmerman,3,3.99
19,WAS,Starlin Castro,4,3.61
20,WAS,Kyle Schwarber,5,3.23
21,WAS,Josh Bell,6,3.56
22,WAS,Yan Gomes,7,3.03
23,WAS,Hernan Perez,8,0.74
24,WAS,Victor Robles,9,3.17
26,TOR,Bo Bichette,2,9.48
27,TOR,Vladimir Guerrero Jr.,3,11.45
28,TOR,Randal Grichuk,4,8.21
29,TOR,Cavan Biggio,5,5.99
30,TOR,Marcus Semien,6,8.26
31,TOR,Joe Panik,7,4.29
32,TOR,Lourdes Gurriel Jr.,8,5.01
33,TOR,Danny Jansen,9,1.95
34,OAK,Mark Canha,1,5.6
35,OAK,Matt Olson,2,4.83
36,OAK,Ramon Laureano,3,5.56
37,OAK,Mitch Moreland,4,2.79
38,OAK,Matt Chapman,5,3.22
39,OAK,Seth Brown,6,2.85
40,OAK,Tony Kemp,7,2.41
41,OAK,Vimael Machin,8,1.32
42,OAK,Aramis Garcia,9,1.51
43,TB,Randy Arozarena,1,8.36
44,TB,Manuel Margot,2,6.88
45,TB,Mike Brosseau,3,5.22
46,TB,Yandy Diaz,4,5.5
47,TB,Kevin Kiermaier,5,5.16
48,TB,Willy Adames,6,4.33
49,TB,Mike Zunino,8,7.18
50,TB,Brett Phillips,9,3.73
51,CHC,Anthony Rizzo,1,6.88
52,CHC,Willson Contreras,2,9.11
53,CHC,Matt Duffy,3,2.07
54,CHC,Kris Bryant,4,9.43
55,CHC,Jason Heyward,5,4.17
56,CHC,David Bote,6,3.82
57,CHC,Jake Marisnick,7,4.06
58,CHC,Nico Hoerner,8,3.88
59,ATL,Ronald Acuna Jr.,1,20.5
60,ATL,Freddie Freeman,2,15.47
61,ATL,Marcell Ozuna,3,7.52
62,ATL,Ozzie Albies,4,11.59
63,ATL,Dansby Swanson,5,6.99
64,ATL,Austin Riley,6,8.97
65,ATL,Guillermo Heredia,7,12.7
66,ATL,Alex Jackson,8,1.71
67,PHI,Brad Miller,1,1.58
68,PHI,Rhys Hoskins,2,2.15
69,PHI,Bryce Harper,3,4.18
70,PHI,Didi Gregorius,4,2.32
71,PHI,Andrew McCutchen,5,3.48
73,PHI,Andrew Knapp,7,0.97
74,PHI,Nick Maton,8,3.23
75,STL,Tommy Edman,1,10.11
76,STL,Dylan Carlson,2,12.03
77,STL,Paul Goldschmidt,3,10.68
78,STL,Nolan Arenado,4,10.7
79,STL,Paul DeJong,5,11.55
80,STL,Tyler O'Neill,6,10.73
81,STL,Justin Williams,7,6.27
82,STL,Andrew Knizner,8,4.97
83,LAA,David Fletcher,1,6.39
84,LAA,Shohei Ohtani,2,8.77
85,LAA,Mike Trout,3,9.81
86,LAA,Jared Walsh,4,7.94
87,LAA,Anthony Rendon,5,5.67
88,LAA,Jose Rojas,6,3.22
89,LAA,Jose Iglesias,7,5.95
90,LAA,Scott Schebler,8,2.93
91,LAA,Max Stassi,9,4.17
92,TEX,Willie Calhoun,1,8.91
93,TEX,Nick Solak,2,11.52
94,TEX,Joey Gallo,3,8.65
95,TEX,Nate Lowe,4,11.01
96,TEX,Adolis Garcia,5,10.8
97,TEX,David Dahl,6,6.6
98,TEX,Isiah Kiner-Falefa,7,9.55
99,TEX,Brock Holt,8,6.18
100,TEX,Jonah Heim,9,6.5
101,SEA,Sam Haggerty,1,5.01
102,SEA,Ty France,2,7.34
103,SEA,Kyle Seager,3,7.26
104,SEA,Kyle Lewis,4,4.88
105,SEA,Evan White,5,3.29
106,SEA,Jose Marmolejos,6,3.89
107,SEA,Taylor Trammell,7,4.64
108,SEA,Luis Torrens,8,3.3
109,SEA,J.P. Crawford,9,4.17
