,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,05-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Alex Bregman,Alex Bregman,Alex Bregman,Adolis Garcia,Adolis Garcia,Alec Bohm,Alec Bohm,Alec Bohm,Adolis Garcia,Adolis Garcia,Alec Bohm,Alec Bohm,Alec Bohm,Adolis Garcia,Adolis Garcia,Alec Bohm,Alec Bohm,Alec Bohm,Eric Lauer,Chris Taylor,Alex Bregman,Alex Bregman,Alex Bregman,Adolis Garcia,24.0,Adolis Garcia,24.0,Alex Bregman,17.0,Alex Bregman,17.0,Alex Bregman,17.0,Adolis Garcia,24.0,Adolis Garcia,24.0,Alec Bohm,5.0,Alec Bohm,5.0,Alec Bohm,5.0,Adolis Garcia,24.0,Adolis Garcia,24.0,Alec Bohm,5.0,Alec Bohm,5.0,Alec Bohm,5.0,Adolis Garcia,24.0,Adolis Garcia,24.0,Alec Bohm,5.0,Alec Bohm,5.0,Alec Bohm,5.0,Eric Lauer,18.7,Chris Taylor,5.0,Alex Bregman,17.0,Alex Bregman,17.0,Alex Bregman,17.0
2,Chris Taylor,Byron Buxton,Christian Arroyo,Christian Arroyo,Christian Arroyo,Chris Taylor,Eric Lauer,Christian Vazquez,Christian Vazquez,Christian Vazquez,Chris Taylor,Eric Lauer,Christian Vazquez,Christian Vazquez,Christian Vazquez,Eric Lauer,Chris Taylor,Eric Lauer,Eric Lauer,Eric Lauer,Josh Harrison,Eric Lauer,Alex Verdugo,Alex Verdugo,Alex Verdugo,Chris Taylor,5.0,Byron Buxton,16.0,Christian Arroyo,0.0,Christian Arroyo,0.0,Christian Arroyo,0.0,Chris Taylor,5.0,Eric Lauer,18.7,Christian Vazquez,17.0,Christian Vazquez,17.0,Christian Vazquez,17.0,Chris Taylor,5.0,Eric Lauer,18.7,Christian Vazquez,17.0,Christian Vazquez,17.0,Christian Vazquez,17.0,Eric Lauer,18.7,Chris Taylor,5.0,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7,Josh Harrison,2.0,Eric Lauer,18.7,Alex Verdugo,19.0,Alex Verdugo,19.0,Alex Verdugo,19.0
3,Eric Lauer,Eric Lauer,Didi Gregorius,Didi Gregorius,Didi Gregorius,Christian Vazquez,Javier Baez,Didi Gregorius,Didi Gregorius,Didi Gregorius,Jackie Bradley Jr.,Javier Baez,Didi Gregorius,Didi Gregorius,Didi Gregorius,Isiah Kiner-Falefa,Kyle Gibson,Josh Harrison,Josh Harrison,J.T. Realmuto,Justin Turner,Jeimer Candelario,Eric Lauer,Eric Lauer,Eric Lauer,Eric Lauer,18.7,Eric Lauer,18.7,Didi Gregorius,7.0,Didi Gregorius,7.0,Didi Gregorius,7.0,Christian Vazquez,17.0,Javier Baez,20.0,Didi Gregorius,7.0,Didi Gregorius,7.0,Didi Gregorius,7.0,Jackie Bradley Jr.,16.0,Javier Baez,20.0,Didi Gregorius,7.0,Didi Gregorius,7.0,Didi Gregorius,7.0,Isiah Kiner-Falefa,6.0,Kyle Gibson,25.0,Josh Harrison,2.0,Josh Harrison,2.0,J.T. Realmuto,2.0,Justin Turner,16.0,Jeimer Candelario,4.0,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7
4,Jacob Nottingham,Jacob Nottingham,Jacob Nottingham,Jacob Nottingham,Jacob Nottingham,Eric Lauer,Josh Harrison,Eric Lauer,Eric Lauer,Eric Lauer,Kyle Gibson,Joey Gallo,Eric Lauer,Eric Lauer,Eric Lauer,Josh Harrison,Luis Urias,Luis Urias,Luis Urias,Jose Altuve,Luis Urias,Luis Urias,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Jacob Nottingham,0.0,Jacob Nottingham,0.0,Jacob Nottingham,0.0,Jacob Nottingham,0.0,Jacob Nottingham,0.0,Eric Lauer,18.7,Josh Harrison,2.0,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7,Kyle Gibson,25.0,Joey Gallo,7.0,Eric Lauer,18.7,Eric Lauer,18.7,Eric Lauer,18.7,Josh Harrison,2.0,Luis Urias,7.0,Luis Urias,7.0,Luis Urias,7.0,Jose Altuve,0.0,Luis Urias,7.0,Luis Urias,7.0,J.T. Realmuto,2.0,J.T. Realmuto,2.0,J.T. Realmuto,2.0
5,Justin Turner,Javier Baez,Kyle Tucker,Kyle Tucker,Kyle Tucker,Javier Baez,Michael Brantley,Michael Brantley,Michael Brantley,Michael Brantley,Nate Lowe,Josh Harrison,Josh Harrison,Josh Harrison,Jackie Bradley Jr.,Max Kepler,Michael Brantley,Michael Brantley,Michael Brantley,Luis Urias,Michael Brantley,Max Kepler,Josh Harrison,Josh Harrison,Josh Harrison,Justin Turner,16.0,Javier Baez,20.0,Kyle Tucker,0.0,Kyle Tucker,0.0,Kyle Tucker,0.0,Javier Baez,20.0,Michael Brantley,14.0,Michael Brantley,14.0,Michael Brantley,14.0,Michael Brantley,14.0,Nate Lowe,7.0,Josh Harrison,2.0,Josh Harrison,2.0,Josh Harrison,2.0,Jackie Bradley Jr.,16.0,Max Kepler,0.0,Michael Brantley,14.0,Michael Brantley,14.0,Michael Brantley,14.0,Luis Urias,7.0,Michael Brantley,14.0,Max Kepler,0.0,Josh Harrison,2.0,Josh Harrison,2.0,Josh Harrison,2.0
6,Nate Lowe,Josh Harrison,Nick Pivetta,Nick Pivetta,Nick Pivetta,Nate Lowe,Nate Lowe,Nick Pivetta,Nick Pivetta,Nick Pivetta,Travis Shaw,Max Kepler,Michael Brantley,Michael Brantley,Josh Harrison,Michael Brantley,Nate Lowe,Nick Pivetta,Nick Pivetta,Michael Brantley,Nate Lowe,Nate Lowe,Luis Urias,Luis Urias,Luis Urias,Nate Lowe,7.0,Josh Harrison,2.0,Nick Pivetta,20.45,Nick Pivetta,20.45,Nick Pivetta,20.45,Nate Lowe,7.0,Nate Lowe,7.0,Nick Pivetta,20.45,Nick Pivetta,20.45,Nick Pivetta,20.45,Travis Shaw,8.0,Max Kepler,0.0,Michael Brantley,14.0,Michael Brantley,14.0,Josh Harrison,2.0,Michael Brantley,14.0,Nate Lowe,7.0,Nick Pivetta,20.45,Nick Pivetta,20.45,Michael Brantley,14.0,Nate Lowe,7.0,Nate Lowe,7.0,Luis Urias,7.0,Luis Urias,7.0,Luis Urias,7.0
7,Trea Turner,Nate Lowe,Rhys Hoskins,Rhys Hoskins,Rhys Hoskins,Travis Shaw,Travis Shaw,Ozzie Albies,Ozzie Albies,Ozzie Albies,Trea Turner,Nate Lowe,Nick Pivetta,Nick Pivetta,Nick Pivetta,Nate Lowe,Travis Shaw,Rhys Hoskins,Rhys Hoskins,Nick Pivetta,Robbie Grossman,Robbie Grossman,Michael Brantley,Michael Brantley,Michael Brantley,Trea Turner,8.0,Nate Lowe,7.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Travis Shaw,8.0,Travis Shaw,8.0,Ozzie Albies,7.0,Ozzie Albies,7.0,Ozzie Albies,7.0,Trea Turner,8.0,Nate Lowe,7.0,Nick Pivetta,20.45,Nick Pivetta,20.45,Nick Pivetta,20.45,Nate Lowe,7.0,Travis Shaw,8.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Nick Pivetta,20.45,Robbie Grossman,31.0,Robbie Grossman,31.0,Michael Brantley,14.0,Michael Brantley,14.0,Michael Brantley,14.0
8,Trevor Bauer,Travis Shaw,Ronald Acuna Jr.,Ronald Acuna Jr.,Ronald Acuna Jr.,Trevor Bauer,Trevor Bauer,Rhys Hoskins,Rhys Hoskins,Rhys Hoskins,Trevor Bauer,Travis Shaw,Rhys Hoskins,Rhys Hoskins,Rhys Hoskins,Travis Shaw,Trevor Bauer,Robbie Grossman,Robbie Grossman,Rhys Hoskins,Trevor Bauer,Trevor Bauer,Nick Pivetta,Nick Pivetta,Nick Pivetta,Trevor Bauer,15.825000000000005,Travis Shaw,8.0,Ronald Acuna Jr.,17.0,Ronald Acuna Jr.,17.0,Ronald Acuna Jr.,17.0,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Trevor Bauer,15.825000000000005,Travis Shaw,8.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Travis Shaw,8.0,Trevor Bauer,15.825000000000005,Robbie Grossman,31.0,Robbie Grossman,31.0,Rhys Hoskins,3.0,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Nick Pivetta,20.45,Nick Pivetta,20.45,Nick Pivetta,20.45
9,Willie Calhoun,Trevor Bauer,Trevor Bauer,Trevor Bauer,Trevor Bauer,Willie Calhoun,Willie Calhoun,Ronald Acuna Jr.,Ronald Acuna Jr.,Ronald Acuna Jr.,Willson Contreras,Trevor Bauer,Robbie Grossman,Robbie Grossman,Ronald Acuna Jr.,Trevor Bauer,Willson Contreras,Ronald Acuna Jr.,Ronald Acuna Jr.,Robbie Grossman,Willson Contreras,Willson Contreras,Rhys Hoskins,Rhys Hoskins,Rhys Hoskins,Willie Calhoun,16.0,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Trevor Bauer,15.825000000000005,Willie Calhoun,16.0,Willie Calhoun,16.0,Ronald Acuna Jr.,17.0,Ronald Acuna Jr.,17.0,Ronald Acuna Jr.,17.0,Willson Contreras,4.0,Trevor Bauer,15.825000000000005,Robbie Grossman,31.0,Robbie Grossman,31.0,Ronald Acuna Jr.,17.0,Trevor Bauer,15.825000000000005,Willson Contreras,4.0,Ronald Acuna Jr.,17.0,Ronald Acuna Jr.,17.0,Robbie Grossman,31.0,Willson Contreras,4.0,Willson Contreras,4.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0,Rhys Hoskins,3.0
