Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,4.94,32,1257,1107,158,262,48,9,40,146,10,3,124,285,.237,.320,.405,.725,98,448,22,15,4,7,5,241
ATL,37,27.7,4.53,32,1178,1033,145,237,49,3,45,140,8,2,111,276,.229,.313,.413,.726,91,427,22,19,6,9,10,201
BAL,33,27.0,3.81,32,1173,1072,122,247,53,2,33,115,9,3,85,289,.230,.289,.376,.665,89,403,14,6,4,6,1,201
BOS,29,28.2,5.21,33,1244,1120,172,298,75,3,39,156,15,4,95,271,.266,.331,.443,.774,116,496,28,18,2,8,5,215
CHC,37,29.5,4.66,32,1193,1031,149,233,44,8,41,142,25,8,120,318,.226,.315,.403,.719,102,416,20,20,9,12,6,203
CHW,32,28.1,4.87,30,1133,991,146,250,45,4,26,135,17,6,115,267,.252,.337,.384,.721,107,381,20,15,5,7,2,216
CIN,32,29.0,5.17,30,1152,1016,155,247,49,4,43,145,6,6,98,289,.243,.321,.426,.747,95,433,17,22,8,8,3,195
CLE,32,26.9,4.10,31,1128,1010,127,208,46,6,40,121,16,1,102,262,.206,.282,.382,.664,85,386,20,7,3,4,4,176
COL,32,28.2,4.72,32,1168,1058,151,258,44,9,36,145,17,5,88,278,.244,.304,.405,.709,86,428,14,7,7,8,7,189
DET,33,28.4,3.15,33,1154,1058,104,219,33,6,33,102,16,2,85,351,.207,.268,.343,.611,74,363,19,5,0,4,1,187
HOU,36,29.1,5.03,32,1209,1089,161,282,61,4,35,153,9,3,91,232,.259,.321,.419,.740,109,456,35,15,0,13,4,203
KCR,32,29.6,4.29,31,1140,1017,133,241,47,8,31,126,25,8,95,257,.237,.304,.390,.695,95,397,18,8,6,10,2,199
LAA,40,30.5,4.65,31,1166,1063,144,276,47,4,43,133,12,3,77,252,.260,.318,.433,.751,110,460,30,17,4,5,7,196
LAD,37,28.7,4.82,33,1317,1122,159,267,51,9,40,151,12,3,151,311,.238,.341,.406,.748,110,456,25,29,7,8,12,264
MIA,34,29.4,4.29,31,1151,1023,133,239,45,6,29,126,19,7,98,295,.234,.308,.374,.682,89,383,19,16,3,10,6,191
MIL,41,28.5,3.82,33,1231,1087,126,234,38,4,38,123,14,4,107,336,.215,.299,.362,.662,81,394,18,26,4,6,3,221
MIN,37,29.1,4.74,31,1166,1043,147,249,54,4,43,139,14,1,97,283,.239,.308,.422,.730,111,440,17,13,2,11,2,202
NYM,33,28.2,3.44,27,991,863,93,204,34,2,21,88,5,4,102,221,.236,.329,.353,.682,94,305,17,18,5,3,5,214
NYY,34,29.4,4.09,32,1201,1046,131,235,38,0,44,123,6,1,141,277,.225,.320,.387,.707,104,405,28,8,2,4,2,218
OAK,33,29.9,4.15,34,1240,1089,141,239,43,5,44,133,21,6,118,301,.219,.308,.389,.697,104,424,20,24,2,7,1,216
PHI,35,28.9,4.15,33,1191,1062,137,248,41,4,37,131,16,3,100,332,.234,.304,.384,.689,92,408,23,13,5,11,6,202
PIT,34,28.2,3.48,31,1142,1016,108,230,52,3,21,104,11,3,102,260,.226,.305,.345,.651,81,351,18,16,2,6,0,221
SDP,36,27.7,3.85,33,1244,1090,127,250,37,3,32,120,36,9,128,272,.229,.314,.357,.671,94,389,33,11,4,9,5,235
SEA,34,27.4,4.00,33,1166,1038,132,212,52,2,37,127,16,6,103,313,.204,.283,.365,.648,89,379,14,13,3,7,0,182
SFG,37,31.0,4.47,32,1169,1022,143,230,45,5,43,139,16,3,125,299,.225,.314,.405,.719,104,414,30,9,7,5,8,195
STL,35,28.2,4.55,33,1195,1074,150,249,46,5,42,139,10,4,93,280,.232,.300,.401,.702,98,431,22,15,6,7,10,192
TBR,38,27.4,4.29,34,1294,1144,146,255,58,3,34,135,18,6,121,352,.223,.307,.368,.675,99,421,18,20,3,6,1,236
TEX,33,26.9,4.09,34,1266,1135,139,273,35,4,41,133,24,8,100,341,.241,.311,.387,.698,97,439,27,19,5,7,1,216
TOR,36,26.5,4.77,31,1158,1040,148,249,36,1,44,138,17,4,95,259,.239,.308,.403,.711,101,419,20,12,2,7,4,192
WSN,37,29.5,3.71,28,1018,912,104,226,38,1,29,100,12,7,79,232,.248,.318,.387,.705,96,353,20,17,4,6,5,190
LgAvg,35,28.6,4.33,32,1181,1049,138,245,46,4,37,130,15,4,105,286,.233,.310,.391,.701,97,410,22,15,4,7,4,207
,1041,28.6,4.33,954,35435,31471,4131,7347,1384,131,1104,3908,452,133,3146,8591,.233,.310,.391,.701,97,12305,648,453,124,221,128,6209
