"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jose Alvarado","PHI","0","0","0.00","1","0","0","0","0","1","0","1.1","5","0","0","0","0","1","0","0","1","0","2","17780"
"Jake Brentz","KCR","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","1","0","0","0","0","0","17783"
"Tyler Kinley","COL","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","18297"
"Carson Fulmer","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","2","18311"
"Alex Young","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","18333"
"Travis Bergen","TOR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","18581"
"Travis Lakins","BAL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","18600"
"A.J. Minter","ATL","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","1","0","0","0","0","0","0","0","2","18655"
"Drew Steckenrider","SEA","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","0","18806"
"Mitch White","LAD","0","0","0.00","1","0","0","0","0","0","0","1.1","11","5","6","0","0","1","0","0","0","0","0","19225"
"Caleb Baragar","SFG","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","19231"
"Cal Quantrill","CLE","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","1","0","0","0","0","0","19312"
"Joey Lucchesi","NYM","1","0","0.00","1","0","0","0","0","0","0","3.1","15","2","1","0","0","1","0","1","0","0","3","19320"
"David Bednar","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","19569"
"Cionel Perez","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","19614"
"Matt Foster","CHW","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","19647"
"Gregory Soto","DET","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","2","0","0","1","0","1","19677"
"Kodi Whitley","STL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","19731"
"Anthony Bender","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","19742"
"Keegan Thompson","CHC","1","0","0.00","1","0","0","0","0","0","0","3.0","12","2","0","0","0","1","0","0","0","0","0","19795"
"Kevin Ginkel","ARI","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","19876"
"Wyatt Mills","SEA","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","20010"
"Zach Pop","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","20185"
"Andre Scrubb","HOU","0","0","0.00","1","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","0","20329"
"Tyler Zuber","KCR","0","0","0.00","1","0","0","0","0","0","0","0.1","3","2","0","0","0","0","0","0","0","0","0","20379"
"Connor Brogdon","PHI","0","0","0.00","1","0","0","0","0","0","1","1.0","5","1","1","0","0","1","1","0","0","0","0","21205"
"Kris Bubic","KCR","0","0","0.00","1","0","0","0","0","0","0","5.2","20","1","0","0","0","3","0","0","0","0","2","21455"
"Aaron Fletcher","SEA","0","0","0.00","1","0","0","0","0","0","0","0.2","3","0","0","0","0","0","0","0","0","0","1","22052"
"Max Scherzer","WSN","0","0","1.23","1","1","0","0","0","0","0","7.1","25","2","1","1","1","1","0","0","0","0","14","3137"
"Aaron Civale","CLE","1","0","1.29","1","1","0","0","0","0","0","7.0","28","5","1","1","0","2","0","0","0","0","5","19479"
"Kevin Gausman","SFG","1","0","1.50","1","1","0","0","0","0","0","6.0","22","3","1","1","0","1","0","0","1","0","7","14107"
