,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,05-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Danny Duffy,Danny Duffy,Danny Duffy,Danny Duffy,Bo Bichette,Danny Duffy,Danny Duffy,Bo Bichette,Bo Bichette,Bo Bichette,Avisail Garcia,Avisail Garcia,Danny Duffy,Bo Bichette,Danny Duffy,Alex Verdugo,Danny Duffy,Bo Bichette,Bo Bichette,Adam Duvall,Danny Duffy,Danny Duffy,Andrew Stevenson,Aaron Judge,Alex Verdugo,Danny Duffy,16.1,Danny Duffy,16.1,Danny Duffy,16.1,Danny Duffy,16.1,Bo Bichette,10.0,Danny Duffy,16.1,Danny Duffy,16.1,Bo Bichette,10.0,Bo Bichette,10.0,Bo Bichette,10.0,Avisail Garcia,18.0,Avisail Garcia,18.0,Danny Duffy,16.1,Bo Bichette,10.0,Danny Duffy,16.1,Alex Verdugo,2.0,Danny Duffy,16.1,Bo Bichette,10.0,Bo Bichette,10.0,Adam Duvall,6.0,Danny Duffy,16.1,Danny Duffy,16.1,Andrew Stevenson,3.0,Aaron Judge,11.0,Alex Verdugo,2.0
2,Gerrit Cole,Gerrit Cole,Elvis Andrus,Elvis Andrus,Danny Duffy,Gerrit Cole,Gerrit Cole,Danny Duffy,Danny Duffy,Danny Duffy,Danny Duffy,Danny Duffy,Gerrit Cole,Casey Mize,Gerrit Cole,Danny Duffy,Gerrit Cole,Casey Mize,Casey Mize,Bo Bichette,Dylan Carlson,Dylan Carlson,Danny Duffy,Andrew Stevenson,Andrew Stevenson,Gerrit Cole,43.6,Gerrit Cole,43.6,Elvis Andrus,10.0,Elvis Andrus,10.0,Danny Duffy,16.1,Gerrit Cole,43.6,Gerrit Cole,43.6,Danny Duffy,16.1,Danny Duffy,16.1,Danny Duffy,16.1,Danny Duffy,16.1,Danny Duffy,16.1,Gerrit Cole,43.6,Casey Mize,17.9,Gerrit Cole,43.6,Danny Duffy,16.1,Gerrit Cole,43.6,Casey Mize,17.9,Casey Mize,17.9,Bo Bichette,10.0,Dylan Carlson,0.0,Dylan Carlson,0.0,Danny Duffy,16.1,Andrew Stevenson,3.0,Andrew Stevenson,3.0
3,Michael Chavis,Harrison Bader,Gerrit Cole,Gerrit Cole,Gerrit Cole,Matt Olson,Matt Olson,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gerrit Cole,Gerrit Cole,Jon Berti,Gerrit Cole,Jon Berti,Gerrit Cole,Mark Canha,Gerrit Cole,Gerrit Cole,Casey Mize,Gerrit Cole,Gerrit Cole,Gerrit Cole,Bo Bichette,Danny Duffy,Michael Chavis,0.0,Harrison Bader,6.0,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Matt Olson,14.0,Matt Olson,14.0,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Jon Berti,6.0,Gerrit Cole,43.6,Jon Berti,6.0,Gerrit Cole,43.6,Mark Canha,5.0,Gerrit Cole,43.6,Gerrit Cole,43.6,Casey Mize,17.9,Gerrit Cole,43.6,Gerrit Cole,43.6,Gerrit Cole,43.6,Bo Bichette,10.0,Danny Duffy,16.1
4,Mitch Haniger,Matt Olson,Gio Urshela,Gio Urshela,Jake Rogers,Mitch Haniger,Mitch Haniger,Gio Urshela,Gio Urshela,Isan Diaz,Mitch Haniger,Mitch Haniger,Jose Iglesias,Gio Urshela,Jose Iglesias,Matt Olson,Matt Olson,Gio Urshela,Gio Urshela,Gerrit Cole,Jeimer Candelario,Jeimer Candelario,Jeimer Candelario,Casey Mize,Gerrit Cole,Mitch Haniger,2.0,Matt Olson,14.0,Gio Urshela,8.0,Gio Urshela,8.0,Jake Rogers,0.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Gio Urshela,8.0,Gio Urshela,8.0,Isan Diaz,0.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Jose Iglesias,6.0,Gio Urshela,8.0,Jose Iglesias,6.0,Matt Olson,14.0,Matt Olson,14.0,Gio Urshela,8.0,Gio Urshela,8.0,Gerrit Cole,43.6,Jeimer Candelario,11.0,Jeimer Candelario,11.0,Jeimer Candelario,11.0,Casey Mize,17.9,Gerrit Cole,43.6
5,Nick Madrigal,Nick Madrigal,Kyle Higashioka,Kyle Higashioka,Jon Berti,Nick Madrigal,Nick Madrigal,Marcus Semien,Marcus Semien,Jon Berti,Nick Madrigal,Nick Madrigal,Marcus Semien,Marcus Semien,Marcus Semien,Mitch Haniger,Mitch Haniger,Marcus Semien,Marcus Semien,Gio Urshela,Jose Iglesias,Jose Iglesias,Jose Iglesias,Gerrit Cole,Jeimer Candelario,Nick Madrigal,7.0,Nick Madrigal,7.0,Kyle Higashioka,0.0,Kyle Higashioka,0.0,Jon Berti,6.0,Nick Madrigal,7.0,Nick Madrigal,7.0,Marcus Semien,7.0,Marcus Semien,7.0,Jon Berti,6.0,Nick Madrigal,7.0,Nick Madrigal,7.0,Marcus Semien,7.0,Marcus Semien,7.0,Marcus Semien,7.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Marcus Semien,7.0,Marcus Semien,7.0,Gio Urshela,8.0,Jose Iglesias,6.0,Jose Iglesias,6.0,Jose Iglesias,6.0,Gerrit Cole,43.6,Jeimer Candelario,11.0
6,Ronald Acuna Jr.,Ronald Acuna Jr.,Lourdes Gurriel Jr.,Lourdes Gurriel Jr.,Marcus Semien,Niko Goodrum,Niko Goodrum,Nomar Mazara,Nomar Mazara,Lourdes Gurriel Jr.,Salvador Perez,Salvador Perez,Randal Grichuk,Randal Grichuk,Randal Grichuk,Nick Madrigal,Nick Madrigal,Mitch Haniger,Mitch Haniger,Marcus Semien,Mitch Haniger,Mitch Haniger,Kyle Lewis,Jeimer Candelario,Jose Iglesias,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Lourdes Gurriel Jr.,0.0,Lourdes Gurriel Jr.,0.0,Marcus Semien,7.0,Niko Goodrum,11.0,Niko Goodrum,11.0,Nomar Mazara,0.0,Nomar Mazara,0.0,Lourdes Gurriel Jr.,0.0,Salvador Perez,10.0,Salvador Perez,10.0,Randal Grichuk,0.0,Randal Grichuk,0.0,Randal Grichuk,0.0,Nick Madrigal,7.0,Nick Madrigal,7.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Marcus Semien,7.0,Mitch Haniger,2.0,Mitch Haniger,2.0,Kyle Lewis,0.0,Jeimer Candelario,11.0,Jose Iglesias,6.0
7,Taylor Ward,Taylor Ward,Marcus Semien,Marcus Semien,Randal Grichuk,Ronald Acuna Jr.,Ronald Acuna Jr.,Taylor Ward,Taylor Ward,Randal Grichuk,Taylor Ward,Taylor Ward,Salvador Perez,Stephen Vogt,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Nick Madrigal,Nick Madrigal,Marcus Semien,Lorenzo Cain,Kyle Lewis,Taylor Ward,0.0,Taylor Ward,0.0,Marcus Semien,7.0,Marcus Semien,7.0,Randal Grichuk,0.0,Ronald Acuna Jr.,2.0,Ronald Acuna Jr.,2.0,Taylor Ward,0.0,Taylor Ward,0.0,Randal Grichuk,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Salvador Perez,10.0,Stephen Vogt,3.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Nick Madrigal,7.0,Nick Madrigal,7.0,Marcus Semien,7.0,Lorenzo Cain,12.0,Kyle Lewis,0.0
8,Tim Anderson,Tim Anderson,Randal Grichuk,Randal Grichuk,Taylor Ward,Taylor Ward,Taylor Ward,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Tim Anderson,Tim Anderson,Taylor Ward,Taylor Ward,Taylor Ward,Taylor Ward,Taylor Ward,Taylor Ward,Taylor Ward,Taylor Ward,Robbie Grossman,Robbie Grossman,Mitch Haniger,Marcus Semien,Marcus Semien,Tim Anderson,12.0,Tim Anderson,12.0,Randal Grichuk,0.0,Randal Grichuk,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Tim Anderson,12.0,Tim Anderson,12.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Taylor Ward,0.0,Robbie Grossman,10.0,Robbie Grossman,10.0,Mitch Haniger,2.0,Marcus Semien,7.0,Marcus Semien,7.0
9,Travis Shaw,Travis Shaw,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Travis Shaw,Travis Shaw,Tom Murphy,Tom Murphy,Tom Murphy,Travis Shaw,Travis Shaw,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Tim Anderson,Tim Anderson,Teoscar Hernandez,Teoscar Hernandez,Teoscar Hernandez,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Salvador Perez,Travis Shaw,11.0,Travis Shaw,11.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Travis Shaw,11.0,Travis Shaw,11.0,Tom Murphy,0.0,Tom Murphy,0.0,Tom Murphy,0.0,Travis Shaw,11.0,Travis Shaw,11.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Tim Anderson,12.0,Tim Anderson,12.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Teoscar Hernandez,32.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0,Salvador Perez,10.0
