"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tony Watson","LAA","0","0","0.00","1","0","0","0","0","1","0","1.2","5","0","0","0","0","0","0","0","0","0","0","3132"
"Joe Smith","HOU","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","0","3281"
"Steve Cishek","LAA","0","0","0.00","1","0","0","0","0","1","0","0.1","3","1","0","0","0","1","0","0","0","0","0","6483"
"Jake McGee","SFG","0","0","0.00","1","0","0","0","1","0","0","1.0","5","2","0","0","0","0","0","0","0","0","1","7550"
"Cesar Valdez","BAL","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","9013"
"Brooks Raley","HOU","0","0","0.00","1","0","0","0","0","0","0","1.1","6","1","0","0","0","1","0","0","0","0","3","10061"
"Heath Hembree","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","11632"
"Sal Romano","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13690"
"Amir Garrett","CIN","0","0","0.00","1","0","0","0","0","0","0","1.2","7","1","0","0","0","1","0","0","0","0","3","14375"
"Duane Underwood Jr.","PIT","0","0","0.00","1","0","0","0","0","0","0","1.2","6","1","0","0","0","0","0","0","0","0","2","14677"
"Adam Cimber","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","15288"
"Mike Mayers","LAA","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15451"
"Tyler Rogers","SFG","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15541"
"Phillips Valdez","BOS","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","15605"
"Paul Fry","BAL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","15832"
"Kent Emanuel","HOU","0","0","0.00","1","0","0","0","0","0","0","1.1","5","0","0","0","0","1","0","0","0","0","1","15849"
"Stefan Crichton","ARI","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","16058"
"Luke Weaver","ARI","1","0","0.00","1","1","0","0","0","0","0","6.1","22","4","0","0","0","0","0","0","0","0","6","16918"
"Raisel Iglesias","LAA","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","17130"
"Brett Martin","TEX","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","17369"
"Tanner Scott","BAL","1","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","1","0","1","17586"
"Taylor Clarke","ARI","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","1","17611"
"Josh Sborz","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","1","0","0","0","0","2","18323"
"Travis Lakins","BAL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","18600"
"Luis Madero","MIA","0","0","0.00","1","0","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","1","20399"
"Alex Wood","SFG","1","0","1.29","1","1","0","0","0","0","0","7.0","26","4","1","1","0","3","0","0","0","0","7","13781"
"Kyle Gibson","TEX","0","0","1.50","1","1","0","0","0","0","0","6.0","23","4","1","1","1","2","0","0","0","0","6","10123"
"Jorge Lopez","BAL","0","0","1.59","1","1","0","0","0","0","0","5.2","22","4","1","1","0","0","0","1","1","0","5","14527"
