Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,105,3.10,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,2,1,.667,4.00,14,0,0,0,0,0,18.0,15,10,8,2,8,0,18,2,0,2,76,106,4.21,1.278,7.5,1.0,4.0,9.0,2.25
3,Jason Adam\adamja01,29,CHC,NL,0,0,,8.22,9,0,2,0,0,0,7.2,9,7,7,1,6,0,13,3,0,0,40,49,4.93,1.957,10.6,1.2,7.0,15.3,2.17
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,4.22,13,0,2,0,0,0,10.2,7,5,5,0,4,0,21,6,0,0,49,89,1.98,1.031,5.9,0.0,3.4,17.7,5.25
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.10,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,2.92,12,0,9,0,0,0,12.1,6,4,4,3,2,0,12,1,0,0,43,138,5.05,0.649,4.4,2.2,1.5,8.8,6.00
7,Sandy Alcantara\alcansa01,25,MIA,NL,1,2,.333,2.72,8,8,0,0,0,0,49.2,36,17,15,5,14,2,48,3,0,2,198,148,3.50,1.007,6.5,0.9,2.5,8.7,3.43
8,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.31,13,0,6,0,0,0,11.2,7,4,3,1,1,0,5,1,0,1,45,168,3.87,0.686,5.4,0.8,0.8,3.9,5.00
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,5.40,9,0,4,0,0,0,16.2,20,11,10,4,4,0,17,0,0,0,75,79,4.90,1.440,10.8,2.2,2.2,9.2,4.25
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,3.52,7,0,3,0,0,0,15.1,14,6,6,2,1,0,19,0,0,2,62,125,2.51,0.978,8.2,1.2,0.6,11.2,19.00
11,Logan Allen*\allenlo01,24,CLE,AL,1,4,.200,9.19,5,5,0,0,0,0,15.2,20,18,16,7,7,0,12,2,0,2,75,48,9.10,1.723,11.5,4.0,4.0,6.9,1.71
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,12.46,11,0,0,0,0,0,8.2,13,12,12,3,7,0,9,1,0,2,45,38,8.29,2.308,13.5,3.1,7.3,9.3,1.29
13,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,71,9.85,0.750,6.8,6.8,0.0,13.5,
14,Jose Alvarado*\alvarjo03,26,PHI,NL,2,0,1.000,3.48,12,0,3,0,0,2,10.1,7,4,4,0,7,1,17,3,0,2,49,116,2.71,1.355,6.1,0.0,6.1,14.8,2.43
15,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,4.35,12,0,4,0,0,0,10.1,11,8,5,0,9,0,11,0,0,0,52,89,3.58,1.935,9.6,0.0,7.8,9.6,1.22
16,Adbert Alzolay\alzolad01,26,CHC,NL,1,2,.333,4.50,5,5,0,0,0,0,26.0,16,13,13,4,7,0,30,1,0,0,100,85,3.72,0.885,5.5,1.4,2.4,10.4,4.29
17,Brett Anderson*\anderbr04,33,MIL,NL,2,2,.500,3.54,5,5,0,0,0,0,20.1,20,9,8,3,5,0,11,1,0,0,85,117,4.82,1.230,8.9,1.3,2.2,4.9,2.20
18,Chase Anderson\anderch01,33,PHI,NL,1,3,.250,5.54,6,6,0,0,0,0,26.0,25,16,16,4,14,0,21,2,0,0,118,72,5.33,1.500,8.7,1.4,4.8,7.3,1.50
19,Ian Anderson\anderia01,23,ATL,NL,2,1,.667,3.46,7,7,0,0,0,0,39.0,32,15,15,4,17,0,43,0,0,2,163,127,3.54,1.256,7.4,0.9,3.9,9.9,2.53
