Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,4.76,34,1332,1170,162,274,50,9,41,149,10,3,130,303,.234,.318,.397,.716,96,465,24,18,5,7,5,258
ATL,37,27.6,4.68,34,1264,1104,159,255,51,5,49,153,9,3,123,294,.231,.317,.419,.736,94,463,23,20,8,9,13,216
BAL,33,27.0,3.85,34,1248,1136,131,260,56,2,35,124,10,3,92,301,.229,.291,.374,.665,88,425,16,10,4,6,1,213
BOS,29,28.2,5.34,35,1329,1197,187,320,78,3,43,170,15,4,103,289,.267,.333,.445,.778,116,533,28,18,2,8,5,231
CHC,37,29.5,4.62,34,1260,1091,157,244,46,8,41,150,26,8,124,334,.224,.312,.393,.705,98,429,20,22,9,13,6,211
CHW,32,28.0,5.12,32,1218,1065,164,272,51,6,27,153,17,6,123,282,.255,.339,.391,.729,108,416,21,16,5,9,2,229
CIN,32,29.0,5.06,31,1188,1048,157,254,50,4,44,147,6,6,101,294,.242,.319,.424,.743,95,444,18,22,8,9,3,202
CLE,32,26.9,4.25,32,1170,1045,136,219,48,7,40,130,16,1,107,269,.210,.286,.384,.670,86,401,20,7,4,5,4,185
COL,32,28.2,4.68,34,1245,1124,159,272,49,9,36,152,17,5,98,290,.242,.305,.398,.702,85,447,16,7,8,8,7,204
DET,34,28.4,3.26,34,1197,1090,111,231,35,7,34,109,16,3,94,354,.212,.277,.350,.628,78,382,19,6,1,4,1,199
HOU,36,29.1,5.06,34,1284,1156,172,300,66,5,38,164,9,4,98,244,.260,.323,.424,.747,110,490,35,16,0,13,4,216
KCR,33,29.6,4.15,33,1212,1079,137,252,49,10,31,129,26,8,104,271,.234,.303,.384,.687,92,414,20,8,6,11,2,213
LAA,40,30.4,4.76,33,1240,1129,157,293,49,4,44,145,14,4,84,272,.260,.319,.427,.746,107,482,31,17,4,6,8,206
LAD,37,28.7,4.97,35,1409,1197,174,288,55,9,40,166,13,3,168,330,.241,.346,.402,.748,110,481,27,29,7,8,13,287
MIA,34,29.4,4.12,33,1221,1090,136,251,46,6,31,129,20,8,100,325,.230,.302,.369,.671,87,402,19,17,3,10,6,201
MIL,41,28.6,3.83,35,1312,1162,134,252,41,4,41,131,14,4,112,357,.217,.299,.365,.664,82,424,20,27,4,6,5,237
MIN,39,29.1,4.69,32,1212,1083,150,262,58,4,44,142,14,1,102,292,.242,.312,.425,.737,112,460,17,14,2,11,2,218
NYM,33,28.3,3.48,29,1062,921,101,215,36,2,22,95,7,5,113,238,.233,.328,.349,.677,93,321,17,19,5,4,5,229
NYY,34,29.4,4.06,34,1279,1110,138,246,39,0,46,130,7,1,155,304,.222,.320,.381,.701,102,423,30,8,2,4,3,234
OAK,33,29.9,4.17,36,1313,1152,150,252,45,6,46,141,22,6,128,323,.219,.308,.388,.696,102,447,21,24,2,7,1,229
PHI,36,28.9,4.14,35,1276,1139,145,265,44,4,39,137,17,3,105,355,.233,.303,.381,.684,91,434,27,14,6,11,6,216
PIT,35,28.3,3.52,33,1224,1090,116,248,55,4,22,110,13,3,109,277,.228,.305,.346,.651,81,377,18,16,3,6,0,241
SDP,36,27.7,3.97,35,1326,1166,139,272,42,4,34,131,38,9,133,288,.233,.315,.364,.679,96,424,33,11,4,10,6,251
SEA,35,27.4,4.06,35,1248,1111,142,233,54,2,40,137,16,6,112,331,.210,.288,.370,.658,91,411,16,13,3,7,0,200
SFG,37,31.0,4.44,34,1245,1089,151,249,50,5,46,147,16,3,132,317,.229,.316,.410,.727,106,447,33,10,7,6,9,212
STL,35,28.3,4.60,35,1271,1138,161,269,50,5,44,150,12,4,102,291,.236,.306,.405,.711,101,461,24,16,7,8,13,209
TBR,38,27.4,4.25,36,1368,1213,153,269,60,3,37,142,19,7,125,373,.222,.304,.368,.672,97,446,18,21,3,6,1,249
TEX,34,26.9,4.39,36,1344,1207,158,299,41,4,46,150,25,9,106,354,.248,.317,.403,.719,102,486,31,19,5,7,2,227
TOR,38,26.4,4.85,33,1232,1109,160,265,39,1,48,150,17,4,100,280,.239,.307,.406,.713,100,450,21,12,2,7,4,200
WSN,37,29.5,3.63,30,1095,983,109,242,41,1,30,105,13,7,84,253,.246,.314,.381,.696,94,375,24,17,4,7,6,202
LgAvg,35,28.6,4.36,34,1254,1113,147,261,49,5,39,139,16,5,112,303,.234,.311,.391,.702,97,435,23,16,4,8,5,221
,1051,28.6,4.36,1010,37624,33394,4406,7823,1474,143,1159,4168,474,141,3367,9085,.234,.311,.391,.702,97,13060,687,474,133,233,143,6625
