,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,05-18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Aaron Judge,Aaron Judge,Aaron Judge,Adolis Garcia,Adam Frazier,Aaron Judge,Aaron Judge,Aaron Judge,Adam Frazier,Adam Frazier,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Adam Frazier,Cody Poteet,Alex Verdugo,Adolis Garcia,12.0,Adolis Garcia,12.0,Aaron Judge,8.0,Aaron Judge,8.0,Aaron Judge,8.0,Adolis Garcia,12.0,Adam Frazier,3.0,Aaron Judge,8.0,Aaron Judge,8.0,Aaron Judge,8.0,Adam Frazier,3.0,Adam Frazier,3.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Adam Frazier,3.0,Cody Poteet,14.25,Alex Verdugo,8.0
2,Brandon Woodruff,Brandon Woodruff,Adolis Garcia,Adolis Garcia,Adolis Garcia,Brandon Woodruff,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Cody Poteet,Cody Poteet,Cody Poteet,Brandon Woodruff,Austin Hays,Bryan Reynolds,Cody Poteet,Cody Poteet,Brandon Woodruff,Austin Hays,Cody Poteet,Ji-Man Choi,Bo Bichette,Brandon Woodruff,18.0,Brandon Woodruff,18.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Brandon Woodruff,18.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Adolis Garcia,12.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Brandon Woodruff,18.0,Austin Hays,7.0,Bryan Reynolds,4.0,Cody Poteet,14.25,Cody Poteet,14.25,Brandon Woodruff,18.0,Austin Hays,7.0,Cody Poteet,14.25,Ji-Man Choi,18.0,Bo Bichette,11.0
3,Eric Haase,Eric Haase,Cody Poteet,Cody Poteet,Cody Poteet,Dylan Carlson,Brandon Woodruff,Cody Poteet,Cody Poteet,Cody Poteet,Austin Hays,Austin Hays,Javier Baez,Javier Baez,Javier Baez,Dylan Carlson,Brandon Woodruff,Cody Poteet,Javier Baez,Franmil Reyes,Dylan Carlson,Brandon Woodruff,Jeimer Candelario,Jonathan Villar,Cody Poteet,Eric Haase,3.0,Eric Haase,3.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Dylan Carlson,10.0,Brandon Woodruff,18.0,Cody Poteet,14.25,Cody Poteet,14.25,Cody Poteet,14.25,Austin Hays,7.0,Austin Hays,7.0,Javier Baez,3.0,Javier Baez,3.0,Javier Baez,3.0,Dylan Carlson,10.0,Brandon Woodruff,18.0,Cody Poteet,14.25,Javier Baez,3.0,Franmil Reyes,7.0,Dylan Carlson,10.0,Brandon Woodruff,18.0,Jeimer Candelario,25.0,Jonathan Villar,16.0,Cody Poteet,14.25
4,Guillermo Heredia,Harrison Bader,Javier Baez,Javier Baez,Eric Haase,Eric Haase,Eric Haase,Javier Baez,Javier Baez,Eric Haase,Brandon Woodruff,Brandon Woodruff,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Jarred Kelenic,Dylan Carlson,Javier Baez,Ji-Man Choi,Javier Baez,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Kris Bryant,Ji-Man Choi,Guillermo Heredia,5.0,Harrison Bader,4.0,Javier Baez,3.0,Javier Baez,3.0,Eric Haase,3.0,Eric Haase,3.0,Eric Haase,3.0,Javier Baez,3.0,Javier Baez,3.0,Eric Haase,3.0,Brandon Woodruff,18.0,Brandon Woodruff,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Jarred Kelenic,7.0,Dylan Carlson,10.0,Javier Baez,3.0,Ji-Man Choi,18.0,Javier Baez,3.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Kris Bryant,10.0,Ji-Man Choi,18.0
5,Harrison Bader,Isiah Kiner-Falefa,Ji-Man Choi,Ji-Man Choi,Javier Baez,Harrison Bader,Freddy Galvis,Ji-Man Choi,Ji-Man Choi,Javier Baez,Ji-Man Choi,Dylan Carlson,Kris Bryant,Kris Bryant,Jose Ramirez,Ji-Man Choi,Ji-Man Choi,Ji-Man Choi,Kris Bryant,Ji-Man Choi,Jonathan Villar,Kevin Newman,Kris Bryant,Lance Lynn,Jose Ramirez,Harrison Bader,4.0,Isiah Kiner-Falefa,0.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Javier Baez,3.0,Harrison Bader,4.0,Freddy Galvis,6.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Javier Baez,3.0,Ji-Man Choi,18.0,Dylan Carlson,10.0,Kris Bryant,10.0,Kris Bryant,10.0,Jose Ramirez,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Kris Bryant,10.0,Ji-Man Choi,18.0,Jonathan Villar,16.0,Kevin Newman,8.0,Kris Bryant,10.0,Lance Lynn,9.9,Jose Ramirez,18.0
6,Ji-Man Choi,Ji-Man Choi,Josh Harrison,Josh Harrison,Ji-Man Choi,Ji-Man Choi,Harrison Bader,Josh Harrison,Josh Harrison,Ji-Man Choi,Lance Lynn,J.P. Crawford,Lance Lynn,Lance Lynn,Kris Bryant,Kyle Seager,Kevin Newman,Kris Bryant,Lance Lynn,Jose Ramirez,Lance Lynn,Kyle Seager,Lance Lynn,Nick Solak,Lance Lynn,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Josh Harrison,3.0,Josh Harrison,3.0,Ji-Man Choi,18.0,Ji-Man Choi,18.0,Harrison Bader,4.0,Josh Harrison,3.0,Josh Harrison,3.0,Ji-Man Choi,18.0,Lance Lynn,9.9,J.P. Crawford,0.0,Lance Lynn,9.9,Lance Lynn,9.9,Kris Bryant,10.0,Kyle Seager,0.0,Kevin Newman,8.0,Kris Bryant,10.0,Lance Lynn,9.9,Jose Ramirez,18.0,Lance Lynn,9.9,Kyle Seager,0.0,Lance Lynn,9.9,Nick Solak,21.0,Lance Lynn,9.9
7,Josh Harrison,Josh Harrison,Kris Bryant,Kris Bryant,Jose Ramirez,Josh Harrison,Ji-Man Choi,Kris Bryant,Kris Bryant,Jose Ramirez,Maikel Franco,Ji-Man Choi,Manny Machado,Manny Machado,Lance Lynn,Lance Lynn,Kyle Seager,Lance Lynn,Trent Grisham,Lance Lynn,Taylor Ward,Lance Lynn,Trea Turner,Trea Turner,Nick Solak,Josh Harrison,3.0,Josh Harrison,3.0,Kris Bryant,10.0,Kris Bryant,10.0,Jose Ramirez,18.0,Josh Harrison,3.0,Ji-Man Choi,18.0,Kris Bryant,10.0,Kris Bryant,10.0,Jose Ramirez,18.0,Maikel Franco,0.0,Ji-Man Choi,18.0,Manny Machado,0.0,Manny Machado,0.0,Lance Lynn,9.9,Lance Lynn,9.9,Kyle Seager,0.0,Lance Lynn,9.9,Trent Grisham,0.0,Lance Lynn,9.9,Taylor Ward,0.0,Lance Lynn,9.9,Trea Turner,7.0,Trea Turner,7.0,Nick Solak,21.0
8,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Josh Harrison,Lance Lynn,Lance Lynn,Lance Lynn,Lance Lynn,Josh Harrison,Taylor Ward,Lance Lynn,Rougned Odor,Rougned Odor,Rougned Odor,Taylor Ward,Lance Lynn,Manny Machado,Willie Calhoun,Teoscar Hernandez,Tim Anderson,Mitch Haniger,Trent Grisham,Trent Grisham,Trent Grisham,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Josh Harrison,3.0,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Lance Lynn,9.9,Josh Harrison,3.0,Taylor Ward,0.0,Lance Lynn,9.9,Rougned Odor,8.0,Rougned Odor,8.0,Rougned Odor,8.0,Taylor Ward,0.0,Lance Lynn,9.9,Manny Machado,0.0,Willie Calhoun,5.0,Teoscar Hernandez,15.0,Tim Anderson,0.0,Mitch Haniger,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Trent Grisham,0.0
9,Rafael Devers,Mitch Haniger,Starlin Castro,Starlin Castro,Kris Bryant,Rafael Devers,Rafael Devers,Starlin Castro,Starlin Castro,Kris Bryant,Tim Anderson,Rafael Devers,Trent Grisham,Trent Grisham,Willie Calhoun,Tim Anderson,Salvador Perez,Willie Calhoun,Willson Contreras,Willie Calhoun,Willie Calhoun,Taylor Ward,Willie Calhoun,Willie Calhoun,Willie Calhoun,Rafael Devers,0.0,Mitch Haniger,0.0,Starlin Castro,14.0,Starlin Castro,14.0,Kris Bryant,10.0,Rafael Devers,0.0,Rafael Devers,0.0,Starlin Castro,14.0,Starlin Castro,14.0,Kris Bryant,10.0,Tim Anderson,0.0,Rafael Devers,0.0,Trent Grisham,0.0,Trent Grisham,0.0,Willie Calhoun,5.0,Tim Anderson,0.0,Salvador Perez,0.0,Willie Calhoun,5.0,Willson Contreras,10.0,Willie Calhoun,5.0,Willie Calhoun,5.0,Taylor Ward,0.0,Willie Calhoun,5.0,Willie Calhoun,5.0,Willie Calhoun,5.0
