Date,Lineup Type,1,2,3,4,5,6,7,8,9,10,Proj
05-18-21,APPG_1-5,Start_Andrew_Heaney,Start_Cesar_Hernandez,Start_Chris_Taylor,Start_Josh_Fuentes,Start_Julio_Urias,Start_Mark_Canha,Start_Matt_Olson,Start_Niko_Goodrum,Start_Trent_Grisham,Start_Will_Smith,100.84
05-18-21,APPG_1-5,Start_Andrew_Heaney,Start_Cesar_Hernandez,Start_J.P._Crawford,Start_Jared_Walsh,Start_Julio_Urias,Start_Kyle_Seager,Start_Mark_Canha,Start_Robbie_Grossman,Start_Trent_Grisham,Start_Will_Smith,100.24000000000001
05-18-21,APPG_1-5,Start_Andrew_Heaney,Start_Austin_Nola,Start_Cesar_Hernandez,Start_J.P._Crawford,Start_Jeimer_Candelario,Start_Jose_Altuve,Start_Julio_Urias,Start_Kyle_Seager,Start_Mark_Canha,Start_Mitch_Haniger,Start_Ryan_McMahon,Start_Taylor_Ward,Start_Trent_Grisham,97.6994117614
05-18-21,APPG_1-5,Start_Andrew_Heaney,Start_Cesar_Hernandez,Start_J.P._Crawford,Start_Julio_Urias,Start_Kyle_Seager,Start_Mark_Canha,Start_Matt_Olson,Start_Mitch_Haniger,Start_Trent_Grisham,Start_Will_Smith,101.07
05-18-21,APPG_1-5,Start_Austin_Gomber,Start_Austin_Nola,Start_Blake_Snell,Start_Cesar_Hernandez,Start_Charlie_Blackmon,Start_J.P._Crawford,Start_Justin_Upton,Start_Matt_Chapman,Start_Tommy_Pham,107.48
05-18-21,APPG_1-5,Start_Andrew_Heaney,Start_Austin_Nola,Start_Cesar_Hernandez,Start_J.P._Crawford,Start_Jeimer_Candelario,Start_Jose_Altuve,Start_Julio_Urias,Start_Kyle_Seager,Start_Mark_Canha,Start_Mitch_Haniger,Start_Ryan_McMahon,Start_Taylor_Ward,Start_Trent_Grisham,97.6994117614
05-18-21,APPGa_1-5,Start_Andrew_Heaney,Start_Cesar_Hernandez,Start_J.P._Crawford,Start_Julio_Urias,Start_Kyle_Seager,Start_Mark_Canha,Start_Matt_Olson,Start_Mitch_Haniger,Start_Trent_Grisham,Start_Will_Smith,101.07
