"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Rene Rivera","CLE","2","5","5","3","2","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".600","3648"
"Chris Owings","COL","7","15","17","8","2","3","3","0","6","3","2","0","2","0","0","0","0","2","0",".533","10030"
"Nick Gordon","MIN","1","2","3","1","1","0","0","0","0","0","1","0","1","0","0","0","0","2","0",".500","16337"
"Ketel Marte","ARI","6","26","28","12","6","4","0","2","5","5","2","0","4","0","0","0","1","0","0",".462","13613"
"J.D. Davis","NYM","14","41","48","16","11","3","0","2","5","7","4","1","15","3","0","0","1","0","0",".390","16219"
"Nico Hoerner","CHC","11","36","44","14","8","6","0","0","3","7","8","2","7","0","0","0","0","3","1",".389","21479"
"Buster Posey","SFG","23","78","89","30","19","3","0","8","19","12","10","0","14","1","0","0","5","0","0",".385","9166"
"Yermin Mercedes","CHW","29","105","112","40","28","6","1","5","13","20","7","1","17","0","0","0","1","0","1",".381","17423"
"Jesse Winker","CIN","27","107","118","40","22","10","1","7","24","19","10","0","24","1","0","0","1","0","0",".374","13590"
"Byron Buxton","MIN","24","92","98","34","15","10","0","9","19","17","4","0","23","2","0","0","0","5","0",".370","14161"
"Omar Narvaez","MIL","22","68","79","25","20","2","0","3","7","11","8","0","10","2","1","0","1","0","0",".368","13338"
"Jean Segura","PHI","21","78","82","28","22","4","0","2","10","8","3","1","11","0","1","0","5","1","0",".359","5933"
"Jonathan Lucroy","WSN","5","14","14","5","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".357","7870"
"Mike Trout","LAA","32","107","132","38","21","8","1","8","22","18","23","5","37","2","0","0","0","2","0",".355","10155"
"Christian Yelich","MIL","10","34","41","12","11","1","0","0","8","1","6","0","13","1","0","0","0","2","0",".353","11477"
"Yordan Alvarez","HOU","29","114","123","39","23","9","1","6","22","21","4","1","31","3","2","0","3","0","0",".342","19556"
"Xander Bogaerts","BOS","35","135","147","46","28","11","0","7","21","20","10","1","24","2","0","0","2","2","0",".341","12161"
"Jared Walsh","LAA","34","121","139","41","27","6","1","7","16","29","14","2","30","3","1","0","4","2","0",".339","18607"
"Jordy Mercer","WSN","12","24","25","8","7","1","0","0","1","0","1","0","6","0","0","0","0","0","0",".333","6547"
"Khris Davis","TEX","4","9","10","3","2","0","1","0","2","0","1","0","2","0","0","0","1","0","0",".333","9112"
"Carson Kelly","ARI","27","78","106","26","16","4","0","6","16","19","21","1","16","4","3","0","5","0","0",".333","13620"
"Reese McGuire","TOR","3","6","7","2","2","0","0","0","1","0","1","0","2","0","0","0","0","0","0",".333","15674"
"Luis Guillorme","NYM","15","18","23","6","6","0","0","0","2","0","5","0","1","0","0","0","0","0","0",".333","16451"
"Michael Chavis","BOS","3","9","9","3","2","0","0","1","2","2","0","0","3","0","0","0","0","0","0",".333","17321"
"JT Riddle","MIN","4","6","6","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","17642"
"LaMonte Wade Jr.","SFG","3","6","7","2","1","1","0","0","0","0","1","0","2","0","0","0","0","0","0",".333","18126"
"Ali Sanchez","STL","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","18551"
"Danny Mendick","CHW","11","24","30","8","7","0","0","1","3","5","6","0","5","0","0","0","0","0","0",".333","18889"
"Yuli Gurriel","HOU","35","129","148","43","26","11","0","6","17","28","18","0","19","0","1","0","2","0","0",".333","19198"
"Alex De Goti","HOU","2","6","7","2","2","0","0","0","2","1","1","0","2","0","0","0","0","0","0",".333","19477"
"Andy Young","ARI","12","9","14","3","0","0","0","3","4","6","2","0","5","3","0","0","0","0","0",".333","19521"
"J.D. Martinez","BOS","35","133","154","44","24","10","0","10","31","32","19","2","33","1","1","0","8","0","0",".331","6184"
"Tyler Stephenson","CIN","21","52","56","17","14","2","0","1","8","6","3","0","12","1","0","0","2","0","0",".327","17988"
"Willians Astudillo","MIN","23","68","69","22","16","3","0","3","6","11","0","0","5","0","1","0","1","0","0",".324","15608"
"Trea Turner","WSN","31","124","134","40","28","4","0","8","16","15","6","0","27","3","1","0","6","7","0",".323","16252"
"Vladimir Guerrero Jr.","TOR","34","118","146","38","24","6","0","8","25","26","25","3","25","3","0","0","3","1","0",".322","19611"
"Santiago Espinal","TOR","14","25","25","8","6","2","0","0","5","2","0","0","3","0","0","0","1","0","0",".320","19997"
"Brandon Nimmo","NYM","22","66","80","21","15","5","0","1","7","8","12","0","22","1","0","1","0","2","1",".318","12927"
"Corey Dickerson","MIA","33","98","111","31","22","7","1","1","16","7","10","0","20","3","0","0","2","1","3",".316","10762"
"Starling Marte","MIA","16","57","69","18","13","2","1","2","15","8","8","0","14","3","1","0","1","3","1",".316","9241"
"Luis Robert","CHW","25","95","103","30","19","9","1","1","11","8","7","0","28","0","1","0","0","4","1",".316","20043"
"Michael Brantley","HOU","31","121","130","38","22","12","1","3","21","10","8","0","15","1","0","0","5","0","0",".314","4106"
"J.T. Realmuto","PHI","33","102","122","32","20","7","1","4","15","16","15","1","29","4","1","0","0","3","0",".314","11739"
"Harold Castro","DET","20","48","53","15","15","0","0","0","3","5","4","0","11","0","0","1","1","0","0",".313","14691"
"Alex Bregman","HOU","29","112","123","35","24","6","0","5","20","19","10","2","22","1","0","0","5","0","0",".313","17678"
"Yadier Molina","STL","22","77","83","24","12","7","0","5","13","18","5","0","18","0","1","0","0","0","0",".312","7007"
"Adam Frazier","PIT","34","138","156","43","29","11","2","1","18","12","14","0","16","3","1","0","3","3","1",".312","15223"
"Ronald Acuna Jr.","ATL","33","122","145","38","19","7","1","11","32","23","18","1","21","3","2","0","0","6","1",".311","18401"
"Ryan Zimmerman","WSN","21","58","61","18","11","3","0","4","6","10","3","0","16","0","0","0","0","0","0",".310","4220"
"Justin Turner","LAD","34","123","146","38","23","8","0","7","22","23","20","0","33","1","2","0","2","0","0",".309","5235"
"Kris Bryant","CHC","33","120","139","37","14","14","0","9","26","22","17","1","33","1","1","0","2","1","1",".308","15429"
"Willie Calhoun","TEX","21","78","86","24","19","2","0","3","10","9","7","0","11","1","0","0","1","0","0",".308","17838"
"Cedric Mullins II","BAL","36","143","158","44","26","11","1","6","20","12","14","1","28","0","1","0","0","4","2",".308","17929"
"Raimel Tapia","COL","34","124","135","38","31","3","0","4","16","20","10","0","16","0","1","0","1","4","2",".306","14350"
"Eric Hosmer","SDP","35","131","146","40","30","6","0","4","12","21","13","1","19","1","1","0","2","3","1",".305","3516"
"Phil Gosselin","LAA","8","23","25","7","5","2","0","0","1","2","2","0","6","0","0","0","1","0","1",".304","10953"
"Nick Castellanos","CIN","30","122","130","37","19","8","1","9","24","22","7","0","27","1","0","0","2","1","0",".303","11737"
"Tim Anderson","CHW","24","103","107","31","24","3","0","4","20","13","4","1","31","0","0","0","0","6","2",".301","15172"
"Jarrod Dyson","KCR","18","20","24","6","3","1","2","0","4","0","4","0","5","0","0","0","0","2","0",".300","4866"
"Donovan Solano","SFG","17","50","54","15","11","4","0","0","5","3","2","0","11","1","1","0","1","1","0",".300","8623"
"Chad Pinder","OAK","4","10","10","3","2","0","0","1","1","2","0","0","5","0","0","0","0","0","0",".300","15191"
"Francisco Mejia","TBR","19","60","67","18","11","6","0","1","4","6","3","0","11","2","1","1","1","0","0",".300","16403"
"Guillermo Heredia","ATL","13","40","49","12","5","5","0","2","7","8","8","1","13","1","0","0","1","0","0",".300","18721"
"Nick Madrigal","CHW","29","107","115","32","26","4","2","0","20","11","5","0","5","2","1","0","1","1","1",".299","20521"
"Nelson Cruz","MIN","32","114","128","34","23","2","1","8","20","21","9","1","25","2","3","0","2","0","0",".298","2434"
"Alex Verdugo","BOS","34","131","146","39","27","7","1","4","25","16","11","1","17","2","2","0","2","3","0",".298","17027"
"Colin Moran","PIT","32","111","122","33","22","7","0","4","10","19","10","0","34","0","1","0","1","1","0",".297","16909"
"Matt Duffy","CHC","30","64","76","19","16","3","0","0","11","7","9","0","12","2","1","0","6","3","0",".297","13836"
"Zach McKinstry","LAD","17","54","58","16","8","5","0","3","7","14","2","0","14","1","1","0","0","0","0",".296","19392"
"Kyle Garlick","MIN","18","44","47","13","5","7","0","1","7","4","1","0","14","1","1","0","2","0","0",".295","18063"
"Dylan Carlson","STL","36","122","142","36","24","7","2","3","23","17","14","1","34","3","3","0","3","0","0",".295","20126"
"Nick Maton","PHI","20","61","64","18","12","6","0","0","3","2","2","0","20","1","0","0","0","0","0",".295","21635"
"Charlie Culberson","TEX","26","78","85","23","14","6","0","3","8","11","5","1","22","0","0","2","1","1","0",".295","3298"
"Ender Inciarte","ATL","12","17","20","5","4","1","0","0","3","0","2","0","3","0","0","1","1","0","0",".294","4922"
"Chris Taylor","LAD","32","109","134","32","20","5","3","4","29","14","20","1","33","5","0","0","3","5","0",".294","13757"
"Bryce Harper","PHI","28","99","122","29","16","6","0","7","23","11","21","3","28","2","0","0","3","3","0",".293","11579"
"Giancarlo Stanton","NYY","31","123","136","36","21","6","0","9","16","24","13","1","35","0","0","0","6","0","0",".293","4949"
"Matt Beaty","LAD","24","41","51","12","10","1","0","1","8","15","7","0","9","3","0","0","0","0","0",".293","17710"
"Adolis Garcia","TEX","28","106","114","31","19","2","1","9","16","26","6","0","35","1","1","0","1","3","3",".292","19287"
"Kole Calhoun","ARI","13","48","51","14","9","3","0","2","6","5","3","0","13","0","0","0","1","1","0",".292","11200"
"Bryan Reynolds","PIT","33","120","139","35","19","13","0","3","22","14","18","0","28","1","0","0","3","0","1",".292","19326"
"Trent Grisham","SDP","27","103","116","30","19","5","1","5","16","11","13","0","30","0","0","0","1","6","0",".291","18564"
"Tucker Barnhart","CIN","26","79","88","23","12","8","0","3","16","13","7","0","33","2","0","0","2","0","0",".291","10200"
"Pablo Sandoval","ATL","26","31","37","9","5","0","0","4","7","10","6","0","12","0","0","0","0","0","0",".290","5409"
"C.J. Cron","COL","29","93","109","27","18","4","0","5","17","15","14","0","27","2","0","0","1","0","0",".290","12546"
"Jazz Chisholm","MIA","22","69","80","20","11","4","1","4","11","7","9","0","25","1","1","0","0","7","0",".290","20454"
"Asdrubal Cabrera","ARI","32","107","128","31","18","9","0","4","18","18","19","1","24","1","1","0","0","0","0",".290","4962"
"Jose Altuve","HOU","26","107","118","31","23","5","0","3","18","13","8","0","16","0","3","0","2","1","1",".290","5417"
"Jeimer Candelario","DET","34","128","141","37","29","5","0","3","17","12","13","0","35","0","0","0","2","0","0",".289","13621"
"Ehire Adrianza","ATL","25","45","53","13","8","2","1","2","8","11","4","0","6","0","3","1","1","0","0",".289","8418"
"Luis Arraez","MIN","26","90","108","26","22","2","1","1","15","12","14","0","13","2","2","0","1","0","0",".289","18568"
"Josh Rojas","ARI","31","90","103","26","15","5","1","5","18","11","11","0","26","0","0","0","1","1","0",".289","19734"
"Nate Lowe","TEX","38","142","163","41","28","6","0","7","18","25","20","0","43","1","0","0","7","4","0",".289","19566"
"Austin Riley","ATL","35","111","132","32","26","3","0","3","17","8","15","2","33","5","1","0","3","0","0",".288","18360"
"Randal Grichuk","TOR","34","126","135","36","24","6","0","6","16","28","8","0","26","0","1","0","3","0","2",".286","10243"
"Gio Urshela","NYY","29","105","115","30","21","5","0","4","9","16","9","0","25","0","1","0","3","1","0",".286","10681"
"Jake Cronenworth","SDP","36","133","153","38","26","8","1","3","20","11","15","2","21","2","1","1","4","3","1",".286","18036"
"Jake Rogers","DET","2","7","7","2","2","0","0","0","0","2","0","0","2","0","0","0","0","0","0",".286","19452"
"Tommy Edman","STL","36","147","160","42","32","6","2","2","18","6","11","0","16","2","0","0","0","5","1",".286","19470"
"Joey Wendle","TBR","34","109","119","31","18","10","0","3","21","16","7","0","21","2","1","0","4","2","1",".284","13853"
"Freddy Galvis","BAL","31","102","112","29","17","7","1","4","14","12","7","0","23","1","1","1","1","1","0",".284","6609"
"Jesus Aguilar","MIA","34","113","133","32","17","7","0","8","16","29","16","2","21","1","3","0","3","0","0",".283","11342"
"Isiah Kiner-Falefa","TEX","38","152","165","43","31","5","2","5","25","17","7","0","30","4","1","1","2","7","1",".283","16512"
"Miguel Rojas","MIA","34","117","132","33","19","10","2","2","23","13","13","0","18","2","0","0","1","3","1",".282","7802"
"Brad Miller","PHI","25","57","63","16","13","0","0","3","10","8","6","0","21","0","0","0","2","0","0",".281","12775"
"DJ LeMahieu","NYY","33","132","151","37","29","5","0","3","24","9","18","0","25","1","0","0","4","2","0",".280","9874"
"Rafael Devers","BOS","34","125","144","35","16","10","0","9","22","30","16","1","34","1","2","0","2","2","3",".280","17350"
"Nolan Arenado","STL","36","140","152","39","20","12","1","6","20","23","11","2","21","1","0","0","5","0","0",".279","9777"
"Starlin Castro","WSN","31","115","126","32","24","7","0","1","4","14","9","0","22","0","2","0","2","0","0",".278","4579"
"Josh Harrison","WSN","24","90","102","25","18","4","0","3","12","12","8","0","13","4","0","0","1","1","2",".278","8202"
"Trevor Story","COL","35","126","143","35","19","10","2","4","21","20","14","2","29","1","2","0","1","4","2",".278","12564"
"Teoscar Hernandez","TOR","18","72","76","20","16","1","0","3","9","14","4","0","21","0","0","0","0","1","0",".278","13066"
"Tomas Nido","NYM","11","18","22","5","3","0","1","1","4","3","2","0","2","2","0","0","0","0","0",".278","13755"
"Nick Senzel","CIN","31","94","107","26","21","4","0","1","16","8","12","0","14","0","1","0","2","2","5",".277","19293"
"Yadiel Hernandez","WSN","20","47","53","13","11","1","0","1","4","3","4","0","13","1","1","0","3","2","0",".277","19334"
"Pavin Smith","ARI","33","123","131","34","21","8","2","3","18","12","7","0","22","1","0","0","5","1","0",".276","19892"
"Anthony Rendon","LAA","15","58","66","16","11","2","0","3","9","11","7","0","11","0","1","0","3","0","0",".276","12861"
"Christian Arroyo","BOS","23","69","76","19","12","7","0","0","9","5","3","0","18","3","0","0","1","1","0",".275","16434"
"Andrew Benintendi","KCR","32","120","133","33","25","5","0","3","18","10","13","0","27","0","0","0","2","5","4",".275","17901"
"Jed Lowrie","OAK","34","124","137","34","21","10","0","3","17","22","13","0","25","0","0","0","2","0","0",".274","4418"
"Josh Donaldson","MIN","22","73","85","20","11","6","0","3","11","10","11","0","13","0","1","0","4","0","0",".274","5038"
"Jon Jay","LAA","4","11","11","3","3","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".273","5227"
"Kolten Wong","MIL","25","88","101","24","15","7","0","2","12","5","9","1","15","3","1","0","0","2","1",".273","12532"
"Corey Seager","LAD","34","136","156","37","24","7","2","4","19","21","18","1","28","2","0","0","4","1","0",".272","13624"
"Aledmys Diaz","HOU","21","70","76","19","12","6","0","1","8","12","2","0","13","4","0","0","3","0","0",".271","15937"
"Jose Iglesias","LAA","32","118","121","32","27","3","0","2","14","8","2","0","20","1","0","0","4","1","1",".271","10231"
"Avisail Garcia","MIL","33","111","125","30","23","3","0","4","15","18","11","1","33","2","1","0","2","3","2",".270","5760"
"Yonathan Daza","COL","29","74","78","20","17","2","0","1","5","6","2","0","15","0","1","1","2","1","0",".270","15794"
"Salvador Perez","KCR","34","134","141","36","21","8","0","7","16","18","4","0","33","3","0","0","4","0","0",".269","7304"
"Juan Soto","WSN","21","67","83","18","13","2","0","3","14","11","15","3","10","0","1","0","2","1","2",".269","20123"
"Eric Sogard","CHC","32","56","61","15","12","1","1","1","9","6","3","1","11","0","2","0","1","1","0",".268","7927"
"Matt Olson","OAK","31","112","128","30","16","7","0","7","17","21","13","0","27","2","1","0","4","0","1",".268","14344"
"David Peralta","ARI","34","127","139","34","20","6","5","3","18","26","12","2","17","0","0","0","5","1","0",".268","2136"
"Marcus Semien","TOR","34","135","150","36","24","4","0","8","20","19","14","0","38","0","1","0","0","6","0",".267","12533"
"Josh Naylor","CLE","30","105","113","28","17","9","0","2","12","8","6","1","23","1","0","0","1","1","0",".267","18839"
"Tyler Naquin","CIN","29","94","108","25","14","3","0","8","14","24","10","1","26","3","1","0","0","2","1",".266","13359"
"Nick Solak","TEX","38","143","161","38","26","5","0","7","25","19","11","0","40","7","0","0","5","2","2",".266","19294"
"Christian Vazquez","BOS","32","113","121","30","22","6","0","2","17","14","7","0","25","0","1","0","4","4","0",".265","9774"
"Whit Merrifield","KCR","34","132","150","35","24","7","0","4","20","23","12","1","15","1","5","0","3","11","1",".265","11281"
"Shohei Ohtani","LAA","35","132","141","35","14","9","2","10","26","26","6","0","38","3","0","0","2","6","2",".265","19755"
"Mitch Haniger","SEA","34","136","149","36","18","7","1","10","25","27","10","0","37","0","3","0","2","0","0",".265","14274"
"Alex Blandino","CIN","24","34","41","9","6","3","0","0","6","4","6","0","14","1","0","0","0","1","0",".265","16271"
"Kyle Isbel","KCR","12","34","36","9","8","0","1","0","5","3","2","0","15","0","0","0","0","1","0",".265","21614"
"Bo Bichette","TOR","34","140","150","37","22","7","0","8","28","20","7","0","42","2","1","0","4","6","0",".264","19612"
"Jake Marisnick","CHC","27","53","60","14","5","3","2","4","11","14","5","0","19","2","0","0","0","2","1",".264","11339"
"Franmil Reyes","CLE","30","110","120","29","13","6","2","8","17","23","8","0","37","1","1","0","5","1","0",".264","14566"
"Evan Longoria","SFG","32","95","112","25","13","8","0","4","17","14","17","2","27","0","0","0","3","0","0",".263","9368"
"Anthony Bemboom","LAA","6","19","20","5","5","0","0","0","1","1","1","0","6","0","0","0","1","0","0",".263","13854"
"David Fletcher","LAA","35","152","160","40","36","4","0","0","21","13","5","0","20","0","1","2","2","2","0",".263","17992"
"Carlos Santana","KCR","34","118","146","31","21","4","0","6","19","21","26","1","22","1","1","0","2","1","0",".263","2396"
"A.J. Pollock","LAD","30","92","100","24","15","5","0","4","13","15","8","2","25","0","0","0","2","2","0",".261","9256"
"Harold Ramirez","CLE","7","23","23","6","3","3","0","0","3","2","0","0","2","0","0","0","0","0","0",".261","14387"
"Jose Ramirez","CLE","33","119","138","31","16","4","1","10","23","20","15","1","17","2","2","0","3","4","0",".261","13510"
"Mookie Betts","LAD","29","119","141","31","17","10","0","4","19","11","18","1","23","4","0","0","0","4","2",".261","13611"
"J.P. Crawford","SEA","36","119","130","31","25","5","0","1","16","12","10","0","23","1","0","0","3","1","2",".261","15491"
"Randy Arozarena","TBR","33","124","142","32","24","5","0","3","18","12","13","0","46","5","0","0","3","4","0",".258","19290"
"Kyle Lewis","SEA","17","66","71","17","12","2","0","3","6","5","5","0","16","0","0","0","0","0","0",".258","19508"
"Andrew Vaughn","CHW","23","70","83","18","11","7","0","0","11","3","10","0","20","2","1","0","3","0","0",".257","26197"
"Ryan McMahon","COL","35","133","143","34","20","6","0","8","21","22","9","0","32","0","1","0","3","1","0",".256","15112"
"Chad Wallach","MIA","18","47","51","12","9","2","1","0","2","5","1","0","22","1","2","0","1","0","0",".255","17161"
"Wil Myers","SDP","35","106","120","27","18","5","0","4","15","15","14","1","27","0","0","0","4","4","3",".255","10047"
"Michael A. Taylor","KCR","32","106","114","27","23","2","0","2","11","9","8","0","35","0","0","0","1","3","1",".255","11489"
"Pete Alonso","NYM","31","106","125","27","16","6","0","5","18","17","16","0","30","2","1","0","2","0","0",".255","19251"
"Javier Baez","CHC","30","110","119","28","16","3","1","8","18","25","3","1","42","3","2","0","0","6","0",".255","12979"
"Aaron Judge","NYY","32","114","132","29","17","4","0","8","13","19","18","0","39","0","0","0","4","0","0",".254","15640"
"Yoan Moncada","CHW","31","114","134","29","21","5","0","3","16","19","16","0","39","3","1","0","1","0","0",".254","17232"
"Kevin Pillar","NYM","23","63","66","16","12","2","0","2","8","5","2","0","14","1","0","0","2","2","2",".254","12434"
"Dexter Fowler","LAA","7","20","21","5","5","0","0","0","3","1","1","0","6","0","0","0","0","1","0",".250","4062"
