"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Sean Doolittle","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","1581"
"Joe Smith","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","0","3281"
"Liam Hendriks","CHW","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","1","0","0","0","0","0","0","0","3","3548"
"Mark Melancon","SDP","0","0","0.00","1","0","0","0","1","0","0","1.2","10","3","0","0","0","2","0","0","0","0","0","4264"
"Tyler Chatwood","TOR","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","4338"
"Jake Diekman","OAK","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","5003"
"Steve Cishek","LAA","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","6483"
"Alex Colome","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","6661"
"Joakim Soria","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","1","0","0","0","0","1","6941"
"Daniel Hudson","WSN","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","7146"
"Collin McHugh","TBR","0","0","0.00","1","1","0","0","0","0","0","2.0","6","0","0","0","0","1","0","0","0","0","2","7531"
"Richard Bleier","MIA","0","0","0.00","1","0","0","0","0","1","0","1.1","4","0","0","0","0","0","0","0","0","0","1","7803"
"Anthony Bass","MIA","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","0","0","1","7982"
"Bryan Shaw","CLE","0","0","0.00","1","0","0","0","0","0","0","0.1","2","1","0","0","0","0","0","0","0","0","0","8110"
"Aroldis Chapman","NYY","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10233"
"Ryan Tepera","CHC","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10291"
"Mychal Givens","COL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","10430"
"Jimmy Nelson","LAD","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","10547"
"Chasen Shreve","PIT","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","1","10855"
"A.J. Cole","TOR","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","11467"
"Heath Hembree","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","11632"
"Hector Neris","PHI","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","11804"
"Yimi Garcia","MIA","0","0","0.00","1","0","0","0","1","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","12095"
"Nick Ramirez","SDP","0","1","0.00","1","0","0","0","0","0","0","1.2","7","2","1","0","0","1","1","0","0","0","1","12575"
"Burch Smith","OAK","0","0","0.00","1","0","0","0","0","1","0","2.0","6","0","0","0","0","0","0","0","0","0","1","12784"
"Shawn Armstrong","BAL","0","0","0.00","1","0","0","0","0","0","0","0.2","4","2","0","0","0","0","0","0","0","0","2","12857"
"Andrew Chafin","CHC","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","12988"
"Yu Darvish","SDP","0","0","0.00","1","1","0","0","0","0","0","4.0","15","2","1","0","0","1","0","0","0","0","2","13074"
"Gerrit Cole","NYY","1","0","0.00","1","1","0","0","0","0","0","8.0","27","4","0","0","0","0","0","0","0","0","12","13125"
"Derek Law","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","2","13133"
"Michael Fulmer","DET","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","0","0","1","0","0","1","13218"
"Louis Head","TBR","0","0","0.00","1","0","0","0","0","0","0","1.2","5","1","0","0","0","0","0","0","0","0","1","13259"
"Dylan Floro","MIA","0","0","0.00","1","0","0","0","0","1","0","1.0","5","2","0","0","0","0","0","0","0","0","1","13394"
"Pierce Johnson","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","13435"
"Lucas Sims","CIN","1","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","4","13470"
"Daniel Norris","DET","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13475"
"Richard Rodriguez","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","13549"
"Jakob Junis","KCR","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","13619"
"Clay Holmes","PIT","0","0","0.00","1","0","0","0","0","0","0","0.2","4","2","0","0","0","0","0","0","1","0","0","13649"
"John Gant","STL","0","0","0.00","1","1","0","0","0","0","0","5.0","21","3","1","0","0","3","0","1","0","0","4","13684"
