"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Yusmeiro Petit","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","4","2","0","0","0","0","0","0","0","0","1","4020"
"Mark Melancon","SDP","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","4264"
"Jon Lester","WSN","0","0","0.00","1","1","0","0","0","0","0","5.0","21","5","0","0","0","2","2","0","0","0","1","4930"
"Jeurys Familia","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","6","0","0","0","0","2","0","0","0","0","1","5114"
"Daniel Hudson","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","7146"
"Anthony Bass","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","7982"
"Bryan Shaw","CLE","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","8110"
"Lucas Luetge","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","8337"
"Deolis Guerra","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","8410"
"Cesar Valdez","BAL","0","0","0.00","1","0","0","0","1","0","0","1.0","5","2","0","0","0","0","0","0","0","0","0","9013"
"Brad Hand","WSN","1","0","0.00","1","0","0","0","0","0","0","2.0","8","1","1","0","0","2","1","0","0","0","1","9111"
"Sergio Romo","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","9817"
"Brandon Kintzler","PHI","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","9939"
"Brad Boxberger","MIL","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","1","10133"
"Aaron Loup","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","10343"
"Jimmy Nelson","LAD","0","0","0.00","1","0","0","0","0","0","0","0.2","3","0","0","0","0","1","0","0","0","1","0","10547"
"Scott Alexander","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10591"
"Ben Rowen","LAA","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","1","10983"
"Casey Sadler","SEA","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","11209"
"Luke Jackson","ATL","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","11752"
"Kyle Ryan","CHC","0","0","0.00","1","0","0","0","0","0","0","0.2","4","2","0","0","0","0","0","0","0","0","1","11753"
"Hansel Robles","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","0","0","0","11801"
"Gerrit Cole","NYY","1","0","0.00","1","1","0","0","0","0","0","6.0","21","4","0","0","0","0","0","0","0","0","12","13125"
"Luis Cessa","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","2","13345"
"Dylan Floro","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","13394"
"Sam Selman","SFG","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","1","13397"
"Marcus Stroman","NYM","0","1","0.00","1","1","0","0","0","0","0","5.0","19","3","2","0","0","1","0","0","0","0","8","13431"
"Lucas Sims","CIN","0","0","0.00","1","0","0","0","0","1","0","0.2","5","0","0","0","0","3","0","0","1","0","0","13470"
"Daniel Norris","DET","0","0","0.00","1","0","0","0","0","0","0","1.0","4","2","0","0","0","0","0","0","0","0","0","13475"
"Clay Holmes","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","1","0","0","0","0","2","0","0","0","13649"
"Tyler Duffey","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","13758"
"Lance McCullers Jr.","HOU","1","0","0.00","1","1","0","0","0","0","0","7.0","26","3","0","0","0","3","0","0","0","0","9","14120"
"Josh Hader","MIL","0","0","0.00","1","0","0","0","1","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","14212"
"Wandy Peralta","NYY","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14295"
"Joel Payamps","TOR","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","0","14332"
"Dillon Maples","CHC","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","4","14672"
"Kyle Finnegan","WSN","0","0","0.00","1","0","0","0","0","0","0","0.2","4","1","0","0","0","1","0","0","1","0","1","15009"
"Aaron Slegers","LAA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","15231"
"Miguel Castro","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","15684"
"Zack Littell","SFG","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","15823"
"Paul Fry","BAL","0","0","0.00","1","0","0","0","0","1","0","0.2","3","0","0","0","0","1","0","0","0","0","1","15832"
"Kent Emanuel","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","15849"
"Jordan Romano","TOR","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","16122"
"Tejay Antone","CIN","0","0","0.00","1","0","0","0","1","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","16233"
"Aaron Bummer","CHW","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","16258"
"Sam Clay","WSN","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","16279"
"Victor Gonzalez","LAD","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","0","16408"
"J.P. Feyereisen","MIL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","16610"
"Tim Hill","SDP","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","0","0","2","16814"
"Pablo Lopez","MIA","0","0","0.00","1","1","0","0","0","0","0","7.0","25","6","0","0","0","2","0","0","0","0","2","17085"
"Austin Brice","BOS","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","1","17237"
"Sam Coonrod","PHI","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","17264"
