Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.5,5.16,25,986,865,129,202,37,7,35,120,8,3,103,225,.234,.322,.414,.736,102,358,16,12,1,5,5,185
ATL,33,27.9,4.68,25,925,801,117,187,42,3,37,112,6,1,95,217,.233,.325,.432,.757,100,346,14,17,4,8,6,168
BAL,32,27.0,3.64,25,905,827,91,185,42,2,23,86,8,2,64,239,.224,.282,.363,.645,85,300,10,5,4,5,1,153
BOS,29,28.2,4.73,26,954,861,123,225,61,3,27,109,10,2,72,218,.261,.325,.433,.758,114,373,25,12,1,7,3,160
CHC,35,29.5,4.32,25,924,798,108,170,30,7,31,104,16,5,92,253,.213,.305,.385,.690,94,307,16,18,6,9,3,158
CHW,31,28.1,5.17,24,906,797,124,213,38,4,23,113,14,4,89,198,.267,.347,.412,.759,120,328,17,11,4,5,1,173
CIN,31,29.0,5.33,24,926,817,128,202,42,4,35,122,5,5,78,228,.247,.323,.437,.760,99,357,12,17,7,7,2,155
CLE,28,27.0,3.91,23,834,746,90,156,35,4,30,87,14,1,75,195,.209,.284,.387,.672,89,289,14,5,2,4,3,135
COL,29,28.1,4.52,25,905,822,113,193,37,9,30,107,11,5,67,221,.235,.293,.411,.704,84,338,12,3,6,7,6,137
DET,32,28.2,2.88,26,885,813,75,164,27,6,28,75,7,1,62,262,.202,.260,.353,.613,76,287,15,4,0,4,1,139
HOU,35,29.0,4.88,25,947,849,122,214,48,3,25,114,9,2,72,179,.252,.318,.404,.722,107,343,27,15,0,10,2,166
KCR,30,29.6,4.52,23,841,748,104,177,35,7,21,98,22,5,71,183,.237,.305,.386,.691,94,289,9,6,6,8,2,145
LAA,33,30.5,4.83,23,878,804,111,213,32,3,32,100,6,1,57,194,.265,.321,.432,.752,113,347,20,11,2,4,5,154
LAD,32,28.8,4.85,26,1038,878,126,210,42,7,30,119,10,2,125,248,.239,.346,.405,.751,111,356,20,22,6,7,9,213
MIA,32,29.5,4.29,24,908,804,103,186,35,5,21,97,18,6,79,243,.231,.308,.366,.674,87,294,12,14,2,8,1,158
MIL,36,28.6,4.00,25,932,825,100,177,29,4,30,97,11,3,78,257,.215,.298,.368,.666,83,304,14,21,4,3,3,166
MIN,35,29.0,4.43,23,856,771,102,186,38,2,29,97,8,1,64,204,.241,.304,.409,.713,110,315,14,10,2,9,1,150
NYM,29,28.2,3.00,19,677,595,57,139,22,2,15,54,3,4,61,162,.234,.318,.353,.671,90,210,14,14,4,3,1,141
NYY,32,29.5,3.68,25,938,821,92,177,30,0,32,87,4,1,108,221,.216,.310,.369,.679,99,303,23,5,2,2,2,168
OAK,31,29.9,4.19,26,950,833,109,180,33,5,31,102,18,5,89,234,.216,.304,.379,.683,102,316,14,19,2,7,1,164
PHI,34,28.8,3.80,25,910,807,95,191,35,2,26,91,14,3,76,242,.237,.309,.382,.690,92,308,17,13,3,11,6,164
PIT,33,28.2,3.92,24,888,791,94,182,41,3,20,92,7,3,81,213,.230,.309,.365,.674,87,289,12,11,1,4,0,170
SDP,35,27.6,4.08,26,1002,873,106,206,31,3,26,99,33,7,106,225,.236,.323,.368,.691,98,321,28,10,3,8,4,191
SEA,31,27.4,4.04,26,921,821,105,170,44,2,27,100,11,4,80,244,.207,.285,.364,.650,91,299,13,12,2,5,0,144
SFG,34,31.2,4.16,25,914,810,104,184,39,3,31,102,13,2,87,227,.227,.305,.398,.703,98,322,23,6,5,5,8,153
STL,31,28.5,4.40,25,911,813,110,180,29,3,31,100,6,4,77,225,.221,.296,.379,.675,91,308,19,11,5,5,9,143
TBR,37,27.4,4.27,26,989,877,111,199,49,3,27,103,9,5,88,261,.227,.306,.382,.688,106,335,14,15,3,6,1,179
TEX,32,26.8,3.96,26,961,859,103,198,23,3,31,99,18,7,76,275,.231,.304,.373,.677,94,320,20,17,4,5,1,163
TOR,35,26.4,4.09,23,844,755,94,171,23,1,29,87,12,2,69,202,.226,.298,.375,.673,92,283,17,11,1,7,1,144
WSN,35,29.4,3.57,21,760,683,75,168,28,1,20,73,7,5,55,177,.246,.313,.378,.690,92,258,10,14,2,6,4,144
LgAvg,33,28.6,4.25,24,907,805,104,187,36,4,28,98,11,3,80,222,.232,.309,.389,.698,97,313,16,12,3,6,3,159
,975,28.6,4.25,734,27215,24164,3121,5605,1077,111,833,2946,338,101,2396,6672,.232,.309,.389,.698,97,9403,491,361,94,184,92,4783
