"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Charlie Blackmon","COL","1","3","3","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","7859"
"A.J. Pollock","LAD","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","9256"
"Gio Urshela","NYY","1","1","1","1","0","0","0","1","1","3","0","0","0","0","0","0","0","0","0","1.000","10681"
"Bryce Harper","PHI","1","2","5","2","1","1","0","0","1","0","3","0","0","0","0","0","0","0","0","1.000","11579"
"D.J. Stewart","BAL","1","3","4","3","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","17766"
"Victor Robles","WSN","1","2","3","2","0","2","0","0","0","2","0","0","0","1","0","0","0","0","0","1.000","18363"
"Yan Gomes","WSN","1","6","6","5","3","1","1","0","4","2","0","0","1","0","0","0","0","0","0",".833","9627"
"Adam Frazier","PIT","1","5","5","4","2","1","1","0","2","1","0","0","0","0","0","0","0","0","0",".800","15223"
"Joc Pederson","CHC","1","4","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".750","11899"
"Yonathan Daza","COL","1","4","5","3","2","1","0","0","1","3","1","0","1","0","0","0","0","0","0",".750","15794"
"Jordan Luplow","CLE","1","4","4","3","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0",".750","16424"
"Kyle Schwarber","WSN","1","4","7","3","2","0","0","1","2","2","2","0","1","1","0","0","0","0","0",".750","16478"
"Isiah Kiner-Falefa","TEX","1","4","4","3","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0",".750","16512"
"Josh Naylor","CLE","1","4","4","3","2","0","0","1","2","2","0","0","0","0","0","0","1","0","0",".750","18839"
"Garrett Hampson","COL","1","4","5","3","1","0","1","1","2","1","1","0","1","0","0","0","0","0","0",".750","19262"
"Jarred Kelenic","SEA","1","4","4","3","0","2","0","1","2","3","0","0","1","0","0","0","0","0","0",".750","22558"
"David Peralta","ARI","1","3","4","2","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".667","2136"
"Manny Pina","MIL","1","3","4","2","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".667","2829"
"Martin Maldonado","HOU","1","3","4","2","1","0","0","1","1","3","1","0","1","0","0","0","0","0","0",".667","6887"
"Miguel Rojas","MIA","1","3","4","2","1","1","0","0","2","0","0","0","0","1","0","0","0","0","0",".667","7802"
