"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chris Owings","COL","7","15","17","8","2","3","3","0","6","3","2","0","2","0","0","0","0","2","0",".533","10030"
"Eric Haase","DET","1","4","4","2","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0",".500","14111"
"Nick Gordon","MIN","1","2","3","1","1","0","0","0","0","0","1","0","1","0","0","0","0","2","0",".500","16337"
"Ketel Marte","ARI","6","26","28","12","6","4","0","2","5","5","2","0","4","0","0","0","1","0","0",".462","13613"
"Rene Rivera","CLE","3","7","9","3","2","1","0","0","1","0","1","0","3","0","0","1","0","0","0",".429","3648"
"Connor Joe","COL","7","15","23","6","5","1","0","0","2","3","8","0","4","0","0","0","0","0","0",".400","16572"
"J.D. Davis","NYM","14","41","48","16","11","3","0","2","5","7","4","1","15","3","0","0","1","0","0",".390","16219"
"Nico Hoerner","CHC","11","36","44","14","8","6","0","0","3","7","8","2","7","0","0","0","0","3","1",".389","21479"
"Buster Posey","SFG","24","81","94","31","20","3","0","8","20","12","12","0","15","1","0","0","5","0","0",".383","9166"
"Yermin Mercedes","CHW","31","110","118","42","30","6","1","5","13","22","8","1","18","0","0","0","1","0","1",".382","17423"
"Reese McGuire","TOR","4","8","10","3","3","0","0","0","2","0","1","0","2","1","0","0","0","0","0",".375","15674"
"Jesse Winker","CIN","29","116","128","43","25","10","1","7","25","20","11","0","26","1","0","0","1","0","0",".371","13590"
"Byron Buxton","MIN","24","92","98","34","15","10","0","9","19","17","4","0","23","2","0","0","0","5","0",".370","14161"
"Jon Jay","LAA","5","14","14","5","5","0","0","0","2","1","0","0","2","0","0","0","0","0","0",".357","5227"
"Jonathan Lucroy","WSN","5","14","14","5","4","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".357","7870"
"Mike Trout","LAA","32","107","132","38","21","8","1","8","22","18","23","5","37","2","0","0","0","2","0",".355","10155"
"Christian Yelich","MIL","10","34","41","12","11","1","0","0","8","1","6","0","13","1","0","0","0","2","0",".353","11477"
"Omar Narvaez","MIL","23","71","83","25","20","2","0","3","7","11","9","0","11","2","1","0","1","0","0",".352","13338"
"Yordan Alvarez","HOU","31","123","132","43","25","10","1","7","24","22","4","1","33","3","2","0","3","0","0",".350","19556"
"Xander Bogaerts","BOS","37","141","155","49","29","12","0","8","22","23","12","1","26","2","0","0","2","2","0",".348","12161"
"J.D. Martinez","BOS","37","141","162","48","28","10","0","10","32","33","19","2","35","1","1","0","8","0","0",".340","6184"
"Carson Kelly","ARI","28","80","110","27","17","4","0","6","16","19","23","1","16","4","3","0","5","0","0",".338","13620"
"Jean Segura","PHI","23","87","91","29","23","4","0","2","10","8","3","1","12","0","1","0","6","1","0",".333","5933"
"Luis Guillorme","NYM","15","18","23","6","6","0","0","0","2","0","5","0","1","0","0","0","0","0","0",".333","16451"
"JT Riddle","MIN","4","6","6","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","17642"
"Ali Sanchez","STL","1","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","18551"
"Yuli Gurriel","HOU","36","132","151","44","26","11","0","7","18","30","18","0","19","0","1","0","2","0","0",".333","19198"
"Will Craig","PIT","1","3","3","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".333","19267"
"Alex De Goti","HOU","2","6","7","2","2","0","0","0","2","1","1","0","2","0","0","0","0","0","0",".333","19477"
"Jared Walsh","LAA","35","125","143","41","27","6","1","7","16","29","14","2","32","3","1","0","4","2","0",".328","18607"
"Willians Astudillo","MIN","24","72","73","23","17","3","0","3","6","11","0","0","6","0","1","0","1","0","0",".319","15608"
"Brandon Nimmo","NYM","22","66","80","21","15","5","0","1","7","8","12","0","22","1","0","1","0","2","1",".318","12927"
"Matt Beaty","LAD","25","44","54","14","11","2","0","1","8","18","7","0","9","3","0","0","0","0","0",".318","17710"
"Yonathan Daza","COL","32","82","87","26","21","4","0","1","8","6","3","0","15","0","1","1","2","1","0",".317","15794"
"Starling Marte","MIA","16","57","69","18","13","2","1","2","15","8","8","0","14","3","1","0","1","3","1",".316","9241"
"Luis Robert","CHW","25","95","103","30","19","9","1","1","11","8","7","0","28","0","1","0","0","4","1",".316","20043"
"Nick Castellanos","CIN","32","130","140","41","22","9","1","9","26","22","9","0","28","1","0","0","2","1","0",".315","11737"
"Tim Anderson","CHW","26","111","116","35","27","3","0","5","22","15","4","1","33","1","0","0","0","6","2",".315","15172"
"J.T. Realmuto","PHI","33","102","122","32","20","7","1","4","15","16","15","1","29","4","1","0","0","3","0",".314","11739"
"Harold Castro","DET","20","48","53","15","15","0","0","0","3","5","4","0","11","0","0","1","1","0","0",".313","14691"
"Starlin Castro","WSN","33","123","135","38","29","8","0","1","6","16","10","0","22","0","2","0","2","0","0",".309","4579"
"Willie Calhoun","TEX","22","81","90","25","19","2","0","4","11","10","8","0","11","1","0","0","1","0","0",".309","17838"
"Kris Bryant","CHC","34","120","140","37","14","14","0","9","26","22","17","1","33","2","1","0","2","1","1",".308","15429"
"Alex Bregman","HOU","31","120","133","37","25","7","0","5","20","19","12","3","22","1","0","0","5","0","0",".308","17678"
"Trea Turner","WSN","33","133","143","41","28","5","0","8","16","15","6","0","31","3","1","0","6","7","0",".308","16252"
"Cedric Mullins II","BAL","37","146","162","45","27","11","1","6","20","12","15","1","29","0","1","0","0","4","2",".308","17929"
"Jose Peraza","NYM","7","13","14","4","4","0","0","0","1","2","1","0","2","0","0","0","0","0","0",".308","13593"
"Andy Young","ARI","14","13","19","4","0","0","0","4","5","7","3","0","7","3","0","0","0","0","0",".308","19521"
"Santiago Espinal","TOR","15","26","26","8","6","2","0","0","5","2","0","0","3","0","0","0","1","0","0",".308","19997"
"Justin Turner","LAD","35","127","151","39","24","8","0","7","24","23","21","0","33","1","2","0","2","0","0",".307","5235"
"Vladimir Guerrero Jr.","TOR","36","127","155","39","25","6","0","8","25","26","25","3","26","3","0","0","3","1","0",".307","19611"
"Corey Dickerson","MIA","35","108","121","33","24","7","1","1","17","8","10","0","22","3","0","0","3","1","3",".306","10762"
"Bryce Harper","PHI","30","108","131","33","19","7","0","7","24","11","21","3","32","2","0","0","3","4","0",".306","11579"
"Eric Hosmer","SDP","35","131","146","40","30","6","0","4","12","21","13","1","19","1","1","0","2","3","1",".305","3516"
"Michael Brantley","HOU","33","131","140","40","23","13","1","3","21","10","8","0","18","1","0","0","5","0","0",".305","4106"
"Brad Miller","PHI","27","59","65","18","14","1","0","3","10","8","6","0","21","0","0","0","2","0","0",".305","12775"
"Tyler Stephenson","CIN","23","59","63","18","14","2","0","2","9","8","3","0","14","1","0","0","2","0","0",".305","17988"
"Teoscar Hernandez","TOR","20","79","85","24","18","1","0","5","13","18","6","0","21","0","0","0","0","1","1",".304","13066"
"Jesus Aguilar","MIA","36","122","143","37","20","8","0","9","18","32","17","3","22","1","3","0","3","0","0",".303","11342"
"Ronald Acuna Jr.","ATL","35","129","153","39","19","7","1","12","33","24","19","1","23","3","2","0","0","6","1",".302","18401"
"Ryan Zimmerman","WSN","22","63","66","19","11","4","0","4","7","10","3","0","17","0","0","0","1","0","0",".302","4220"
"Raimel Tapia","COL","37","136","149","41","34","3","0","4","18","20","12","0","18","0","1","0","1","5","2",".301","14350"
"Donovan Solano","SFG","17","50","54","15","11","4","0","0","5","3","2","0","11","1","1","0","1","1","0",".300","8623"
"Khris Davis","TEX","5","10","11","3","2","0","1","0","2","0","1","0","2","0","0","0","2","0","0",".300","9112"
"Chad Pinder","OAK","4","10","10","3","2","0","0","1","1","2","0","0","5","0","0","0","0","0","0",".300","15191"
"Francisco Mejia","TBR","19","60","67","18","11","6","0","1","4","6","3","0","11","2","1","1","1","0","0",".300","16403"
"Guillermo Heredia","ATL","13","40","49","12","5","5","0","2","7","8","8","1","13","1","0","0","1","0","0",".300","18721"
"Adam Frazier","PIT","36","144","162","43","29","11","2","1","18","12","14","0","19","3","1","0","3","3","1",".299","15223"
"Nick Maton","PHI","22","67","70","20","14","6","0","0","4","3","2","0","20","1","0","0","0","1","0",".299","21635"
"Colin Moran","PIT","32","111","122","33","22","7","0","4","10","19","10","0","34","0","1","0","1","1","0",".297","16909"
"Yadier Molina","STL","23","81","87","24","12","7","0","5","13","18","5","0","20","0","1","0","0","0","0",".296","7007"
"Zach McKinstry","LAD","17","54","58","16","8","5","0","3","7","14","2","0","14","1","1","0","0","0","0",".296","19392"
"Nelson Cruz","MIN","34","122","138","36","24","2","1","9","22","22","10","2","28","2","3","0","3","0","0",".295","2434"
"Nick Madrigal","CHW","30","112","120","33","26","5","2","0","21","11","5","0","6","2","1","0","2","1","1",".295","20521"
"Ender Inciarte","ATL","12","17","20","5","4","1","0","0","3","0","2","0","3","0","0","1","1","0","0",".294","4922"
"Gio Urshela","NYY","31","113","123","33","23","6","0","4","10","16","9","0","27","0","1","0","3","1","0",".292","10681"
"Kole Calhoun","ARI","13","48","51","14","9","3","0","2","6","5","3","0","13","0","0","0","1","1","0",".292","11200"
"Jose Altuve","HOU","28","117","129","34","24","6","0","4","19","17","9","1","18","0","3","0","2","1","1",".291","5417"
"Pablo Sandoval","ATL","26","31","37","9","5","0","0","4","7","10","6","0","12","0","0","0","0","0","0",".290","5409"
"C.J. Cron","COL","29","93","109","27","18","4","0","5","17","15","14","0","27","2","0","0","1","0","0",".290","12546"
