,APPGa,APPG,pj_vO,pj_vOa,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3
0,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,05-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Aaron Civale,Adolis Garcia,Adolis Garcia,Aaron Civale,Aaron Civale,Adolis Garcia,Adolis Garcia,Aaron Civale,Aaron Civale,Bo Bichette,Bo Bichette,Andrew Benintendi,Aaron Civale,Bo Bichette,Bo Bichette,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Adolis Garcia,18.0,Adolis Garcia,18.0,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Adolis Garcia,18.0,Adolis Garcia,18.0,Aaron Civale,3.100000000000001,Aaron Civale,3.100000000000001,Bo Bichette,7.0,Bo Bichette,7.0,Andrew Benintendi,7.0,Aaron Civale,3.100000000000001,Bo Bichette,7.0,Bo Bichette,7.0
2,Ben Rortvedt,Austin Hays,Adolis Garcia,Adolis Garcia,Andrew Benintendi,Andrew Benintendi,Bo Bichette,Bo Bichette,Andrew Benintendi,Andrew Benintendi,Bo Bichette,Bo Bichette,Andrew Benintendi,Andrew Benintendi,Kyle Seager,Kyle Seager,David Fletcher,Andrew Benintendi,Kyle Seager,Kyle Seager,Ben Rortvedt,0.0,Austin Hays,9.0,Adolis Garcia,18.0,Adolis Garcia,18.0,Andrew Benintendi,7.0,Andrew Benintendi,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Andrew Benintendi,7.0,Andrew Benintendi,7.0,Bo Bichette,7.0,Bo Bichette,7.0,Andrew Benintendi,7.0,Andrew Benintendi,7.0,Kyle Seager,2.0,Kyle Seager,2.0,David Fletcher,4.0,Andrew Benintendi,7.0,Kyle Seager,2.0,Kyle Seager,2.0
3,Fernando Tatis Jr.,Ben Rortvedt,Francisco Mejia,Francisco Mejia,Freddy Galvis,Freddy Galvis,Lorenzo Cain,Lorenzo Cain,David Fletcher,David Fletcher,Lorenzo Cain,Lorenzo Cain,David Fletcher,David Fletcher,Lorenzo Cain,Lorenzo Cain,Fernando Tatis Jr.,Austin Hays,Lorenzo Cain,Lorenzo Cain,Fernando Tatis Jr.,0.0,Ben Rortvedt,0.0,Francisco Mejia,7.0,Francisco Mejia,7.0,Freddy Galvis,16.0,Freddy Galvis,16.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,David Fletcher,4.0,David Fletcher,4.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,David Fletcher,4.0,David Fletcher,4.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Fernando Tatis Jr.,0.0,Austin Hays,9.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0
4,Harrison Bader,Fernando Tatis Jr.,Isiah Kiner-Falefa,Isiah Kiner-Falefa,Matt Olson,Matt Olson,Mitch Haniger,Mitch Haniger,Fernando Tatis Jr.,Fernando Tatis Jr.,Mitch Haniger,Mitch Haniger,Fernando Tatis Jr.,Fernando Tatis Jr.,Mitch Haniger,Mitch Haniger,Jose Ramirez,Bo Bichette,Mitch Haniger,Mitch Haniger,Harrison Bader,14.0,Fernando Tatis Jr.,0.0,Isiah Kiner-Falefa,10.0,Isiah Kiner-Falefa,10.0,Matt Olson,2.0,Matt Olson,2.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Fernando Tatis Jr.,0.0,Fernando Tatis Jr.,0.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Jose Ramirez,11.0,Bo Bichette,7.0,Mitch Haniger,16.0,Mitch Haniger,16.0
5,Jose Ramirez,Harrison Bader,Lorenzo Cain,Lorenzo Cain,Mitch Haniger,Mitch Haniger,Nate Lowe,Nate Lowe,Mitch Haniger,Mitch Haniger,Nate Lowe,Nate Lowe,Mitch Haniger,Mitch Haniger,Nate Lowe,Nate Lowe,Mitch Haniger,David Fletcher,Nate Lowe,Nate Lowe,Jose Ramirez,11.0,Harrison Bader,14.0,Lorenzo Cain,18.0,Lorenzo Cain,18.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Nate Lowe,15.0,Nate Lowe,15.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Nate Lowe,15.0,Nate Lowe,15.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Nate Lowe,15.0,Nate Lowe,15.0,Mitch Haniger,16.0,David Fletcher,4.0,Nate Lowe,15.0,Nate Lowe,15.0
6,Kolten Wong,Matt Olson,Mitch Haniger,Mitch Haniger,Nick Solak,Nick Solak,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nate Lowe,Nate Lowe,Nick Solak,Nick Solak,Nate Lowe,Kyle Seager,Nick Solak,Nick Solak,Kolten Wong,7.0,Matt Olson,2.0,Mitch Haniger,16.0,Mitch Haniger,16.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nick Solak,5.0,Nate Lowe,15.0,Nate Lowe,15.0,Nick Solak,5.0,Nick Solak,5.0,Nate Lowe,15.0,Nate Lowe,15.0,Nick Solak,5.0,Nick Solak,5.0,Nate Lowe,15.0,Kyle Seager,2.0,Nick Solak,5.0,Nick Solak,5.0
7,Matt Olson,Mitch Haniger,Nate Lowe,Nate Lowe,Salvador Perez,Salvador Perez,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Sean Murphy,Lorenzo Cain,Sean Murphy,Sean Murphy,Matt Olson,2.0,Mitch Haniger,16.0,Nate Lowe,15.0,Nate Lowe,15.0,Salvador Perez,2.0,Salvador Perez,2.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Sean Murphy,0.0,Lorenzo Cain,18.0,Sean Murphy,0.0,Sean Murphy,0.0
8,Mitch Haniger,Travis Shaw,Nick Solak,Nick Solak,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Travis Shaw,Tyler Anderson,Tyler Anderson,Tyler Anderson,Nate Lowe,Tyler Anderson,Tyler Anderson,Mitch Haniger,16.0,Travis Shaw,6.0,Nick Solak,5.0,Nick Solak,5.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Travis Shaw,6.0,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Nate Lowe,15.0,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003
9,Tyler Glasnow,Tyler Glasnow,Travis Shaw,Travis Shaw,Tyler Glasnow,Tyler Glasnow,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Glasnow,Tyler Anderson,Tyler Anderson,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,Sean Murphy,Tyler Glasnow,Tyler Glasnow,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Travis Shaw,6.0,Travis Shaw,6.0,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Anderson,16.950000000000003,Tyler Anderson,16.950000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003,Sean Murphy,0.0,Tyler Glasnow,22.700000000000003,Tyler Glasnow,22.700000000000003
