,team,Name,b_o,pj_vO
0,TEX,Isiah Kiner-Falefa,1,6.28
1,TEX,Nick Solak,2,6.15
2,TEX,Nate Lowe,3,6.53
3,TEX,Joey Gallo,4,6.17
4,TEX,Adolis Garcia,5,7.26
5,TEX,Khris Davis,6,2.21
6,TEX,David Dahl,7,3.72
7,TEX,Charlie Culberson,8,4.13
8,TEX,Jose Trevino,9,2.9
9,HOU,Jose Altuve,1,6.05
10,HOU,Carlos Correa,2,5.22
11,HOU,Michael Brantley,3,5.52
12,HOU,Alex Bregman,4,5.93
13,HOU,Yuli Gurriel,5,6.41
14,HOU,Kyle Tucker,6,5.24
15,HOU,Chas McCormick,7,2.57
16,HOU,Myles Straw,8,4.28
17,HOU,Martin Maldonado,9,2.71
18,KC,Whit Merrifield,1,7.61
19,KC,Carlos Santana,2,7.36
20,KC,Andrew Benintendi,3,6.02
21,KC,Salvador Perez,4,6.04
22,KC,Jorge Soler,5,4.85
23,KC,Kelvin Gutierrez,6,2.67
24,KC,Michael A. Taylor,7,4.63
25,KC,Cam Gallagher,8,1.16
26,KC,Nicky Lopez,9,4.64
27,CWS,Tim Anderson,1,9.88
28,CWS,Adam Eaton,2,7.23
29,CWS,Yoan Moncada,3,7.89
30,CWS,Jose Abreu,4,8.53
31,CWS,Yermin Mercedes,5,8.08
32,CWS,Yasmani Grandal,6,6.64
33,CWS,Andrew Vaughn,7,6.37
34,CWS,Leury Garcia,8,5.69
35,CWS,Nick Madrigal,9,6.98
36,OAK,Mark Canha,1,11.18
37,OAK,Seth Brown,2,7.35
38,OAK,Ramon Laureano,3,11.79
39,OAK,Matt Olson,4,11.92
40,OAK,Matt Chapman,5,8.08
41,OAK,Jed Lowrie,6,8.79
42,OAK,Chad Pinder,7,7.0
43,OAK,Sean Murphy,8,8.0
44,OAK,Elvis Andrus,9,4.43
45,MIN,Luis Arraez,1,5.67
46,MIN,Josh Donaldson,2,6.22
47,MIN,Jorge Polanco,3,6.07
48,MIN,Nelson Cruz,4,6.74
49,MIN,Trevor Larnach,5,3.55
50,MIN,Miguel Sano,6,3.71
51,MIN,Max Kepler,7,6.16
52,MIN,Willians Astudillo,8,4.67
53,MIN,Andrelton Simmons,9,4.52
54,ATL,Ehire Adrianza,1,2.7
55,ATL,Freddie Freeman,2,6.26
56,ATL,Marcell Ozuna,3,4.67
57,ATL,Ozzie Albies,4,5.47
58,ATL,Dansby Swanson,5,3.91
59,ATL,Austin Riley,6,4.08
60,ATL,William Contreras,7,6.58
61,ATL,Ender Inciarte,8,1.51
62,MIL,Kolten Wong,1,4.4
63,MIL,Omar Narvaez,2,4.73
64,MIL,Lorenzo Cain,3,5.24
65,MIL,Travis Shaw,4,4.71
66,MIL,Avisail Garcia,5,5.22
67,MIL,Daniel Vogelbach,6,2.69
68,MIL,Jackie Bradley Jr.,7,3.71
69,MIL,Luis Urias,8,4.05
0,TEX,Kyle Gibson,SP,15.07
1,HOU,Lance McCullers Jr.,SP,21.33
2,KC,Brady Singer,SP,10.76
3,CWS,Dylan Cease,SP,19.35
4,OAK,Chris Bassitt,SP,18.68
5,MIN,Kenta Maeda,SP,11.42
6,ATL,Huascar Ynoa,SP,20.86
7,MIL,Freddy Peralta,SP,21.57
