"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Tommy Hunter","NYM","0","0","0.00","1","0","0","0","0","0","0","2.0","8","2","0","0","0","0","0","0","0","0","0","1157"
"Ervin Santana","KCR","0","0","0.00","1","0","0","0","0","0","0","2.0","9","1","0","0","0","1","0","0","0","0","2","3200"
"Liam Hendriks","CHW","0","0","0.00","1","0","0","0","1","0","0","1.0","6","2","0","0","0","0","0","0","0","0","2","3548"
"Yusmeiro Petit","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","4020"
"Jordan Zimmermann","MIL","0","0","0.00","1","0","0","0","0","0","0","2.0","7","3","0","0","0","0","0","0","0","0","0","4505"
"Charlie Morton","ATL","0","1","0.00","1","1","0","0","0","0","0","0.2","9","4","6","0","1","2","0","0","0","0","1","4676"
"Matt Shoemaker","MIN","1","0","0.00","1","1","0","0","0","0","0","5.0","20","4","0","0","0","2","0","0","0","0","5","4776"
"Rich Hill","TBR","0","0","0.00","1","1","0","0","0","0","0","6.0","22","2","0","0","0","2","0","1","0","0","4","4806"
"Jake Diekman","OAK","1","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","2","5003"
"Alex Colome","MIN","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","6661"
"Joakim Soria","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","6941"
"Craig Stammen","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","7274"
"Jake McGee","SFG","0","0","0.00","1","0","0","0","1","0","0","1.0","4","0","0","0","0","1","0","0","0","0","3","7550"
"Richard Bleier","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","2","7803"
"Wade Miley","CIN","1","0","0.00","1","1","1","1","0","0","0","9.0","29","0","0","0","0","1","0","0","0","0","8","8779"
"David Hale","PHI","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","9756"
"Rex Brothers","CHC","0","0","0.00","1","0","0","0","1","0","0","0.1","3","1","0","0","0","0","0","1","0","0","0","9794"
"Caleb Thielbar","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10078"
"Aaron Loup","NYM","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","10343"
"Joely Rodriguez","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","1","0","0","0","0","1","11487"
"Matt Harvey","BAL","0","1","0.00","1","1","0","0","0","0","0","4.0","19","4","4","0","1","1","0","1","0","0","3","11713"
"Hansel Robles","MIN","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","2","11801"
"Michael Feliz","PIT","0","0","0.00","1","0","0","0","0","0","0","2.0","6","1","0","0","0","0","0","0","0","0","1","11903"
"Jacob Barnes","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","12323"
"Zach Davies","CHC","1","0","0.00","1","1","0","0","0","0","0","7.0","26","5","0","0","0","1","0","1","0","0","1","13183"
"Pierce Johnson","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","1","0","0","0","0","2","13435"
"Austin Adams","SDP","0","0","0.00","1","0","0","0","0","0","0","0.1","3","1","0","0","0","0","0","1","0","0","0","13801"
"Wandy Peralta","NYY","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","2","14295"
"Edwin Diaz","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","1","14710"
"Kyle Finnegan","WSN","1","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","1","0","1","15009"
"Cole Sulser","BAL","0","0","0.00","1","0","0","0","0","0","0","1.2","5","0","0","0","0","0","0","0","0","0","2","15256"
"Adam Cimber","MIA","0","0","0.00","1","0","0","0","0","0","0","2.0","8","1","0","0","0","0","0","1","0","0","1","15288"
"Kendall Graveman","SEA","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","3","15514"
"Tyler Rogers","SFG","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","15541"
"Phillips Valdez","BOS","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","0","0","0","0","0","2","15605"
"Miguel Castro","NYM","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","1","15684"
"Zack Littell","SFG","0","0","0.00","1","0","0","0","0","0","0","0.1","2","0","0","0","0","0","0","1","0","0","0","15823"
"Stefan Crichton","ARI","0","1","0.00","1","0","0","0","0","0","0","0.1","4","0","1","0","0","2","2","0","0","0","0","16058"
"Carlos Rodon","CHW","1","0","0.00","1","1","0","0","0","0","0","6.0","23","5","0","0","0","0","0","0","0","0","8","16137"
"Aaron Bummer","CHW","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","2","16258"
"Brett Martin","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","17369"
"Jack Flaherty","STL","1","0","0.00","1","1","0","0","0","0","0","7.0","24","3","0","0","0","1","0","0","0","0","6","17479"
"Genesis Cabrera","STL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","17490"
"Tanner Rainey","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","3","17610"
"Taylor Clarke","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","17611"
"Nabil Crismatt","SDP","0","0","0.00","1","0","0","0","0","0","0","1.0","3","1","0","0","0","0","0","0","0","0","0","17732"
"Jake Brentz","KCR","0","0","0.00","1","0","0","0","0","0","0","1.0","6","1","0","0","0","2","1","0","0","0","1","17783"
"Trent Thornton","TOR","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","0","17948"
"Pete Fairbanks","TBR","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","1","0","3","17998"
"Phil Maton","CLE","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","18064"
"Ryan Helsley","STL","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","18138"
"Anthony Misiewicz","SEA","0","0","0.00","1","0","0","0","0","1","0","1.2","4","1","0","0","0","0","0","0","0","0","0","18152"
"Jacob Webb","ATL","0","0","0.00","1","0","0","0","0","0","0","1.2","6","1","0","0","0","0","0","0","0","0","3","19274"
"Jordan Sheffield","COL","0","0","0.00","1","0","0","0","0","0","0","2.0","8","1","0","0","0","1","0","0","0","0","1","19682"
"Zach Plesac","CLE","0","0","0.00","1","1","0","0","0","0","0","8.0","27","3","0","0","0","0","0","0","0","0","7","19979"
"Tyler Wells","BAL","0","0","0.00","1","0","0","0","0","0","0","1.1","5","0","0","0","0","1","0","0","0","0","1","20000"
"Zach Pop","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","20185"
"Garrett Whitlock","BOS","0","0","0.00","1","0","0","0","0","1","0","2.0","8","3","0","0","0","0","0","0","0","0","0","20191"
"Edwin Uceta","LAD","0","0","0.00","1","0","0","0","0","0","0","2.1","8","0","0","0","0","1","0","0","0","0","1","20539"
"Connor Brogdon","PHI","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","21205"
"Lucas Gilbreath","COL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","1","21290"
"Luis Oviedo","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","21728"
"Camilo Doval","SFG","1","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","21992"
"Codi Heuer","CHW","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","23293"
"Sean Manaea","OAK","0","0","1.23","1","1","0","0","0","0","0","7.1","25","2","1","1","0","1","0","0","0","0","10","15873"
"Zac Gallen","ARI","0","0","1.50","1","1","0","0","0","0","0","6.0","26","4","2","1","0","4","0","0","0","0","5","19291"
"Griffin Canning","LAA","1","0","1.59","1","1","0","0","0","0","0","5.2","25","6","1","1","0","3","0","0","0","0","4","19867"
"Eduardo Rodriguez","BOS","1","0","1.80","1","1","0","0","0","0","0","5.0","23","7","1","1","0","3","0","0","0","0","2","13164"
