Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Jordyn Adams (17447645),Jordyn Adams,17447645,OF,2000,LAD@LAA 05/07/2021 09:38PM ET,LAA,0
SS,Jeremiah Jackson (17447647),Jeremiah Jackson,17447647,SS,2000,LAD@LAA 05/07/2021 09:38PM ET,LAA,0
3B,Kody Hoese (17447649),Kody Hoese,17447649,3B,2000,LAD@LAA 05/07/2021 09:38PM ET,LAD,0
3B,Miguel Vargas (17447650),Miguel Vargas,17447650,3B,2000,LAD@LAA 05/07/2021 09:38PM ET,LAD,0
2B,Michael Busch (17447653),Michael Busch,17447653,2B,2000,LAD@LAA 05/07/2021 09:38PM ET,LAD,0
C,Francisco Pena (17447295),Francisco Pena,17447295,C,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
2B,Pete Kozma (17447303),Pete Kozma,17447303,2B,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
C,Carlos Perez (17447340),Carlos Perez,17447340,C,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
1B,Yoshi Tsutsugo (17447359),Yoshi Tsutsugo,17447359,1B,2000,TB@OAK 05/07/2021 09:40PM ET,TB,3.2
OF,Kevin Kiermaier (17447378),Kevin Kiermaier,17447378,OF,2000,TB@OAK 05/07/2021 09:40PM ET,TB,5.29
2B,Esteban Quiroz (17447391),Esteban Quiroz,17447391,2B,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
3B/SS,Vimael Machin (17447418),Vimael Machin,17447418,3B/SS,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,1.57
2B/3B,Jacob Wilson (17447446),Jacob Wilson,17447446,2B/3B,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
OF,Skye Bolt (17447453),Skye Bolt,17447453,OF,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
OF,Luis Barrera (17447469),Luis Barrera,17447469,OF,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
1B,Frank Schwindel (17447488),Frank Schwindel,17447488,1B,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
C,Joseph Odom (17447489),Joseph Odom,17447489,C,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
OF,Cody Thomas (17447492),Cody Thomas,17447492,OF,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
OF,Buddy Reed (17447496),Buddy Reed,17447496,OF,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
3B,Kevin Padlo (17447529),Kevin Padlo,17447529,3B,2000,TB@OAK 05/07/2021 09:40PM ET,TB,1.33
2B/OF,Vidal Brujan (17447558),Vidal Brujan,17447558,2B/OF,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
OF,Garrett Whitley (17447565),Garrett Whitley,17447565,OF,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
OF,Moises Gomez (17447569),Moises Gomez,17447569,OF,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
OF,Greg Deichmann (17447584),Greg Deichmann,17447584,OF,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
2B/3B,Taylor Walls (17447585),Taylor Walls,17447585,2B/3B,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
OF,Josh Lowe (17447591),Josh Lowe,17447591,OF,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
SS,Logan Davidson (17447605),Logan Davidson,17447605,SS,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
SS,Nick Allen (17447627),Nick Allen,17447627,SS,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
SS,Greg Jones (17447633),Greg Jones,17447633,SS,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
SS,Xavier Edwards (17447646),Xavier Edwards,17447646,SS,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
SS,Wander Franco (17447651),Wander Franco,17447651,SS,2000,TB@OAK 05/07/2021 09:40PM ET,TB,0
C,Kyle McCann (17447654),Kyle McCann,17447654,C,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
C,Tyler Soderstrom (17447660),Tyler Soderstrom,17447660,C,2000,TB@OAK 05/07/2021 09:40PM ET,OAK,0
