Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,4.97,31,1211,1068,154,252,48,9,40,142,9,3,119,277,.236,.319,.410,.729,99,438,22,14,3,7,5,229
ATL,36,27.8,4.61,31,1146,1002,143,232,48,3,44,138,8,2,110,266,.232,.317,.417,.734,93,418,21,19,6,9,10,198
BAL,32,27.0,3.87,31,1134,1036,120,236,50,2,32,113,9,2,82,284,.228,.287,.373,.659,87,386,13,6,4,6,1,191
BOS,29,28.2,5.19,32,1205,1085,166,290,72,3,38,150,12,4,92,265,.267,.332,.444,.776,117,482,28,17,2,8,5,209
CHC,36,29.5,4.71,31,1161,1002,146,224,44,8,41,140,25,7,119,314,.224,.315,.406,.721,102,407,18,20,8,11,6,198
CHW,32,28.1,4.93,29,1095,958,143,243,43,4,25,132,17,6,111,258,.254,.338,.385,.723,109,369,19,15,4,7,1,208
CIN,31,29.0,5.24,29,1118,982,152,241,48,4,43,144,6,6,98,279,.245,.325,.434,.759,98,426,16,22,8,8,3,191
CLE,32,26.9,4.23,30,1099,982,127,208,46,6,40,121,16,1,101,254,.212,.289,.393,.682,90,386,20,7,3,4,4,174
COL,31,28.2,4.87,31,1137,1028,151,254,44,9,36,145,17,5,87,270,.247,.308,.412,.720,88,424,14,7,7,8,7,185
DET,33,28.4,3.16,32,1117,1025,101,212,32,6,32,99,16,2,81,339,.207,.267,.343,.611,74,352,18,5,0,4,1,180
HOU,36,29.1,4.87,31,1167,1053,151,267,58,4,33,143,9,3,86,227,.254,.316,.410,.726,105,432,34,15,0,12,4,195
KCR,32,29.6,4.43,30,1104,982,133,233,46,8,31,126,25,8,95,244,.237,.307,.395,.702,97,388,18,8,6,10,2,190
LAA,39,30.5,4.50,30,1128,1027,135,263,42,3,41,124,11,2,76,247,.256,.316,.423,.738,107,434,30,16,4,5,7,191
LAD,36,28.7,4.91,32,1278,1088,157,259,47,9,39,149,12,3,146,304,.238,.341,.405,.747,109,441,25,29,7,8,12,254
MIA,34,29.4,4.23,30,1117,992,127,229,42,6,28,120,19,7,95,287,.231,.305,.370,.675,87,367,17,16,3,10,6,187
MIL,41,28.5,3.91,32,1196,1055,125,229,36,4,38,122,13,4,105,326,.217,.301,.367,.668,83,387,18,25,4,6,3,214
MIN,37,29.1,4.67,30,1123,1007,140,240,51,4,40,132,14,1,90,271,.238,.306,.416,.722,109,419,17,13,2,11,2,193
NYM,32,28.2,3.38,26,947,827,88,197,34,2,20,83,4,4,94,214,.238,.328,.357,.685,94,295,17,18,5,3,3,203
NYY,33,29.5,4.10,31,1166,1014,127,230,38,0,41,119,6,1,138,270,.227,.323,.386,.709,105,391,28,8,2,4,2,214
OAK,33,30.0,4.21,33,1206,1058,139,232,42,5,43,131,20,5,116,293,.219,.308,.390,.698,103,413,19,23,2,7,1,210
PHI,35,28.9,3.91,32,1142,1020,125,232,40,4,35,119,16,3,94,319,.227,.298,.377,.675,87,385,22,13,4,11,6,192
PIT,34,28.2,3.53,30,1104,982,106,221,51,3,21,102,11,3,100,257,.225,.304,.347,.651,80,341,16,14,2,6,0,212
SDP,36,27.7,3.84,32,1208,1057,123,244,36,3,30,116,36,9,126,265,.231,.316,.356,.672,94,376,32,10,4,9,5,230
SEA,34,27.4,3.97,32,1127,1003,127,202,49,2,35,122,16,6,101,305,.201,.280,.359,.639,87,360,14,12,3,7,0,175
SFG,37,31.0,4.45,31,1133,994,138,226,45,5,41,134,15,3,118,289,.227,.313,.406,.719,104,404,29,8,7,5,8,188
STL,35,28.3,4.53,32,1161,1041,145,241,45,5,40,134,10,4,92,271,.232,.301,.400,.701,98,416,22,15,6,7,10,187
TBR,37,27.4,4.39,33,1263,1114,145,252,57,3,34,134,18,6,120,340,.226,.311,.374,.685,103,417,18,20,3,6,1,233
TEX,33,26.9,4.09,33,1231,1101,135,261,33,4,40,129,24,8,99,336,.237,.309,.383,.692,96,422,24,19,5,7,1,212
TOR,36,26.5,4.80,30,1124,1008,144,243,35,1,41,134,17,3,93,257,.241,.311,.400,.711,101,403,20,12,2,7,4,189
WSN,37,29.6,3.44,27,975,874,93,216,38,1,25,90,12,7,75,223,.247,.317,.379,.696,94,331,20,17,3,6,5,185
LgAvg,34,28.6,4.34,31,1144,1016,134,237,45,4,36,126,15,4,102,278,.233,.310,.391,.701,97,397,21,15,4,7,4,201
,1031,28.6,4.34,924,34323,30465,4006,7109,1340,130,1067,3787,443,128,3059,8351,.233,.310,.391,.701,97,11910,629,443,119,219,125,6017
