Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,102,3.09,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,1,1,.500,4.61,9,0,0,0,0,0,13.2,11,7,7,2,6,0,12,1,0,1,57,89,4.77,1.244,7.2,1.3,4.0,7.9,2.00
3,Jason Adam\adamja01,29,CHC,NL,0,0,,9.45,8,0,1,0,0,0,6.2,7,7,7,1,6,0,10,3,0,0,35,43,6.09,1.950,9.5,1.4,8.1,13.5,1.67
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,6.14,9,0,1,0,0,0,7.1,6,5,5,0,3,0,13,5,0,0,36,62,2.82,1.227,7.4,0.0,3.7,16.0,4.33
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.09,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,4.50,8,0,5,0,0,0,8.0,4,4,4,3,1,0,10,1,0,0,29,88,6.22,0.625,4.5,3.4,1.1,11.3,10.00
7,Sandy Alcantara\alcansa01,25,MIA,NL,1,2,.333,3.19,6,6,0,0,0,0,36.2,25,14,13,3,11,1,36,3,0,1,146,126,3.34,0.982,6.1,0.7,2.7,8.8,3.27
8,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.79,11,0,6,0,0,0,9.2,7,4,3,1,0,0,3,1,0,1,38,139,4.13,0.724,6.5,0.9,0.0,2.8,
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,5.59,6,0,4,0,0,0,9.2,10,6,6,3,4,0,10,0,0,0,43,77,6.30,1.448,9.3,2.8,3.7,9.3,2.50
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,1.80,5,0,2,0,0,0,10.0,7,2,2,1,1,0,15,0,0,2,39,240,1.69,0.800,6.3,0.9,0.9,13.5,15.00
11,Logan Allen*\allenlo01,24,CLE,AL,1,4,.200,9.19,5,5,0,0,0,0,15.2,20,18,16,7,7,0,12,2,0,2,75,46,9.09,1.723,11.5,4.0,4.0,6.9,1.71
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,12.46,11,0,0,0,0,0,8.2,13,12,12,3,7,0,9,1,0,2,45,38,8.28,2.308,13.5,3.1,7.3,9.3,1.29
