Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2684864548,drewski_IB,0,185.5,2B Jose Altuve SS Jos? Iglesias 3B Jeimer Candelario P Blake Snell C Austin Hedges OF Chris Taylor P Julio Ur?as OF Ram?n Laureano OF Sam Haggerty 1B Josh Naylor,,Blake Snell,P,52.38%,29.9
2,2684759364,Honeybadger78,0,155.65,2B Jose Altuve 3B Jeimer Candelario OF Mookie Betts C Eric Haase P Julio Ur?as SS J.P. Crawford OF Garrett Hampson 1B Jared Walsh P Spencer Turnbull OF Josh Naylor,,Julio Ur?as,P,52.38%,30.6
3,2684870201,DukeCrew0612,0,126.35,OF Michael Brantley C Wilson Ramos 3B Anthony Rendon 2B Harold Castro P Blake Snell OF Mookie Betts SS Carlos Correa OF Shohei Ohtani 1B Yuli Gurriel P Corbin Martin,,Shohei Ohtani,1B,42.86%,21
4,2684814820,Rudeboy8506,0,122.5,OF Justin Upton 3B Phil Gosselin SS Carlos Correa OF Shohei Ohtani P Julio Ur?as 2B Garrett Hampson 1B Yuli Gurriel C Will Smith P Cristian Javier OF Andrew Young,,Trent Grisham,OF,38.10%,0
5,2684858568,dclark30,0,120.55,OF Mitch Haniger 3B Phil Gosselin OF Mookie Betts 1B Shohei Ohtani P Julio Ur?as SS J.P. Crawford OF Kyle Lewis C Will Smith P Zach Plesac 2B Gavin Lux,,Andrew Heaney,P,33.33%,-4.05
6,2683696282,KMAD221,0,109.5,1B Miguel Cabrera OF Robbie Grossman 3B Manny Machado C Austin Nola P Blake Snell OF Chris Taylor P Julio Ur?as SS J.P. Crawford 2B Ha-Seong Kim OF Yordan Alvarez,,Mitch Haniger,OF,33.33%,0
7,2684872616,Santi1911,0,108.85,OF Mark Canha 1B C.J. Cron P Blake Snell 3B Jos? Ram?rez OF Franmil Reyes SS Amed Rosario C Will Smith P Zach Plesac OF Trent Grisham 2B Dylan Moore,,Manny Machado,3B,33.33%,0
8,2684832429,kaidenmerk,0,100.85,OF Tommy Pham 3B Anthony Rendon 2B Jose Altuve P Andrew Heaney P Blake Snell OF Shohei Ohtani 1B Jake Cronenworth C Will Smith SS Ha-Seong Kim OF Jarred Kelenic,,Eric Haase,C,33.33%,3
9,2684876933,davie2424,0,100.55,3B Manny Machado C Eric Haase SS Carlos Correa 1B Matt Olson P Julio Ur?as 2B Jake Cronenworth P Zach Plesac OF Kyle Tucker OF Trent Grisham OF Jarred Kelenic,,J.P. Crawford,SS,33.33%,0
10,2684889642,Dreyfi,0,98.85,OF Mitch Haniger 2B Cesar Hernandez 3B Harold Castro C Eric Haase OF Franmil Reyes SS Carlos Correa 1B Matt Olson OF Shohei Ohtani P Zach Plesac P Cristian Javier,,Zach Plesac,P,33.33%,12.95
