Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2683628212,apayne331,0,158.1,P Brandon Woodruff P Spencer Turnbull 2B Brandon Lowe OF Randy Arozarena SS Francisco Lindor C Austin Nola OF Austin Meadows 3B Jonathan Villar 1B Yandy D?az OF Luis Arraez,,Brandon Woodruff,P,54.84%,19.05
2,2684537870,FishFearMeNot,0,156.95,P Brandon Woodruff P Blake Snell SS Trea Turner OF Bryce Harper OF Austin Meadows 1B Ji-Man Choi OF Adolis Garc?a 3B Jonathan Villar C Tom?s Nido 2B Andrew Young,,Austin Meadows,OF,35.48%,27
3,2684620636,tremor23,0,153.65,P Zack Wheeler P Blake Snell C Gary S?nchez 2B Brandon Lowe OF Randy Arozarena OF Austin Meadows 1B Yandy D?az SS Willy Adames 3B Miguel And?jar OF Brett Gardner,,Lance Lynn,P,32.26%,9.9
4,2684560483,jhawk8487,0,148.65,P Brandon Woodruff P Julio Ur?as 1B Vladimir Guerrero Jr. SS Gio Urshela OF Teoscar Hern?ndez OF Randal Grichuk OF Lourdes Gurriel Jr. C Tom?s Nido 3B Santiago Espinal 2B Ha-Seong Kim,,Blake Snell,P,32.26%,29.9
5,2684571774,TMoney890,0,146.95,P Brandon Woodruff P Blake Snell OF Bryce Harper 2B Brandon Lowe C Yerm?n Mercedes OF Austin Meadows 3B Jonathan Villar OF Lorenzo Cain SS Kevin Newman 1B Jake Lamb,,Brandon Lowe,2B,22.58%,8
6,2684485786,Roedyn,0,144.65,P Zack Wheeler P Blake Snell 2B Brandon Lowe OF Randy Arozarena C Mike Zunino 1B Ji-Man Choi OF Lorenzo Cain SS Willy Adames 3B Pablo Reyes OF Christian Yelich,,Yadier Molina,C,22.58%,6
7,2683586203,PressonDA,0,139.45,P Blake Snell P Justin Dunn 3B Manny Machado 2B Brandon Lowe OF Randy Arozarena C Will Smith OF Austin Meadows 1B Ji-Man Choi OF Tommy Pham SS Willy Adames,,Ji-Man Choi,1B,22.58%,18
8,2683907105,rochanabanana,0,136.15,P Blake Snell P Patrick Corbin SS Tim Anderson 2B Brandon Lowe OF Randy Arozarena 3B Yo?n Moncada C Yerm?n Mercedes OF Austin Meadows 1B Ji-Man Choi OF Jake Lamb,,Julio Ur?as,P,19.35%,30.6
9,2684054534,oompa-loompa2019,0,134.8,P Brandon Woodruff P Zack Wheeler 1B Vladimir Guerrero Jr. OF Teoscar Hern?ndez OF Randal Grichuk 3B Austin Riley OF Tommy Pham SS Willy Adames C Manny Pi?a 2B Jos? Peraza,,Randy Arozarena,OF,19.35%,9
10,2684328048,RonJon75,0,123.95,P Brandon Woodruff P Lance Lynn OF Bryce Harper OF Randy Arozarena C Austin Nola OF Austin Meadows 3B Austin Riley 2B Gavin Lux SS Ha-Seong Kim 1B Albert Pujols,,Jazz Chisholm Jr.,2B,19.35%,21
11,2684493416,johnnc13,0,122.95,P Brandon Woodruff P Blake Snell 3B Manny Machado 2B Brandon Lowe C Will Smith OF Austin Meadows 1B Ji-Man Choi SS Willy Adames OF Sam Haggerty OF Tim Locastro,,Zack Wheeler,P,16.13%,32.75
12,2684249424,bigmacwrap06,0,118.5,P Julio Ur?as P Blake Snell OF Ronald Acu?a Jr. 3B Nolan Arenado 2B Jazz Chisholm Jr. 1B Paul Goldschmidt C Yadier Molina SS Luis Ur?as OF Andrew Young OF Taylor Ward,,Vladimir Guerrero Jr.,1B,16.13%,13
13,2683634177,maheady34,0,116.95,P Brandon Woodruff P Blake Snell 1B Vladimir Guerrero Jr. OF Cedric Mullins 2B Adam Frazier C Mike Zunino 3B Maikel Franco SS Amed Rosario OF Jarred Kelenic OF Andrew Vaughn,,Adam Frazier,2B,16.13%,3
14,2683729799,arduinojoe,0,115.65,P Brandon Woodruff P Julio Ur?as SS Bo Bichette 2B Jazz Chisholm Jr. 3B Kyle Seager OF Matt Beaty OF Avisa?l Garc?a OF Jarred Kelenic C Tom?s Nido 1B C.J. Cron,,Jonathan Villar,3B,16.13%,16
15,2684457738,PrinceSilver,0,114.95,P Brandon Woodruff P Lance Lynn 1B Pete Alonso OF Franmil Reyes 2B Kolten Wong OF Austin Meadows C Mike Zunino SS Isiah Kiner-Falefa 3B Jonathan Villar OF Khalil Lee,,Willy Adames,SS,16.13%,9
16,2683970834,bigpigdaddy,0,109.8,P Lance Lynn P Blake Snell OF Ronald Acu?a Jr. 3B Kyle Seager 2B Adam Frazier 1B Matt Olson OF Austin Meadows OF Willie Calhoun C Tom?s Nido SS Ha-Seong Kim,,Tom?s Nido,C,16.13%,14
16,2684231384,usafmatt,0,109.8,P Brandon Woodruff P Zack Wheeler OF Juan Soto C Yerm?n Mercedes 2B Adam Frazier OF Mark Canha 3B Alec Bohm 1B Bobby Dalbec OF Od?bel Herrera SS Nick Maton,,Tim Anderson,SS,12.90%,0
18,2684323945,MJDJ232,0,107.3,P Cristian Javier P John Gant 3B Manny Machado 1B Rhys Hoskins OF Teoscar Hern?ndez OF Trent Grisham C William Contreras 2B Jake Cronenworth OF Austin Meadows SS Freddy Galvis,,Bryce Harper,OF,12.90%,10
19,2684371789,dbm6rab,0,106.7,P Zack Wheeler P Jameson Taillon 3B Alex Bregman C Salvador Perez 2B David Bote SS Dansby Swanson 1B Jake Cronenworth OF Austin Hays OF Ryan Mountcastle OF Brett Phillips,,Yerm?n Mercedes,C,12.90%,8
20,2684544418,kevinshish,0,104.5,P Lance Lynn P Julio Ur?as 1B Yuli Gurriel OF Chris Taylor SS Jazz Chisholm Jr. OF Adam Duvall 3B Matt Duffy OF Jorge Soler 2B Nick Madrigal C Manny Pi?a,,Kyle Seager,3B,12.90%,0
21,2683797789,jkpetot,0,100.95,P Brandon Woodruff P Lance Lynn 1B Vladimir Guerrero Jr. 2B Jazz Chisholm Jr. C Yadier Molina OF Austin Hays OF Adolis Garc?a 3B Matt Duffy SS Freddy Galvis OF Rob Refsnyder,,Austin Hays,OF,12.90%,7
22,2683867125,RocNationSports1,0,100,P Cristian Javier P Luis Pati?o OF Kris Bryant 3B Alex Bregman 2B Jazz Chisholm Jr. C Christian V?zquez SS Dansby Swanson 1B Ji-Man Choi OF Alex Verdugo OF Andrew Benintendi,,Andrew Young,2B,12.90%,4
23,2684458561,Elias805,0,97,P Brandon Woodruff P Zach Plesac SS Trea Turner OF Juan Soto 3B Yo?n Moncada OF Kyle Schwarber OF Matt Beaty C Tom?s Nido 1B Jake Lamb 2B Ha-Seong Kim,,Ha-Seong Kim,2B,12.90%,5
24,2684150613,wardog16,0,93.55,P Julio Ur?as P Zach Plesac OF Kris Bryant 1B Carlos Santana SS Jazz Chisholm Jr. 3B Kyle Seager C Yadier Molina OF Bryan Reynolds OF Kyle Lewis 2B Luis Arraez,,Zach Plesac,P,9.68%,12.95
25,2684023808,2nyvalle,0,85,P Brandon Woodruff P Jameson Taillon OF Aaron Judge C Gary S?nchez SS Gio Urshela 1B Rhys Hoskins 3B Alec Bohm OF Brett Gardner OF Andrew Vaughn 2B Rougned Odor,,Ronald Acu?a Jr.,OF,9.68%,2
26,2683828474,srock,0,76.8,P Luis Pati?o OF Ronald Acu?a Jr. 1B Max Muncy SS Tim Anderson 3B Nolan Arenado OF Andrew McCutchen 2B Adam Frazier C Yadier Molina OF Christian Yelich P Kris Bubic,,Manny Machado,3B,9.68%,0
