,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,APPGa_1-4,APPG_1-4,pj_vO_1-4,pj_vOa_1-4,pj_vOab_1-4,APPGa_1-3,APPG_1-3,pj_vO_1-3,pj_vOa_1-3,pj_vOab_1-3,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5,Name_APPGa_1-4,Total_APPGa_1-4,Name_APPG_1-4,Total_APPG_1-4,Name_pj_vO_1-4,Total_pj_vO_1-4,Name_pj_vOa_1-4,Total_pj_vOa_1-4,Name_pj_vOab_1-4,Total_pj_vOab_1-4,Name_APPGa_1-3,Total_APPGa_1-3,Name_APPG_1-3,Total_APPG_1-3,Name_pj_vO_1-3,Total_pj_vO_1-3,Name_pj_vOa_1-3,Total_pj_vOa_1-3,Name_pj_vOab_1-3,Total_pj_vOab_1-3
0,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Adolis Garcia,Adolis Garcia,Alec Bohm,Alec Bohm,Alec Bohm,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Andrew McCutchen,Adolis Garcia,Adolis Garcia,Adolis Garcia,Adolis Garcia,Andrew McCutchen,Dylan Cease,Dylan Cease,Bryce Harper,Bryce Harper,Bryce Harper,Avisail Garcia,Avisail Garcia,Andrew McCutchen,Andrew McCutchen,Bryce Harper,Adolis Garcia,3.0,Adolis Garcia,3.0,Alec Bohm,7.0,Alec Bohm,7.0,Alec Bohm,7.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Andrew McCutchen,4.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Adolis Garcia,3.0,Andrew McCutchen,4.0,,,,,Bryce Harper,0.0,Bryce Harper,0.0,Bryce Harper,0.0,Avisail Garcia,0.0,Avisail Garcia,0.0,Andrew McCutchen,4.0,Andrew McCutchen,4.0,Bryce Harper,0.0
2,Dylan Cease,Dylan Cease,Bryce Harper,Bryce Harper,Bryce Harper,Dylan Cease,Dylan Cease,Bryce Harper,Bryce Harper,Bryce Harper,Dylan Cease,Dylan Cease,Bryce Harper,Bryce Harper,Bryce Harper,Jarred Kelenic,Jarred Kelenic,Connor Joe,Connor Joe,Connor Joe,Dylan Cease,Dylan Cease,Bryce Harper,Bryce Harper,Connor Joe,,,,,Bryce Harper,0.0,Bryce Harper,0.0,Bryce Harper,0.0,,,,,Bryce Harper,0.0,Bryce Harper,0.0,Bryce Harper,0.0,,,,,Bryce Harper,0.0,Bryce Harper,0.0,Bryce Harper,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Connor Joe,3.0,Connor Joe,3.0,Connor Joe,3.0,,,,,Bryce Harper,0.0,Bryce Harper,0.0,Connor Joe,3.0
3,Guillermo Heredia,Guillermo Heredia,Dylan Cease,Dylan Cease,Dylan Cease,Jarred Kelenic,Jarred Kelenic,Dylan Cease,Dylan Cease,Dylan Cease,Jarred Kelenic,Jarred Kelenic,Dylan Cease,Dylan Cease,Dylan Cease,Jesus Aguilar,Jesus Aguilar,Dylan Cease,Dylan Cease,Dylan Cease,Jarred Kelenic,Jarred Kelenic,Connor Joe,Connor Joe,Dylan Cease,Guillermo Heredia,5.0,Guillermo Heredia,5.0,,,,,,,Jarred Kelenic,0.0,Jarred Kelenic,0.0,,,,,,,Jarred Kelenic,0.0,Jarred Kelenic,0.0,,,,,,,Jesus Aguilar,0.0,Jesus Aguilar,0.0,,,,,,,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Connor Joe,3.0,Connor Joe,3.0,,
4,Jarred Kelenic,Jarred Kelenic,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Mitch Haniger,Mitch Haniger,J.T. Realmuto,J.T. Realmuto,Freddy Galvis,Mitch Haniger,Mitch Haniger,J.T. Realmuto,J.T. Realmuto,Freddy Galvis,Mitch Haniger,Mitch Haniger,J.T. Realmuto,J.T. Realmuto,J.T. Realmuto,Jesus Aguilar,Jesus Aguilar,Dylan Cease,Dylan Cease,Jarred Kelenic,Jarred Kelenic,0.0,Jarred Kelenic,0.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,Mitch Haniger,19.0,Mitch Haniger,19.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,Freddy Galvis,0.0,Mitch Haniger,19.0,Mitch Haniger,19.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,Freddy Galvis,0.0,Mitch Haniger,19.0,Mitch Haniger,19.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,J.T. Realmuto,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,,,,,Jarred Kelenic,0.0
5,Marcus Semien,Marcus Semien,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Tim Anderson,Tim Anderson,Jarred Kelenic,Jarred Kelenic,J.T. Realmuto,Tim Anderson,Tim Anderson,Jarred Kelenic,Jarred Kelenic,J.T. Realmuto,Omar Narvaez,Omar Narvaez,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Marcus Semien,Marcus Semien,Jarred Kelenic,Jarred Kelenic,Jean Segura,Marcus Semien,0.0,Marcus Semien,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Tim Anderson,7.0,Tim Anderson,7.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,J.T. Realmuto,0.0,Tim Anderson,7.0,Tim Anderson,7.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,J.T. Realmuto,0.0,Omar Narvaez,4.0,Omar Narvaez,4.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Marcus Semien,0.0,Marcus Semien,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jean Segura,0.0
6,Nolan Arenado,Nolan Arenado,Jean Segura,Jean Segura,Jean Segura,Trevor Bauer,Trevor Bauer,Jean Segura,Jean Segura,Jarred Kelenic,Trevor Bauer,Trevor Bauer,Jean Segura,Jean Segura,Jarred Kelenic,Teoscar Hernandez,Teoscar Hernandez,Jean Segura,Jean Segura,Jean Segura,Mitch Haniger,Mitch Haniger,Jean Segura,Jean Segura,Omar Narvaez,Nolan Arenado,14.0,Nolan Arenado,14.0,Jean Segura,0.0,Jean Segura,0.0,Jean Segura,0.0,Trevor Bauer,38.55,Trevor Bauer,38.55,Jean Segura,0.0,Jean Segura,0.0,Jarred Kelenic,0.0,Trevor Bauer,38.55,Trevor Bauer,38.55,Jean Segura,0.0,Jean Segura,0.0,Jarred Kelenic,0.0,Teoscar Hernandez,10.0,Teoscar Hernandez,10.0,Jean Segura,0.0,Jean Segura,0.0,Jean Segura,0.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Jean Segura,0.0,Jean Segura,0.0,Omar Narvaez,4.0
7,Tim Anderson,Tim Anderson,Odubel Herrera,Odubel Herrera,Odubel Herrera,Whit Merrifield,Whit Merrifield,Josh Fuentes,Josh Fuentes,Jean Segura,Whit Merrifield,Whit Merrifield,Josh Fuentes,Josh Fuentes,Jean Segura,Tim Anderson,Tim Anderson,Mitch Haniger,Mitch Haniger,Mitch Haniger,Salvador Perez,Salvador Perez,Kyle Seager,Kyle Seager,Tim Anderson,Tim Anderson,7.0,Tim Anderson,7.0,Odubel Herrera,3.0,Odubel Herrera,3.0,Odubel Herrera,3.0,Whit Merrifield,19.0,Whit Merrifield,19.0,Josh Fuentes,9.0,Josh Fuentes,9.0,Jean Segura,0.0,Whit Merrifield,19.0,Whit Merrifield,19.0,Josh Fuentes,9.0,Josh Fuentes,9.0,Jean Segura,0.0,Tim Anderson,7.0,Tim Anderson,7.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Salvador Perez,18.0,Salvador Perez,18.0,Kyle Seager,11.0,Kyle Seager,11.0,Tim Anderson,7.0
8,Trevor Bauer,Trevor Bauer,Rhys Hoskins,Rhys Hoskins,Rhys Hoskins,Yadier Molina,Yadier Molina,Rhys Hoskins,Rhys Hoskins,Josh Fuentes,Yadier Molina,Yadier Molina,Rhys Hoskins,Rhys Hoskins,Josh Fuentes,Trevor Bauer,Trevor Bauer,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Tim Anderson,Omar Narvaez,Omar Narvaez,Trevor Bauer,Trevor Bauer,38.55,Trevor Bauer,38.55,Rhys Hoskins,12.0,Rhys Hoskins,12.0,Rhys Hoskins,12.0,Yadier Molina,14.0,Yadier Molina,14.0,Rhys Hoskins,12.0,Rhys Hoskins,12.0,Josh Fuentes,9.0,Yadier Molina,14.0,Yadier Molina,14.0,Rhys Hoskins,12.0,Rhys Hoskins,12.0,Josh Fuentes,9.0,Trevor Bauer,38.55,Trevor Bauer,38.55,Tim Anderson,7.0,Tim Anderson,7.0,Tim Anderson,7.0,Tim Anderson,7.0,Tim Anderson,7.0,Omar Narvaez,4.0,Omar Narvaez,4.0,Trevor Bauer,38.55
9,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,Tim Anderson,Tim Anderson,Tim Anderson,Yoan Moncada,Yoan Moncada,Tim Anderson,Tim Anderson,Rhys Hoskins,Yoan Moncada,Yoan Moncada,Tim Anderson,Tim Anderson,Rhys Hoskins,Whit Merrifield,Whit Merrifield,Trevor Bauer,Trevor Bauer,Trevor Bauer,Trevor Bauer,Trevor Bauer,Tim Anderson,Tim Anderson,Tyler Naquin,Vladimir Guerrero Jr.,14.0,Vladimir Guerrero Jr.,14.0,Tim Anderson,7.0,Tim Anderson,7.0,Tim Anderson,7.0,Yoan Moncada,5.0,Yoan Moncada,5.0,Tim Anderson,7.0,Tim Anderson,7.0,Rhys Hoskins,12.0,Yoan Moncada,5.0,Yoan Moncada,5.0,Tim Anderson,7.0,Tim Anderson,7.0,Rhys Hoskins,12.0,Whit Merrifield,19.0,Whit Merrifield,19.0,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Tim Anderson,7.0,Tim Anderson,7.0,Tyler Naquin,8.0
