"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Matt Moore","PHI","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","1890"
"Lance Lynn","CHW","1","0","0.00","1","1","0","0","0","0","0","5.0","24","2","1","0","0","3","1","0","1","0","9","2520"
"Liam Hendriks","CHW","0","0","0.00","1","0","0","0","1","0","0","1.2","5","0","0","0","0","0","0","0","0","0","2","3548"
"Rich Hill","TBR","1","0","0.00","1","1","0","0","0","0","0","6.2","26","3","0","0","0","3","0","1","0","0","9","4806"
"Jose Cisnero","DET","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","0","0","2","6399"
"Ian Kennedy","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","2","2","0","0","0","0","6986"
"Ryan Pressly","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","7005"
"Daniel Hudson","WSN","0","0","0.00","1","0","0","0","0","1","0","0.2","2","0","0","0","0","0","0","0","0","0","1","7146"
"Anthony Bass","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","7982"
"Bryan Shaw","CLE","0","0","0.00","1","0","0","0","1","0","0","0.1","1","0","0","0","0","0","0","0","0","0","1","8110"
"Deolis Guerra","OAK","0","0","0.00","1","0","0","0","0","0","0","3.0","9","1","0","0","0","0","0","0","0","0","3","8410"
"Garrett Richards","BOS","1","0","0.00","1","1","0","0","0","0","0","6.0","24","5","0","0","0","3","0","0","0","0","4","9784"
"Brooks Raley","HOU","1","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","2","10061"
"Adam Kolarek","OAK","0","0","0.00","1","0","0","0","0","0","0","1.0","6","2","1","0","0","1","0","0","0","0","0","10843"
"Chasen Shreve","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","5","1","0","0","0","1","0","0","0","0","1","10855"
"Jesse Biddle","ATL","0","0","0.00","1","0","0","0","0","0","0","0.2","2","0","0","0","0","0","0","0","0","0","0","11437"
"Joely Rodriguez","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","11487"
"Luke Jackson","ATL","0","0","0.00","1","0","0","0","0","0","0","0.1","1","0","0","0","0","0","0","0","0","0","0","11752"
"Hansel Robles","MIN","0","0","0.00","1","0","0","0","0","0","0","0.2","3","1","0","0","0","0","0","0","0","0","2","11801"
"Chris Martin","ATL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","11847"
"Anthony DeSclafani","SFG","1","0","0.00","1","1","0","0","0","0","0","5.0","17","1","0","0","0","1","0","0","0","0","5","13050"
"Reymin Guduan","OAK","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","1","0","0","0","0","1","13058"
"Michael Fulmer","DET","0","0","0.00","1","0","0","0","1","0","0","0.2","2","0","0","0","0","0","0","0","0","0","1","13218"
"Louis Head","TBR","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","1","13259"
"Dylan Floro","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","13394"
"Clay Holmes","PIT","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","13649"
"Sal Romano","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","13690"
"Chris Stratton","PIT","0","0","0.00","1","0","0","0","0","0","0","2.0","7","0","0","0","0","2","0","0","0","0","3","13761"
"Brent Suter","MIL","0","0","0.00","1","0","0","0","0","0","0","2.0","9","2","0","0","0","2","0","0","0","0","1","13942"
"Joel Payamps","TOR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","14332"
"Chi Chi Gonzalez","COL","1","0","0.00","1","1","0","0","0","0","0","7.0","25","4","0","0","0","1","0","0","0","0","2","14663"
"Giovanny Gallegos","STL","0","0","0.00","1","0","0","0","0","1","0","1.0","4","0","0","0","0","1","0","0","0","0","1","14986"
"Alex Reyes","STL","0","0","0.00","1","0","0","0","1","0","0","1.0","5","1","0","0","0","1","0","0","0","0","3","15015"
"Austin Voth","WSN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","15047"
"Tyler Rogers","SFG","0","0","0.00","1","0","0","0","1","0","0","1.0","4","1","0","0","0","0","0","0","0","0","0","15541"
"Zack Littell","SFG","0","0","0.00","1","0","0","0","0","1","0","1.0","4","1","0","0","0","0","0","0","0","0","0","15823"
"Ryne Stanek","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","2","15947"
"Jordan Romano","TOR","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","3","16122"
"Erik Swanson","SEA","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","16587"
"Bryan Abreu","HOU","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","1","0","0","1","0","1","16609"
"Brett Martin","TEX","0","1","0.00","1","0","0","0","0","0","0","0.2","4","0","1","0","0","2","2","0","1","0","1","17369"
"Jack Flaherty","STL","1","0","0.00","1","1","0","0","0","0","0","6.0","24","4","0","0","0","2","0","0","0","0","6","17479"
"Genesis Cabrera","STL","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","1","17490"
"Tanner Rainey","WSN","0","0","0.00","1","0","0","0","0","0","0","0.1","3","1","0","0","0","1","0","0","0","0","0","17610"
"Tyler Alexander","DET","0","0","0.00","1","0","0","0","0","1","0","0.1","3","2","0","0","0","0","0","0","0","0","0","17735"
"Josh Sborz","TEX","0","0","0.00","1","0","0","0","0","0","0","1.0","4","1","0","0","0","0","0","0","0","0","2","18323"
"Enyel De Los Santos","PHI","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","18403"
"Travis Bergen","TOR","1","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","18581"
"Drew Steckenrider","SEA","0","0","0.00","1","0","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","18806"
"Robert Dugger","SEA","0","0","0.00","1","0","0","0","0","0","0","2.0","6","1","0","0","0","0","0","0","0","0","3","19191"
"Caleb Baragar","SFG","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","2","19231"
"Jacob Webb","ATL","0","0","0.00","1","0","0","0","0","0","0","1.1","4","0","0","0","0","0","0","0","0","0","1","19274"
"Jorge Alcala","MIN","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","1","19459"
"Ryan Hendrix","CIN","0","0","0.00","1","0","0","0","0","0","0","1.0","5","0","0","0","0","2","0","0","0","0","0","19535"
"Matt Foster","CHW","0","0","0.00","1","0","0","0","0","1","0","1.0","3","0","0","0","0","0","0","0","0","0","0","19647"
"Anthony Bender","MIA","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","3","19742"
"Kevin Ginkel","ARI","0","0","0.00","1","0","0","0","0","0","0","1.0","3","0","0","0","0","0","0","0","0","0","0","19876"
"Alex Lange","DET","0","0","0.00","1","0","0","0","0","1","0","0.2","3","0","0","0","0","1","0","0","0","0","0","19883"
"Ben Bowden","COL","0","0","0.00","1","0","0","0","0","0","0","1.0","4","0","0","0","0","1","0","0","0","0","0","20198"
