"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Tommy Pham","SDP","1","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","2967"
"Asdrubal Cabrera","ARI","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1.000","4962"
"Freddie Freeman","ATL","1","3","4","3","2","0","0","1","2","2","1","0","0","0","0","0","0","0","0","1.000","5361"
"Mauricio Dubon","SFG","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","16530"
"Jorge Mateo","SDP","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","17273"
"Joc Pederson","CHC","1","4","4","3","3","0","0","0","1","2","0","0","1","0","0","0","0","0","0",".750","11899"
"Lewis Brinson","MIA","1","4","4","3","2","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".750","14352"
"Trea Turner","WSN","1","4","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".750","16252"
"Matt Chapman","OAK","1","4","4","3","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","16505"
"Adolis Garcia","TEX","1","4","4","3","2","0","0","1","1","5","0","0","0","0","0","0","1","0","0",".750","19287"
"Yordan Alvarez","HOU","1","4","4","3","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".750","19556"
"Starlin Castro","WSN","1","3","4","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0",".667","4579"
"Phil Gosselin","LAA","1","3","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1",".667","10953"
"Whit Merrifield","KCR","1","3","4","2","1","1","0","0","1","1","0","0","0","0","1","0","0","1","0",".667","11281"
"Dansby Swanson","ATL","1","3","3","2","1","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".667","18314"
"Kyle Tucker","HOU","1","3","4","2","0","0","1","1","3","4","1","0","0","0","0","0","0","0","0",".667","18345"
"Dylan Carlson","STL","1","3","4","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".667","20126"
"Eric Hosmer","SDP","1","5","5","3","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".600","3516"
"Marwin Gonzalez","BOS","1","5","5","3","3","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".600","5497"
"Corey Seager","LAD","1","5","5","3","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0",".600","13624"
"Wilmer Difo","PIT","1","5","5","3","2","0","1","0","2","3","0","0","2","0","0","0","0","0","0",".600","14320"
"Isiah Kiner-Falefa","TEX","1","5","5","3","2","1","0","0","3","0","0","0","0","0","0","0","1","0","0",".600","16512"
"Todd Frazier","PIT","1","4","4","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","785"
"Charlie Culberson","TEX","1","4","4","2","1","0","0","1","2","1","0","0","2","0","0","0","0","0","0",".500","3298"
"Yadier Molina","STL","1","4","4","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0",".500","7007"
"Buster Posey","SFG","1","2","3","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",".500","9166"
"Brett Gardner","NYY","1","2","3","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0",".500","9927"
"Wil Myers","SDP","1","4","5","2","2","0","0","0","1","1","1","1","1","0","0","0","0","0","0",".500","10047"
"Marcus Semien","TOR","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".500","12533"
"Teoscar Hernandez","TOR","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","13066"
"Chris Taylor","LAD","1","2","4","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0",".500","13757"
"Mike Yastrzemski","SFG","1","4","4","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".500","14854"
"Kris Bryant","CHC","1","2","4","1","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0",".500","15429"
"Reese McGuire","TOR","1","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","15674"
"Jose Abreu","CHW","1","4","5","2","1","1","0","0","1","3","0","0","2","1","0","0","0","0","0",".500","15676"
"Rowdy Tellez","TOR","1","4","4","2","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".500","15679"
"Michael Conforto","NYM","1","4","4","2","2","0","0","0","0","1","0","0","2","0","0","0","0","0","0",".500","16376"
"Rafael Devers","BOS","1","4","4","2","0","1","0","1","1","3","0","0","1","0","0","0","0","0","0",".500","17350"
"David Fletcher","LAA","1","4","4","2","2","0","0","0","1","0","0","0","1","0","0","0","0","1","0",".500","17992"
"Harrison Bader","STL","1","2","4","1","1","0","0","0","0","0","2","2","1","0","0","0","0","0","0",".500","18030"
"Jake Cronenworth","SDP","1","4","5","2","0","1","0","1","2","2","1","0","0","0","0","0","0","0","0",".500","18036"
"Austin Riley","ATL","1","4","4","2","1","1","0","0","0","1","0","0","2","0","0","0","0","0","0",".500","18360"
"Ryan Mountcastle","BAL","1","4","4","2","1","1","0","0","0","2","0","0","2","0","0","0","0","0","0",".500","18373"
"Nate Lowe","TEX","1","4","5","2","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".500","19566"
"Bo Bichette","TOR","1","4","4","2","1","1","0","0","1","2","0","0","1","0","0","0","0","0","0",".500","19612"
"Jose Altuve","HOU","1","5","5","2","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0",".400","5417"
"Travis Shaw","MIL","1","5","5","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".400","11982"
"Tyrone Taylor","MIL","1","5","5","2","2","0","0","0","0","1","0","0","2","0","0","0","0","0","0",".400","13675"
"Mitch Haniger","SEA","1","5","5","2","2","0","0","0","0","1","0","0","3","0","0","0","0","0","0",".400","14274"
"Victor Caratini","SDP","1","5","5","2","1","1","0","0","2","0","0","0","1","0","0","0","0","0","0",".400","14968"
"J.P. Crawford","SEA","1","5","5","2","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".400","15491"
"Yermin Mercedes","CHW","1","5","5","2","0","1","1","0","1","3","0","0","1","0","0","0","0","0","0",".400","17423"
"Kevin Newman","PIT","1","5","5","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".400","17696"
"Kyle Lewis","SEA","1","5","5","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".400","19508"
"Fernando Tatis Jr.","SDP","1","5","5","2","1","0","0","1","2","2","0","0","2","0","0","0","0","0","0",".400","19709"
"Mitch Moreland","OAK","1","3","4","1","1","0","0","0","0","2","1","0","1","0","0","0","0","0","0",".333","3086"
"Anthony Rizzo","CHC","1","3","4","1","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0",".333","3473"
