Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu\abreual01,25,NYY,AL,0,0,,4.50,2,0,2,0,0,0,2.0,0,1,1,0,2,0,3,0,0,1,8,105,3.11,1.000,0.0,0.0,9.0,13.5,1.50
2,Bryan Abreu\abreubr01,24,HOU,AL,1,1,.500,4.24,13,0,0,0,0,0,17.0,15,10,8,2,8,0,18,2,0,2,74,100,4.28,1.353,7.9,1.1,4.2,9.5,2.25
3,Jason Adam\adamja01,29,CHC,NL,0,0,,9.45,8,0,1,0,0,0,6.2,7,7,7,1,6,0,10,3,0,0,35,43,6.11,1.950,9.5,1.4,8.1,13.5,1.67
4,Austin Adams\adamsau02,30,SDP,NL,0,0,,4.66,12,0,1,0,0,0,9.2,7,5,5,0,4,0,19,6,0,0,46,82,2.28,1.138,6.5,0.0,3.7,17.7,4.75
5,Hanser Alberto\alberha01,28,KCR,AL,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.11,0.000,0.0,0.0,0.0,0.0,
6,Jorge Alcala\alcaljo01,25,MIN,AL,0,0,,2.92,12,0,9,0,0,0,12.1,6,4,4,3,2,0,12,1,0,0,43,138,5.05,0.649,4.4,2.2,1.5,8.8,6.00
7,Sandy Alcantara\alcansa01,25,MIA,NL,1,2,.333,2.95,7,7,0,0,0,0,42.2,31,16,14,4,12,1,42,3,0,2,171,139,3.41,1.008,6.5,0.8,2.5,8.9,3.50
8,Scott Alexander*\alexasc02,31,LAD,NL,0,2,.000,2.31,13,0,6,0,0,0,11.2,7,4,3,1,1,0,5,1,0,1,45,169,3.88,0.686,5.4,0.8,0.8,3.9,5.00
9,Tyler Alexander*\alexaty01,26,DET,AL,0,0,,5.40,9,0,4,0,0,0,16.2,20,11,10,4,4,0,17,0,0,0,75,79,4.91,1.440,10.8,2.2,2.2,9.2,4.25
10,Kolby Allard*\allarko01,23,TEX,AL,0,0,,3.52,7,0,3,0,0,0,15.1,14,6,6,2,1,0,19,0,0,2,62,125,2.52,0.978,8.2,1.2,0.6,11.2,19.00
11,Logan Allen*\allenlo01,24,CLE,AL,1,4,.200,9.19,5,5,0,0,0,0,15.2,20,18,16,7,7,0,12,2,0,2,75,48,9.11,1.723,11.5,4.0,4.0,6.9,1.71
12,Yency Almonte\almonye01,27,COL,NL,0,1,.000,12.46,11,0,0,0,0,0,8.2,13,12,12,3,7,0,9,1,0,2,45,38,8.30,2.308,13.5,3.1,7.3,9.3,1.29
13,Dan Altavilla\altavda01,28,SDP,NL,0,0,,6.75,2,0,1,0,0,0,1.1,1,1,1,1,0,0,2,0,0,0,5,71,9.86,0.750,6.8,6.8,0.0,13.5,
14,Jose Alvarado*\alvarjo03,26,PHI,NL,2,0,1.000,3.48,12,0,3,0,0,2,10.1,7,4,4,0,7,1,17,3,0,2,49,117,2.72,1.355,6.1,0.0,6.1,14.8,2.43
15,Jose Alvarez*\alvarjo02,32,SFG,NL,1,1,.500,2.89,11,0,4,0,0,0,9.1,7,4,3,0,9,0,10,0,0,0,44,136,3.86,1.714,6.8,0.0,8.7,9.6,1.11
16,Adbert Alzolay\alzolad01,26,CHC,NL,1,2,.333,4.50,5,5,0,0,0,0,26.0,16,13,13,4,7,0,30,1,0,0,100,86,3.72,0.885,5.5,1.4,2.4,10.4,4.29
17,Brett Anderson*\anderbr04,33,MIL,NL,2,2,.500,4.15,4,4,0,0,0,0,17.1,18,9,8,3,4,0,8,0,0,0,73,101,5.12,1.269,9.3,1.6,2.1,4.2,2.00
18,Chase Anderson\anderch01,33,PHI,NL,1,3,.250,5.54,6,6,0,0,0,0,26.0,25,16,16,4,14,0,21,2,0,0,118,72,5.34,1.500,8.7,1.4,4.8,7.3,1.50
19,Ian Anderson\anderia01,23,ATL,NL,2,1,.667,3.46,7,7,0,0,0,0,39.0,32,15,15,4,17,0,43,0,0,2,163,128,3.54,1.256,7.4,0.9,3.9,9.9,2.53
20,Tyler Anderson*\anderty01,31,PIT,NL,2,3,.400,3.24,6,6,0,0,0,0,33.1,27,12,12,3,11,0,31,0,0,0,135,128,3.41,1.140,7.3,0.8,3.0,8.4,2.82
21,Matt Andriese\andrima01,31,BOS,AL,1,1,.500,3.52,12,0,1,0,0,1,15.1,18,8,6,1,5,0,15,1,1,0,69,125,3.17,1.500,10.6,0.6,2.9,8.8,3.00
22,Tejay Antone\antonte01,27,CIN,NL,1,0,1.000,2.60,10,0,2,0,0,1,17.1,6,5,5,2,9,0,23,3,0,1,67,178,4.03,0.865,3.1,1.0,4.7,11.9,2.56
23,Chris Archer\archech01,32,TBR,AL,0,1,.000,6.23,2,1,0,0,0,0,4.1,7,4,3,0,1,0,6,0,0,0,21,66,1.03,1.846,14.5,0.0,2.1,12.5,6.00
24,Kohei Arihara\arihako01,28,TEX,AL,2,3,.400,6.59,7,7,0,0,0,0,28.2,32,22,21,7,12,0,17,2,0,1,127,66,6.56,1.535,10.0,2.2,3.8,5.3,1.42
